phone,zipCode,title,picture,webSite,address,city,startDate,venue,description,email,endDate,state
,34286.0,"\""Egg-Normous\"" Egg Hunt and Bunny Breakfast",http://fldataengine.milesmedia.com/fldataengine/appmedia/images/35/35227/35227_73x73.jpg,http://www.cityofnorthport.com,4970 City Hall Boulevard,North Port,04/23/11,"North Port, Florida","For those who enjoy exploring a new, up-and-coming Florida community, the City of North Port is located in Sarasota County between Tampa and Fort Myers. The Southwest Florida city is tucked beneath a thick oak and pine canopy, rich with archeological history, beautiful natural springs, and more than 80 miles of freshwater canals.<br />  Incorporated just 50 years ago, the City's population has a median age of 38 and is one of the youngest in the Southwest Florida region. This City is known for its youthful mindset and unique natural environment. Visitors to this City can enjoy mountain biking, hiking, horseback riding, bird watching and more.<br />  <br />  Here, you&rsquo;ll experience a vacation of your own. In North Port, it is natural to feel vital and potential is unlimited. Achieve Anything.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",,04/23/11,FL
,,Holiday Egg Hunt,http://fldataengine.milesmedia.com/fldataengine/appmedia/images/35/35304/35304_73x73.jpg,,,,04/23/11,,<!---->,,04/23/11,
,34714.0,Central Florida Kids Tri Series,,http://FloridaStateParks.org,7305 U.S. 27 S.,Clermont,04/23/11,Lake Louisa State Park,"<p>This 4,372-acre state park lies on the shores of Lake Louisa in the northeast corner of the Green Swamp. It is one of 13 in a chain of lakes connected by the Palatlakaha River, which is designated as an Outstanding Florida Water. Family campground, 60 sites with water and electric and&nbsp;featuring 20 vacation cabins.&nbsp; Beautiful lakes, rolling hills and scenic vistas make this a quiet getaway from nearby Orlando.</p>                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",,04/23/11,FL
,34654.0,Saturday Night Cruise,,http://www.visitpasco.net,"7530 Little Rd., Ste. 340",New Port Richey,04/23/11,Pasco County Office of Tourism,"<p>At the northern end of the Tampa Bay area,&nbsp;beautiful Pasco County is close to major cities but far&nbsp;from the hustle and bustle.&nbsp;Visit Pasco and enjoy&nbsp;Florida the way it used to be.&nbsp;Acres of pristine wilderness with biking, hiking and canoeing trails.&nbsp;Historic downtowns with&nbsp;fine restaurants and antique shops&nbsp;and&nbsp;dozens of&nbsp;family-oriented activities&nbsp;and sporting events year 'round. Pasco County is home to world-class tennis and golf resorts, including Saddlebrook&nbsp;Resort &amp; Spa, one of Conde Nast Traveler's Top 100 and&nbsp;Lake Jovita, the Florida course that plays like North Carolina.&nbsp;</p><br />  <p>Enjoy&nbsp;cultural treasures,&nbsp;such as the Historic&nbsp;Courthouse, built in 1909 in beautiful downtown Dade City and the Pioneer Florida Museum, home to period buildings dating to 1878. Experience&nbsp;historic walking tours of downtown New Port Richey,&nbsp;boat tours of the Pithlachascotee River and trolley tours in downtown Dade City.&nbsp;See the World War II Barracks Museum in Zephyrhills, the St. Leo Abbey &amp; Grotto in St. Leo and an original ""Cracker House''&nbsp;in Holiday. Camp at Starkey Wilderness Park, cast&nbsp;your fishing&nbsp;line at Anclote River Park, paddle a kayak at Werner Boyce Salt Spring State Park.&nbsp;Hike the Suncoast Trail, visit spots along the Great Florida Birding Trail or charter a deep sea fishing excursion.</p><br />  <p>From the beaches&nbsp;on the Gulf&nbsp;Coast to scenic rivers like the Withlacoochee&nbsp;in the east to one of the world's premier drop zones at Skydive City, Pasco&nbsp;has something for everyone.&nbsp;See local and national acts perform&nbsp;at the&nbsp;Show Palace in Hudson and historic Richey Suncoast Theater in New Port Richey.&nbsp;Savor&nbsp;locally-made wines at the Florida Estates Winery in Land O' Lakes.&nbsp;Enjoy&nbsp;dozens of unique festivals, including Chasco Fiesta in New Port Richey and the Kumquat Festival&nbsp;in Dade City.</p>                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",tourism@pascocountyfl.net,04/23/11,FL
,32413.0,Rabbit Race!,,http://www.visitpanamacitybeach.com,17001 Panama City Beach Pkwy.,Panama City Beach,04/23/11,Panama City Beach Convention & Visitors Bureau,"Panama City Beach boasts 27 miles of sugar-white sand bordering the clear, emerald-green waters of the Gulf of Mexico and St. Andrews Bay. This Northwest Florida destination enjoys recognition as a top U.S. beach from <span class=""Apple-style-span"" style=""font-style: italic"">TripAdvisor, Cond</span>&eacute; <span class=""Apple-style-span"" style=""font-style: italic"">Nast Traveler, The Travel Channel, USA Today, Southern Living, Dr. Beach </span>and the Clean Beaches Council. Family attractions, championship golf courses, sporting events, award-winning dining, predictably sunny weather and a vast number of recreational activities draw visitors to this seaside destination annually. For more information, call&nbsp;or visit their website.&nbsp;Free Vacation Planner available.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",info@visitpanamacitybeach.com,04/23/11,FL
,32413.0,Corvette Beach Odyssey,,http://www.visitpanamacitybeach.com,17001 Panama City Beach Pkwy.,Panama City Beach,04/23/11,Panama City Beach Convention & Visitors Bureau,"Panama City Beach boasts 27 miles of sugar-white sand bordering the clear, emerald-green waters of the Gulf of Mexico and St. Andrews Bay. This Northwest Florida destination enjoys recognition as a top U.S. beach from <span class=""Apple-style-span"" style=""font-style: italic"">TripAdvisor, Cond</span>&eacute; <span class=""Apple-style-span"" style=""font-style: italic"">Nast Traveler, The Travel Channel, USA Today, Southern Living, Dr. Beach </span>and the Clean Beaches Council. Family attractions, championship golf courses, sporting events, award-winning dining, predictably sunny weather and a vast number of recreational activities draw visitors to this seaside destination annually. For more information, call&nbsp;or visit their website.&nbsp;Free Vacation Planner available.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",info@visitpanamacitybeach.com,04/23/11,FL
,32413.0,Earth Day,,http://www.visitpanamacitybeach.com,17001 Panama City Beach Pkwy.,Panama City Beach,04/23/11,Panama City Beach Convention & Visitors Bureau,"Panama City Beach boasts 27 miles of sugar-white sand bordering the clear, emerald-green waters of the Gulf of Mexico and St. Andrews Bay. This Northwest Florida destination enjoys recognition as a top U.S. beach from <span class=""Apple-style-span"" style=""font-style: italic"">TripAdvisor, Cond</span>&eacute; <span class=""Apple-style-span"" style=""font-style: italic"">Nast Traveler, The Travel Channel, USA Today, Southern Living, Dr. Beach </span>and the Clean Beaches Council. Family attractions, championship golf courses, sporting events, award-winning dining, predictably sunny weather and a vast number of recreational activities draw visitors to this seaside destination annually. For more information, call&nbsp;or visit their website.&nbsp;Free Vacation Planner available.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",info@visitpanamacitybeach.com,04/23/11,FL
,32084.0,ST AUGUSTINE EASTER PROMENADE,,http://www.floridashistoriccoast.com,29 Old Mission Ave.,St. Augustine,04/24/11,"St. Augustine, Ponte Vedra & The Beaches Visitors and Convention Bureau","Provides a full range of information services for individual, family and group visits to St. Augustine, Ponte Vedra and The Beaches. Offers a free, 56-page vacation planner. Website includes extensive calendar of upcoming events as well as details on attractions and accommodations.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",RGoldman@Getaway4Florida.com,04/24/11,FL
,32084.0,53rd ANNUAL ST. AUGUSTINE EASTER PARADE,http://fldataengine.milesmedia.com/fldataengine/appmedia/images/4/4157/4157_73x73.jpg,http://www.floridashistoriccoast.com,29 Old Mission Ave.,St. Augustine,04/24/11,"St. Augustine, Ponte Vedra & The Beaches Visitors and Convention Bureau","Provides a full range of information services for individual, family and group visits to St. Augustine, Ponte Vedra and The Beaches. Offers a free, 56-page vacation planner. Website includes extensive calendar of upcoming events as well as details on attractions and accommodations.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",RGoldman@Getaway4Florida.com,04/24/11,FL
,33317.0,Easter Buffet,http://fldataengine.milesmedia.com/fldataengine/appmedia/images/8/8729/8729_73x73.jpg,http://www.plantationpreserve.org,7050 W. Broward Blvd.,Plantation,04/24/11,Plantation Preserve Golf Course & Club,"Plantation Preserve Golf Course &amp; Club has created a new level of excitement in Broward County! Situated in the heart of the Plantation and located just 15 minutes from the Ft. Lauderdale airport and beaches, Plantation Preserve&rsquo;s golf course and clubhouse is unlike any other in South Florida, or even in the United States. Within the property, visitors will find a championship golf course, an outstanding clubhouse, state of the art practice facilities, an Everglades-inspired wetlands area and a 55-acre linear park perfect for the family that can be used for walking, jogging or roller-blading featuring a playground for the little ones.&nbsp;<br />  Beginning golfers and seasoned pros alike are challenged by Plantation Preserve&rsquo;s championship golf course, measuring over 7,100 yards in length from the Championship tees and playing to a par 72. Every hole has been constructed with five sets of tee boxes, allowing players to set their own level of difficulty. Designed by the famed architect firm von Hagge, Smelek &amp; Baril, Plantation Preserve offers many different tests for all golfers to enjoy, including our signature island green. Featuring plush Paspalum grass throughout the golf course, all first time golfers will thoroughly enjoy this lush grass playing surface. Plantation Preserve also offers state of the art grass driving range, high quality range balls, a huge practice putting green and chipping area as well as two green side practice bunkers and a fairway bunker to perfect your golf swing. The pro-shop carries a full line of golf equipment, accessories and apparel for both men and women. Golf lessons and junior clinics taught by PGA Golf Professionals are available year round. Lastly, all golf carts feature GPS showing precise golf course yardages.<br />  Plantation Preserve&rsquo;s beautifully appointed clubhouse features a dining room which serves lunch everyday and a fully-stocked bar and lounge with multiple HD TV&rsquo;s. After a round of golf, players can unwind on the outside terrace, reliving their game while enjoying the breathtaking views overlooking our signature #9 island green at sunset.<br />  You would think a golf club that provides such amenities and services would be private, but it&rsquo;s not. Visit our website, www.PlantationPreserve.org, for rates and more information. Regardless of whether visitors are members or not, at this public facility, everyone enjoys a country club atmosphere with country club service!                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",cmcsween@plantation.org,04/24/11,FL
,32541.0,Easter Bunny Brunch,,http://www.EmeraldGrande.com,10 Harbor Blvd.,Destin,04/24/11,Emerald Grande at HarborWalk Village,"<p>For those looking for the ideal vacation The Emerald Grande resort is Destin's shining jewel overlooking some of the most marvelous turquoise water and sugar sand beaches in creation. Add in some of the most spectacular sunsets you're ever likely to witness, and you'll soon see why the Emerald Grande is a place you won't soon forget.  The vacation residences strike the perfect balance of elegance, kid-friendliness and relaxed coastal flair. Whether your group consists of a romantic twosome or an entire extended variety of loved ones, the Emerald Grande has the perfect accommodations to ensure your comfort and delight. With elegant 1, 2, 3, and 4-bedroom, full service, residences -you'll surely be able to enjoy the ideal, ultra-luxurious sanctuary that you deserve.  Emerald Grande highlights include a full service and friendly spa and fitness center for pampering treatments for both men and women. Then right out your rooms back door you can find water sports, fishing, aqua adventures, indoor and outdoor pools and hot tubs, clubs and nightlife, fireworks, live entertainment, and world class dining with restaurant to satisfy all tastes. The Emerald Grande and HarborWalk Village has activities and entertainment to please each and every taste in your family&mdash;from the smallest infant to the hardiest grandparent&mdash;everyone's fantasies a reality and leaves you with memories that will last a lifetime.  Emerald Grande was also voted Best Wedding Venue on the Gulf Coast in 2009 and 2010. For more information, visit www.emeraldgrande.com.</p>                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",reservations@emeraldgrande.com,04/24/11,FL
,32052.0,Easter Sunrise Servie,,http://www.hamiltoncountyflorida.com,"1153 U.S. Hwy. 41 N.W., Ste. 2",Jasper,04/24/11,Hamilton County Tourist Development Council,"<p>Jewel of the Suwannee Set amid the lush greenery, winding waterways and native wilderness, North Florida is one of the Sunshine State's little known and most precious treasures.&nbsp; Cut from nature's flawless beauty and set apart by a band of shimmering waters, this sparkling gem reflects the many colorful facets of Florida's rich history and original unspoiled splendor.&nbsp; It is here in crystal-clear waters, under sapphire skies and golden sun, shaded by an emerald canopy of green that visitors discover Hamilton County, Florida - the ""Jewel of the Suwannee"".Resting on the Florida-Georgia border, Hamilton County is truely set apart from the rest of the state.&nbsp; Bordered by the Withlacoochee River to the west and the World Famous Suwannee River to the east and south, the county forms a penisula within a penisula, uniquely separated from the landmass of Florida.&nbsp; Neatly splitting this river county is the twisting Alapaha River, adding to the vitality and beauty of a paradise for nature lovers and outdoor sports enthusiasts for all ages.&nbsp; The protected waters of Hamilton County's rivers, crystal clear springs and numberous lakes provide endless opportunities for outdoor activities.&nbsp; Whether camping, hunting, photography or&nbsp;just exploring&nbsp;by foot, bike, horseback, canoe or kayak, you'll find it&nbsp;to be the ""Jewel of the Suwannee"".&nbsp;&nbsp;A Tale of Two Treasures&nbsp; While Hamilton County is undeniably a natural treasure, it is equally valuable as one of Florida's historic treasures.&nbsp; With more than 150 sites and structures on the National Register of Historic Places, Hamilton County is a popular destination for both casual history buffs and the more serious genealogy researchers, the county is landscaped with more than 50 county cemeteries, including what is believed to be Florida's oldest.&nbsp; For those who will listen, these weathered tombstones and grave markers just may whisper a tale.Hamilton County, better known as the ""Jewel of the Suwannee"" says, ""come for a visit, stay for a lifetime"".&nbsp; While visiting Hamilton Couty , we invite you to&nbsp;visit the 888-acre Stephen Foster Folk Culture Center State Park in quaint White Springs -&nbsp;home to the first hub of the Suwannee River Wilderness Trail and Florida Trail.&nbsp;</p>                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",hamiltontdc@windstream.net,04/24/11,FL
,33908.0,Easter Egg Hunt & Dolphin Cruise \'\'Island Style\'\',http://fldataengine.milesmedia.com/fldataengine/appmedia/images/52/52482/52482_73x73.jpg,http://www.adventuresinparadise.com,14341 Port Comfort Rd.,Fort Myers,04/24/11,"Adventures in Paradise, Inc.","<p>Join us in celebrating 25 years of fun filled adventures!</p><br />  <p>Established on Sanibel Island in 1986, Adventures In Paradise hopes to bring you our love of the sea: dolphins, manatee, sea otters, seahorses and shelling throughout the waters surrounding Sanibel &amp; Captiva Islands!&nbsp;</p><br />  <p>Adventures in Paradise offers daily cruises around the Sanibel and Captiva Islands to see various ocean wildlife, such as dolphins, sea otters, manatees and more. Guests can join us for Fishing, Shelling, Dolphin Cruises, Sunset Cruises and more! Canoe/Kayak Eco tours through a private mangrove forest or rent your own kayak or boat. Private Fishing Charters also available!</p><br />  <p>Restroom facilities and refreshments onboard.</p>                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",info@adventuresinparadise.com,04/24/11,FL
,32413.0,Groovin\' on the Green,,http://www.visitpanamacitybeach.com,17001 Panama City Beach Pkwy.,Panama City Beach,04/25/11,Panama City Beach Convention & Visitors Bureau,"Panama City Beach boasts 27 miles of sugar-white sand bordering the clear, emerald-green waters of the Gulf of Mexico and St. Andrews Bay. This Northwest Florida destination enjoys recognition as a top U.S. beach from <span class=""Apple-style-span"" style=""font-style: italic"">TripAdvisor, Cond</span>&eacute; <span class=""Apple-style-span"" style=""font-style: italic"">Nast Traveler, The Travel Channel, USA Today, Southern Living, Dr. Beach </span>and the Clean Beaches Council. Family attractions, championship golf courses, sporting events, award-winning dining, predictably sunny weather and a vast number of recreational activities draw visitors to this seaside destination annually. For more information, call&nbsp;or visit their website.&nbsp;Free Vacation Planner available.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",info@visitpanamacitybeach.com,04/25/11,FL
,34103.0,Champagne & Chocolate Tasting! Shula\'s Steak House Naples Florida,http://fldataengine.milesmedia.com/fldataengine/appmedia/images/44/44937/44937_73x73.jpg,http://www.naples.hilton.com,5111 Tamiami Trl. N.,Naples,04/27/11,Hilton Naples,"<b>Naples Florida Hotels - Discover Relaxed Elegance at The Hilton Naples</b><br />  <p>Welcome to the Hilton Naples hotel. Our location is more convenient than other hotels in Naples to shopping and entertainment venues, with a complimentary <b>Naples Beach Hotel Package</b>, your ideal Naples Hilton hotel choice. The most popular restaurant along the Gulf Coast, award winning <b>Shula's Steak House</b> is the hotel's signature dining facility. Four Diamond quality, the complimentary gulf beach package, the convenient location, <b>hotel meeting, conference, banquet rooms</b>, and an excellent restaurant combine to make this Naples hotel the best value among all Naples, Marco Island, and the Everglades area hotels. When you visit Florida, be sure to include Naples in your travels and learn why so many people take residence in Naples.<br />  <br />  Enjoy <b>AAA 4 Diamond</b> luxury affordably by exploring our attractive Naples, Florida hotel deals and special rate packages. While you visit Naples attending a conference, convention or meeting, our Naples Meetings hotel is perfectly located to explore Florida's Paradise Coast. Naples Gulf Coast beach areas, such as Clam Pass, are just a bicycle ride from this Naples Hilton hotel. Visit Naples for business or a vacation - the Hilton Naples hotel welcomes you to Southwest Florida.<br />  &nbsp;</p>                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",nhaschak@cooperhotels.com,04/27/11,FL
,34219.0,,http://fldataengine.milesmedia.com/fldataengine/appmedia/images/52/52787/52787_73x73.jpg,http://www.frrm.org,12210 83rd St. E.,Parrish,04/16/11,Florida Railroad Museum,"<p>Welcome to the Florida Railroad Museum.&nbsp; The Museum offers one of the most unique museum experiences in the Florida. Here you ""Ride the Exhibits!""  The Museum operates weekend excursions year-round from the Train Station in Parrish, Florida. Special weekend events are scheduled throughout the year featuring themed train rides. The caboose is always available to charter for small birthday parties or charter the entire train during the week for large corporate events up to 300 passengers. We also offer Locomotive rentals where you can be an Engineer for an hour.</p><br /> <p>Regular weekend excursion trains trips leave the Parrish station at 11am and 2pm Saturdays and Sundays. We are closed Easter Sunday as well as 2 weekends over the Christmas Holidays. Be sure to check out our website for details at www.frrm.org</p>                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",,04/16/11,FL
,32034.0,48th Annual Isle of Eight Flags Shrimp Festival,http://fldataengine.milesmedia.com/fldataengine/appmedia/images/1/1989/1989_73x73.jpg,http://www.ameliaisland.com,102 Centre Street,Fernandina Beach,04/29/11,Amelia Island Tourist Development Council,"Located in the northeastern-most tip of Florida, 25 miles from Jacksonville International Airport, Amelia Island offers guests an island with 14 miles of spacious peaceful shores easily accessible to those wishing to claim their own stretch of sand. Scorched-shouldered beachcombers can mosey over to Historic Center Street, recognized by its Victorian architecture and historical charm. Amelia Island is synonymous for its protected wildlife, state parks and family-filled adventure. Recently named one of North America's Top 10 Island Destinations by the readers of Conde Nast Traveler, Amelia Island combines southern charm with Florida relaxation and adds a healthy dose of adventure. For more information visit their website.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",info@ameliaisland.com,05/01/11,FL
,32541.0,Cinco de Mayo Spring Fest,,http://www.EmeraldGrande.com,10 Harbor Blvd.,Destin,05/01/11,Emerald Grande at HarborWalk Village,"<p>For those looking for the ideal vacation The Emerald Grande resort is Destin's shining jewel overlooking some of the most marvelous turquoise water and sugar sand beaches in creation. Add in some of the most spectacular sunsets you're ever likely to witness, and you'll soon see why the Emerald Grande is a place you won't soon forget.  The vacation residences strike the perfect balance of elegance, kid-friendliness and relaxed coastal flair. Whether your group consists of a romantic twosome or an entire extended variety of loved ones, the Emerald Grande has the perfect accommodations to ensure your comfort and delight. With elegant 1, 2, 3, and 4-bedroom, full service, residences -you'll surely be able to enjoy the ideal, ultra-luxurious sanctuary that you deserve.  Emerald Grande highlights include a full service and friendly spa and fitness center for pampering treatments for both men and women. Then right out your rooms back door you can find water sports, fishing, aqua adventures, indoor and outdoor pools and hot tubs, clubs and nightlife, fireworks, live entertainment, and world class dining with restaurant to satisfy all tastes. The Emerald Grande and HarborWalk Village has activities and entertainment to please each and every taste in your family&mdash;from the smallest infant to the hardiest grandparent&mdash;everyone's fantasies a reality and leaves you with memories that will last a lifetime.  Emerald Grande was also voted Best Wedding Venue on the Gulf Coast in 2009 and 2010. For more information, visit www.emeraldgrande.com.</p>                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",reservations@emeraldgrande.com,05/01/11,FL
,34654.0,20th Annual Mothers Day Powwow,http://fldataengine.milesmedia.com/fldataengine/appmedia/images/52/52711/52711_73x73.jpg,http://www.visitpasco.net,"7530 Little Rd., Ste. 340",New Port Richey,05/06/11,Pasco County Office of Tourism,"<p>At the northern end of the Tampa Bay area,&nbsp;beautiful Pasco County is close to major cities but far&nbsp;from the hustle and bustle.&nbsp;Visit Pasco and enjoy&nbsp;Florida the way it used to be.&nbsp;Acres of pristine wilderness with biking, hiking and canoeing trails.&nbsp;Historic downtowns with&nbsp;fine restaurants and antique shops&nbsp;and&nbsp;dozens of&nbsp;family-oriented activities&nbsp;and sporting events year 'round. Pasco County is home to world-class tennis and golf resorts, including Saddlebrook&nbsp;Resort &amp; Spa, one of Conde Nast Traveler's Top 100 and&nbsp;Lake Jovita, the Florida course that plays like North Carolina.&nbsp;</p><br />  <p>Enjoy&nbsp;cultural treasures,&nbsp;such as the Historic&nbsp;Courthouse, built in 1909 in beautiful downtown Dade City and the Pioneer Florida Museum, home to period buildings dating to 1878. Experience&nbsp;historic walking tours of downtown New Port Richey,&nbsp;boat tours of the Pithlachascotee River and trolley tours in downtown Dade City.&nbsp;See the World War II Barracks Museum in Zephyrhills, the St. Leo Abbey &amp; Grotto in St. Leo and an original ""Cracker House''&nbsp;in Holiday. Camp at Starkey Wilderness Park, cast&nbsp;your fishing&nbsp;line at Anclote River Park, paddle a kayak at Werner Boyce Salt Spring State Park.&nbsp;Hike the Suncoast Trail, visit spots along the Great Florida Birding Trail or charter a deep sea fishing excursion.</p><br />  <p>From the beaches&nbsp;on the Gulf&nbsp;Coast to scenic rivers like the Withlacoochee&nbsp;in the east to one of the world's premier drop zones at Skydive City, Pasco&nbsp;has something for everyone.&nbsp;See local and national acts perform&nbsp;at the&nbsp;Show Palace in Hudson and historic Richey Suncoast Theater in New Port Richey.&nbsp;Savor&nbsp;locally-made wines at the Florida Estates Winery in Land O' Lakes.&nbsp;Enjoy&nbsp;dozens of unique festivals, including Chasco Fiesta in New Port Richey and the Kumquat Festival&nbsp;in Dade City.</p>                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",tourism@pascocountyfl.net,05/08/11,FL
,32601.0,Free Fridays Concert Series,http://fldataengine.milesmedia.com/fldataengine/appmedia/images/52/52454/52454_73x73.jpg,http://www.gvlculturalaffairs.org,302 N.E. Sixth Ave.,Gainesville,05/06/11,"Department of Parks, Recreation and Cultural Affairs","Experience&nbsp;culture in Gainesville, Florida. <br />  <br />  The Gainesville area is home to not only the Florida Gators but many cultural and eco-heritage sites including the Harn Museum of Art, the Thomas Center and &nbsp;Gallery, Phillips Center for the Performing Arts, Florida Museum of Natural History,&nbsp;Hippodrome State Theater, University Auditorium, Santa Fe Community College Zoo, Morningside Nature Center and Paynes Prairie. Experience an exciting journey in Gainesville, Florida.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",,10/28/11,FL
,32541.0,Kentucky Derby Festival,,http://www.EmeraldGrande.com,10 Harbor Blvd.,Destin,05/07/11,Emerald Grande at HarborWalk Village,"<p>For those looking for the ideal vacation The Emerald Grande resort is Destin's shining jewel overlooking some of the most marvelous turquoise water and sugar sand beaches in creation. Add in some of the most spectacular sunsets you're ever likely to witness, and you'll soon see why the Emerald Grande is a place you won't soon forget.  The vacation residences strike the perfect balance of elegance, kid-friendliness and relaxed coastal flair. Whether your group consists of a romantic twosome or an entire extended variety of loved ones, the Emerald Grande has the perfect accommodations to ensure your comfort and delight. With elegant 1, 2, 3, and 4-bedroom, full service, residences -you'll surely be able to enjoy the ideal, ultra-luxurious sanctuary that you deserve.  Emerald Grande highlights include a full service and friendly spa and fitness center for pampering treatments for both men and women. Then right out your rooms back door you can find water sports, fishing, aqua adventures, indoor and outdoor pools and hot tubs, clubs and nightlife, fireworks, live entertainment, and world class dining with restaurant to satisfy all tastes. The Emerald Grande and HarborWalk Village has activities and entertainment to please each and every taste in your family&mdash;from the smallest infant to the hardiest grandparent&mdash;everyone's fantasies a reality and leaves you with memories that will last a lifetime.  Emerald Grande was also voted Best Wedding Venue on the Gulf Coast in 2009 and 2010. For more information, visit www.emeraldgrande.com.</p>                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",reservations@emeraldgrande.com,05/07/11,FL
,34654.0,Music & Motorcycles,,http://www.visitpasco.net,"7530 Little Rd., Ste. 340",New Port Richey,05/07/11,Pasco County Office of Tourism,"<p>At the northern end of the Tampa Bay area,&nbsp;beautiful Pasco County is close to major cities but far&nbsp;from the hustle and bustle.&nbsp;Visit Pasco and enjoy&nbsp;Florida the way it used to be.&nbsp;Acres of pristine wilderness with biking, hiking and canoeing trails.&nbsp;Historic downtowns with&nbsp;fine restaurants and antique shops&nbsp;and&nbsp;dozens of&nbsp;family-oriented activities&nbsp;and sporting events year 'round. Pasco County is home to world-class tennis and golf resorts, including Saddlebrook&nbsp;Resort &amp; Spa, one of Conde Nast Traveler's Top 100 and&nbsp;Lake Jovita, the Florida course that plays like North Carolina.&nbsp;</p><br />  <p>Enjoy&nbsp;cultural treasures,&nbsp;such as the Historic&nbsp;Courthouse, built in 1909 in beautiful downtown Dade City and the Pioneer Florida Museum, home to period buildings dating to 1878. Experience&nbsp;historic walking tours of downtown New Port Richey,&nbsp;boat tours of the Pithlachascotee River and trolley tours in downtown Dade City.&nbsp;See the World War II Barracks Museum in Zephyrhills, the St. Leo Abbey &amp; Grotto in St. Leo and an original ""Cracker House''&nbsp;in Holiday. Camp at Starkey Wilderness Park, cast&nbsp;your fishing&nbsp;line at Anclote River Park, paddle a kayak at Werner Boyce Salt Spring State Park.&nbsp;Hike the Suncoast Trail, visit spots along the Great Florida Birding Trail or charter a deep sea fishing excursion.</p><br />  <p>From the beaches&nbsp;on the Gulf&nbsp;Coast to scenic rivers like the Withlacoochee&nbsp;in the east to one of the world's premier drop zones at Skydive City, Pasco&nbsp;has something for everyone.&nbsp;See local and national acts perform&nbsp;at the&nbsp;Show Palace in Hudson and historic Richey Suncoast Theater in New Port Richey.&nbsp;Savor&nbsp;locally-made wines at the Florida Estates Winery in Land O' Lakes.&nbsp;Enjoy&nbsp;dozens of unique festivals, including Chasco Fiesta in New Port Richey and the Kumquat Festival&nbsp;in Dade City.</p>                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",tourism@pascocountyfl.net,05/07/11,FL
