address,price,description,venue,phone,website,title,fullDates,moreInfo
129 W. Church St.,$10,As seen on Comedy Central,Mojo Cajun Bar &amp; Grill,(407) 629-2665,,Rickey Reyes,4/22 10:30PM,http://calendar.orlandoweekly.com/Events/e12169/Rickey_Reyes
6405 U.S. Highway 17-92,$20-$35,The prop comedian performs his &quot;Sledge-O-Matic&quot; sketch,Orlando Jai-Alai,(407) 339-6221,http://www.orlandojaialai.com,Gallagher,4/23 8:00PM,http://calendar.orlandoweekly.com/Events/e11994/Gallagher
711-C Orange Ave.,$10-$15,Two local improv groups perform comedic sketches,Winter Park Playhouse,(407) 645-0145,http://www.orlandoimprovfestival.com,A Night of Long Form,4/25 8:00PM,http://calendar.orlandoweekly.com/Events/e12040/A_Night_of_Long_Form
10749 E. Colonial Drive,$10,As seen on FOX with Carmen Morales,Boardwalk Bowl,(407) 384-0003,,Ian Gutoskie,"4/29 7:30PM, 4/30 7:30PM",http://calendar.orlandoweekly.com/Events/e12161/Ian_Gutoskie
129 W. Church St.,$10,As seen on Comedy Central with Jeff Jones,Mojo Cajun Bar &amp; Grill,(407) 629-2665,,Forrest Shaw,"4/29 10:30PM, 4/30 10:30PM",http://calendar.orlandoweekly.com/Events/e12170/Forrest_Shaw
1912 S. Orange Ave.,$10-$15,The comedienne performs parodies of Madonna and Lady Gaga,Pulse,(407) 649-3888,http://www.pulseorlando.com,Sherry Vine,5/5 8:00PM,http://calendar.orlandoweekly.com/Events/e11889/Sherry_Vine
"9101 International Drive, Suite 2310",$20,He&#39;s opened for Pauly Shore and Carlos Mencia,Improv Comedy Club &amp; Dinner Theatre,(407) 480-5233,http://www.theimprovorlando.com,Bobby Lee,"5/6 8:00PM, 5/6 10:30PM, 5/7 7:30PM, 5/7 10:15PM, 5/8 8:00PM",http://calendar.orlandoweekly.com/Events/e12100/Bobby_Lee
10749 E. Colonial Drive,$10,As seen on NBC with Richy Lala,Boardwalk Bowl,(407) 384-0003,,James Yon,"5/6 7:30PM, 5/7 7:30PM",http://calendar.orlandoweekly.com/Events/e12162/James_Yon
129 W. Church St.,$10,As seen on Comedy Central,Mojo Cajun Bar &amp; Grill,(407) 629-2665,,Jamie Morgan,5/7 10:30PM,http://calendar.orlandoweekly.com/Events/e12171/Jamie_Morgan
400 First St. South,$45.75-$65.75,Most notably seen in the film Rush Hour,"Mahaffey Theater, St. Petersburg",(727) 892-5798,http://www.ticketmaster.com,Chris Tucker,5/13 8:00PM,http://calendar.orlandoweekly.com/Events/e12124/Chris_Tucker
129 W. Church St.,$10,As seen on Showtime,Mojo Cajun Bar &amp; Grill,(407) 629-2665,,Dexter Angry,5/13 10:30PM,http://calendar.orlandoweekly.com/Events/e12172/Dexter_Angry
10749 E. Colonial Drive,$10,As seen on NBC with Billy B,Boardwalk Bowl,(407) 384-0003,,Darren Moore,"5/20 7:30PM, 5/21 7:30PM",http://calendar.orlandoweekly.com/Events/e12164/Darren_Moore
129 W. Church St.,$10,As seen on FOX and CBS,Mojo Cajun Bar &amp; Grill,(407) 629-2665,,Ian Gutoskie,"5/20 10:30PM, 5/21 10:30PM",http://calendar.orlandoweekly.com/Events/e12173/Ian_Gutoskie
425 N. Bumby Ave.,$38-$40,Puerto Rican comedic touring show,The Plaza Live,(407) 228-1220,http://www.plazaliveorlando.com,Pegate a la Risa,5/21 7:30PM,http://calendar.orlandoweekly.com/Events/e11786/Pegate_a_la_Risa
10749 E. Colonial Drive,$10,Comedian from Comedy Central with Steve Netta,Boardwalk Bowl,(407) 384-0003,,Chris Cope,"5/28 7:30PM, 5/27 7:30PM",http://calendar.orlandoweekly.com/Events/e12165/Chris_Cope
129 W. Church St.,$10,As seen on Comedy Central,Mojo Cajun Bar &amp; Grill,(407) 629-2665,,Danny Johnson,"5/28 10:30PM, 5/27 10:30PM",http://calendar.orlandoweekly.com/Events/e12174/Danny_Johnson
5223 Orient Road,free,British comedian as seen on HBO&#39;s The Life &amp; Times of Tim,Seminole Hard Rock Hotel and Casino,(866) 502-7529,http://www.seminolehardrock.com/,Jason Canning,6/12 8:30PM,http://calendar.orlandoweekly.com/Events/e12253/Jason_Canning
425 N. Bumby Ave.,$18-$32,Comedian as seen in the film Road Trip,The Plaza Live,(407) 228-1220,http://www.plazaliveorlando.com,Tom Green,7/21 8:00PM,http://calendar.orlandoweekly.com/Events/e12006/Tom_Green
CityWalk at Universal Orlando,$42.75,Stand-up comedian as seen on That &#39;70s Show and Sex in the City,Hard Rock Live,(407) 351-5483,http://www.hardrock.com,Jim Gaffigan,"7/23 7:00PM, 7/23 9:00PM",http://calendar.orlandoweekly.com/Events/e3856/Jim_Gaffigan
101 N. Atlantic Ave.,$48,&nbsp;  	Larry the Cable Guy,Ocean Center,(386) 254-4545,,Larry the Cable Guy,8/1 8:30PM,http://calendar.orlandoweekly.com/Events/e11739/Larry_the_Cable_Guy
2411 E. Highway 192,free,Students display their work,Osceola Center for the Arts,(407) 846-6257,http://www.ocfta.com,Osceola Student Art Show,"4/22 9:00AM, 4/12 9:00AM, 4/15 9:00AM, 4/18 9:00AM, 4/25 9:00AM, 4/26 9:00AM, 4/21 9:00AM, 4/13 9:00AM, 4/20 9:00AM, 4/14 9:00AM, 4/19 9:00AM, 4/11 9:00AM, 4/8 9:00AM",http://calendar.orlandoweekly.com/Events/e5440/Osceola_Student_Art_Show
445 N. Park Ave.,free,Vignette planned around a mid-19th-century iron bed,Charles Hosmer Morse Museum of American Art,(407) 645-5311,http://www.morsemuseum.org,The Now and Then Room,"5/31 9:30AM, 5/29 1:00PM, 5/25 9:30AM, 4/14 9:30AM, 5/28 9:30AM, 5/27 9:30AM, 4/10 1:00PM, 4/12 9:30AM, 4/8 9:30AM, 9/4 1:00PM, 7/17 1:00PM, 7/16 9:30AM, 7/19 9:30AM, 4/15 9:30AM, 4/16 9:30AM, 4/19 9:30AM, 4/17 1:00PM, 4/20 9:30AM, 4/21 9:30AM, 4/22 9:30AM, 4/23 9:30AM, 4/24 1:00PM, 4/26 9:30AM, 4/29 9:30AM, 4/27 9:30AM, 5/1 1:00PM, 5/4 9:30AM, 5/5 9:30AM, 5/6 9:30AM, 5/7 9:30AM, 5/8 1:00PM, 5/10 9:30AM, 5/11 9:30AM, 5/12 9:30AM, 5/14 9:30AM, 5/19 9:30AM, 5/20 9:30AM, 5/21 9:30AM, 7/30 9:30AM, 6/1 9:30AM, 6/2 9:30AM, 6/3 9:30AM, 6/4 9:30AM, 6/5 1:00PM, 6/7 9:30AM, 6/16 9:30AM, 6/12 1:00PM, 6/15 9:30AM, 6/17 9:30AM, 6/21 9:30AM, 6/22 9:30AM, 6/23 9:30AM, 6/24 9:30AM, 6/25 9:30AM, 6/26 1:00PM, 6/28 9:30AM, 6/29 9:30AM, 6/30 9:30AM, 7/1 9:30AM, 7/2 9:30AM, 7/9 9:30AM, 7/31 1:00PM, 8/2 9:30AM, 8/3 9:30AM, 8/4 9:30AM, 8/5 9:30AM, 8/6 9:30AM, 8/7 1:00PM, 8/9 9:30AM, 8/12 9:30AM, 8/13 9:30AM, 8/14 1:00PM, 8/16 9:30AM, 8/17 9:30AM, 8/19 9:30AM, 8/20 9:30AM, 8/21 1:00PM, 7/29 9:30AM, 7/20 9:30AM, 4/9 9:30AM, 6/11 9:30AM, 7/15 9:30AM, 6/14 9:30AM, 8/25 9:30AM, 8/31 9:30AM, 8/28 1:00PM, 8/30 9:30AM, 8/27 9:30AM, 5/15 1:00PM, 9/3 9:30AM, 9/2 9:30AM, 6/18 9:30AM, 9/1 9:30AM, 5/18 9:30AM, 4/13 9:30AM, 5/13 9:30AM, 7/5 9:30AM, 7/3 1:00PM, 6/10 9:30AM, 5/17 9:30AM, 7/23 9:30AM, 5/3 9:30AM, 8/10 9:30AM, 4/30 9:30AM, 5/24 9:30AM, 5/26 9:30AM, 7/26 9:30AM, 5/22 1:00PM, 7/14 9:30AM, 7/10 1:00PM, 7/13 9:30AM, 7/12 9:30AM, 4/28 9:30AM, 7/22 9:30AM, 7/21 9:30AM, 7/24 1:00PM, 8/24 9:30AM, 8/23 9:30AM, 7/27 9:30AM, 8/26 9:30AM, 7/28 9:30AM, 7/8 9:30AM, 8/18 9:30AM, 6/9 9:30AM, 6/19 1:00PM, 6/8 9:30AM, 7/6 9:30AM, 7/7 9:30AM, 8/11 9:30AM",http://calendar.orlandoweekly.com/Events/e7457/The_Now_and_Then_Room
445 N. Park Ave.,free,"The museum features a collection of more than 30 archival images of memorial stones, baptismal fonts and other religious art",Charles Hosmer Morse Museum of American Art,(407) 645-5311,http://www.morsemuseum.org,A Church Record: Photographs from the Tiffany Studios Ecclesiastical Department,"5/12 9:30AM, 7/9 9:30AM, 4/23 9:30AM, 4/21 9:30AM, 4/26 9:30AM, 4/24 1:00PM, 7/8 9:30AM, 6/14 9:30AM, 6/11 9:30AM, 4/10 1:00PM, 4/8 9:30AM, 4/13 9:30AM, 4/14 9:30AM, 4/17 1:00PM, 4/15 9:30AM, 7/15 9:30AM, 7/10 1:00PM, 4/20 9:30AM, 8/17 9:30AM, 7/20 9:30AM, 7/19 9:30AM, 6/1 9:30AM, 6/5 1:00PM, 5/31 9:30AM, 5/28 9:30AM, 5/27 9:30AM, 5/26 9:30AM, 6/4 9:30AM, 6/3 9:30AM, 5/25 9:30AM, 5/22 1:00PM, 4/12 9:30AM, 5/20 9:30AM, 5/19 9:30AM, 5/21 9:30AM, 8/14 1:00PM, 6/8 9:30AM, 8/16 9:30AM, 8/13 9:30AM, 8/11 9:30AM, 8/12 9:30AM, 8/10 9:30AM, 8/7 1:00PM, 6/10 9:30AM, 6/9 9:30AM, 5/18 9:30AM, 5/17 9:30AM, 8/5 9:30AM, 7/29 9:30AM, 7/28 9:30AM, 7/26 9:30AM, 8/4 9:30AM, 8/3 9:30AM, 7/30 9:30AM, 8/2 9:30AM, 7/31 1:00PM, 8/9 9:30AM, 4/19 9:30AM, 5/13 9:30AM, 5/5 9:30AM, 4/27 9:30AM, 4/22 9:30AM, 5/3 9:30AM, 4/28 9:30AM, 5/14 9:30AM, 5/1 1:00PM, 4/29 9:30AM, 5/8 1:00PM, 5/11 9:30AM, 5/7 9:30AM, 5/4 9:30AM, 5/15 1:00PM, 5/29 1:00PM, 5/6 9:30AM, 8/18 9:30AM, 5/10 9:30AM, 4/16 9:30AM, 4/30 9:30AM, 7/2 9:30AM, 6/28 9:30AM, 6/16 9:30AM, 6/29 9:30AM, 6/15 9:30AM, 5/24 9:30AM, 6/12 1:00PM, 6/7 9:30AM, 6/21 9:30AM, 6/26 1:00PM, 6/19 1:00PM, 6/17 9:30AM, 6/25 9:30AM, 6/23 9:30AM, 6/24 9:30AM, 7/1 9:30AM, 6/30 9:30AM, 7/3 1:00PM, 7/5 9:30AM, 7/17 1:00PM, 7/14 9:30AM, 7/6 9:30AM, 7/23 9:30AM, 7/12 9:30AM, 7/7 9:30AM, 7/22 9:30AM, 7/21 9:30AM, 4/9 9:30AM, 7/16 9:30AM, 7/13 9:30AM, 6/18 9:30AM, 6/22 9:30AM, 6/2 9:30AM, 8/6 9:30AM, 8/25 9:30AM, 9/2 9:30AM, 8/19 9:30AM, 9/1 9:30AM, 8/31 9:30AM, 7/27 9:30AM, 7/24 1:00PM, 8/28 1:00PM, 8/30 9:30AM, 8/21 1:00PM, 8/20 9:30AM, 8/27 9:30AM, 8/23 9:30AM, 8/26 9:30AM, 8/24 9:30AM, 9/4 1:00PM, 9/3 9:30AM",http://calendar.orlandoweekly.com/Events/e230/A_Church_Record_Photographs_from_the_Tiffany_Studios_Ecclesiastical_Department
211 E. First St.,free,"Stewart Jones shares selections from his art career including nature scenes, architectural renderings and plein air sessions from his vacations",Gallery on First,(407) 323-2774,http://www.jtfolkart.com,Impressions in Watercolor,"4/20 10:00AM, 4/16 10:00AM, 4/12 10:00AM, 4/10 12:00PM, 4/9 10:00AM, 4/8 10:00AM, 4/21 10:00AM, 4/14 10:00AM, 4/13 10:00AM, 4/17 12:00PM, 4/15 10:00AM, 4/19 10:00AM",http://calendar.orlandoweekly.com/Events/e3579/Impressions_in_Watercolor
633 Osceola Ave.,$5,Playful images depict models in real-life domestic situations in the waters of the Silver Springs attraction,Albin Polasek Museum and Sculpture Gardens,(407) 647-6294,,Silver Springs: The Underwater Photography of Bruce Mozert,"4/8 10:00AM, 4/10 1:00PM, 4/13 10:00AM, 4/12 10:00AM, 4/9 10:00AM, 4/15 10:00AM, 4/17 1:00PM, 4/16 10:00AM, 4/14 10:00AM",http://calendar.orlandoweekly.com/Events/e6398/Silver_Springs_The_Underwater_Photography_of_Bruce_Mozert
65 E. Central Blvd.,$9,"10th anniversary exhibit portrays the ties between Central Florida and the Civil War including uniforms, music of the era and letters from soldiers",Orange County Regional History Center,(407) 836-8500,http://www.thehistorycenter.org,Florida in the Civil War,"4/8 10:00AM, 4/9 10:00AM, 4/10 12:00PM, 4/11 10:00AM, 4/12 10:00AM, 4/13 10:00AM, 4/14 10:00AM, 4/15 10:00AM, 4/16 10:00AM, 4/17 12:00PM, 4/18 10:00AM, 4/19 10:00AM, 4/20 10:00AM, 4/21 10:00AM, 4/22 10:00AM, 4/23 10:00AM, 4/24 12:00PM, 4/25 10:00AM, 4/26 10:00AM, 4/27 10:00AM, 4/28 10:00AM, 4/29 10:00AM, 4/30 10:00AM, 5/1 12:00PM, 5/2 10:00AM, 5/3 10:00AM, 5/4 10:00AM, 5/5 10:00AM, 5/6 10:00AM, 5/7 10:00AM, 5/8 12:00PM, 5/9 10:00AM, 5/10 10:00AM, 5/11 10:00AM, 5/12 10:00AM, 5/13 10:00AM, 5/14 10:00AM, 5/15 12:00PM, 5/16 10:00AM, 5/17 10:00AM, 5/18 10:00AM, 5/19 10:00AM, 5/20 10:00AM, 5/21 10:00AM, 5/22 12:00PM, 5/23 10:00AM, 5/24 10:00AM, 5/25 10:00AM, 5/26 10:00AM, 5/27 10:00AM, 5/28 10:00AM, 5/29 12:00PM, 5/30 10:00AM, 5/31 10:00AM, 6/1 10:00AM, 6/2 10:00AM, 6/3 10:00AM, 6/4 10:00AM, 6/5 12:00PM, 6/6 10:00AM, 6/7 10:00AM, 6/8 10:00AM, 6/9 10:00AM, 6/10 10:00AM, 6/11 10:00AM, 6/12 12:00PM",http://calendar.orlandoweekly.com/Events/e2748/Florida_in_the_Civil_War
65 E. Central Blvd.,$9,"Smithsonian Institution&#39;s traveling exhibit features an audio tour and video of past workers, souvenirs, clothing and photographs from the presidential residence",Orange County Regional History Center,(407) 836-8500,http://www.thehistorycenter.org,The Working White House: 200 Years of Tradition and Memories,"5/16 10:00AM, 4/8 10:00AM, 4/9 10:00AM, 4/10 12:00PM, 4/11 10:00AM, 4/12 10:00AM, 4/13 10:00AM, 4/14 10:00AM, 4/15 10:00AM, 4/16 10:00AM, 4/17 12:00PM, 4/18 10:00AM, 4/19 10:00AM, 4/20 10:00AM, 4/21 10:00AM, 4/22 10:00AM, 4/23 10:00AM, 4/24 12:00PM, 4/25 10:00AM, 4/26 10:00AM, 4/27 10:00AM, 4/28 10:00AM, 4/29 10:00AM, 4/30 10:00AM, 5/1 12:00PM, 5/2 10:00AM, 5/3 10:00AM, 5/4 10:00AM, 5/5 10:00AM, 5/6 10:00AM, 5/7 10:00AM, 5/8 12:00PM, 5/9 10:00AM, 5/10 10:00AM, 5/11 10:00AM, 5/12 10:00AM, 5/13 10:00AM, 5/14 10:00AM, 5/15 12:00PM, 5/17 10:00AM, 5/18 10:00AM, 5/19 10:00AM, 5/20 10:00AM, 5/21 10:00AM, 5/22 12:00PM, 5/23 10:00AM, 5/24 10:00AM, 5/25 10:00AM, 5/26 10:00AM, 5/27 10:00AM, 5/28 10:00AM, 5/29 12:00PM",http://calendar.orlandoweekly.com/Events/e7654/The_Working_White_House_200_Years_of_Tradition_and_Memories
100 N. Woodland Blvd.,$5,"The artist's 50-year career in art features colorful paintings, collages, murals and sculptures",Florida Museum for Women Artists,(386) 873-2976,,Dorothy Gillespie,"4/15 11:00AM, 4/16 11:00AM, 4/14 11:00AM, 4/13 11:00AM, 4/12 11:00AM, 4/19 11:00AM, 4/21 11:00AM, 4/20 11:00AM, 4/17 1:00PM, 4/22 11:00AM, 4/24 1:00PM, 4/23 11:00AM, 4/9 11:00AM, 4/8 11:00AM, 4/10 1:00PM",http://calendar.orlandoweekly.com/Events/e2278/Dorothy_Gillespie
642 W. New England Ave.,free,Twenty paintings by the Maitland Art Center&#39;s founder depict Eatonville in the 1930s and 1940s,Hannibal Square Heritage Center,(407) 671-1886,http://www.crealde.org,Connecting Andre Smith and Zora Neale Hurston: Maitland and Eatonville as Joining Communities,"4/8 12:00PM, 4/9 10:00AM",http://calendar.orlandoweekly.com/Events/e1760/Connecting_Andre_Smith_and_Zora_Neale_Hurston_Maitland_and_Eatonville_as_Joining_Communities
2416 N. Mills Ave.,$8,"XY/Gender Representation in Art -  	Drawing from the permanent collection, the exhibit examines the roles of women and men in different cultures and time periods",Orlando Museum of Art,(407) 896-4231,http://www.omart.org,XX-XY/Gender Representation in Art,"5/25 10:00AM, 5/24 10:00AM, 4/20 10:00AM, 4/10 12:00PM, 6/5 12:00PM, 6/4 12:00PM, 6/3 10:00AM, 5/29 12:00PM, 5/12 10:00AM, 4/27 10:00AM, 4/28 10:00AM, 4/23 12:00PM, 4/12 10:00AM, 4/13 10:00AM, 4/8 10:00AM, 4/9 12:00PM, 5/17 10:00AM, 5/18 10:00AM, 5/15 12:00PM, 5/11 10:00AM, 5/21 12:00PM, 5/19 10:00AM, 5/5 10:00AM, 4/29 10:00AM, 4/26 10:00AM, 4/14 10:00AM, 4/24 12:00PM, 4/15 10:00AM, 4/17 12:00PM, 4/16 12:00PM, 4/22 10:00AM, 4/19 10:00AM, 4/21 10:00AM, 5/1 12:00PM, 5/6 10:00AM, 5/4 10:00AM, 5/3 10:00AM, 4/30 12:00PM, 5/8 12:00PM, 5/7 12:00PM, 5/10 10:00AM, 5/13 10:00AM, 5/14 12:00PM, 5/22 12:00PM, 5/31 10:00AM, 5/26 10:00AM, 5/28 12:00PM, 6/1 10:00AM, 6/2 10:00AM, 5/20 10:00AM, 5/27 10:00AM",http://calendar.orlandoweekly.com/Events/e8565/XX-XYGender_Representation_in_Art
851 N. Maitland Ave.,free,Exhibition on how Nazi book burning during World War II describes German political goals and ideology of that time,Holocaust Memorial Resource and Education Center,(407) 628-0555,http://www.holocaustedu.org,Fighting the Fires of Hate,"4/8 9:00AM, 4/10 1:00PM, 4/11 9:00AM",http://calendar.orlandoweekly.com/Events/e2677/Fighting_the_Fires_of_Hate
201 S. Rosalind Ave.,free,Exhibit features works from the European Townscapes and Landscapes collection by J. Andre Smith,Orange County Administration Building,(407) 836-5540,,Art in the Chambers,"4/8 8:00AM, 4/11 8:00AM, 5/2 8:00AM, 4/12 8:00AM, 4/21 8:00AM, 4/20 8:00AM, 4/15 8:00AM, 4/14 8:00AM, 4/13 8:00AM, 4/19 8:00AM, 4/18 8:00AM, 4/29 8:00AM, 4/28 8:00AM, 4/27 8:00AM, 4/25 8:00AM, 4/22 8:00AM, 4/26 8:00AM, 5/20 8:00AM, 5/19 8:00AM, 5/18 8:00AM, 5/13 8:00AM, 5/16 8:00AM, 5/11 8:00AM, 5/12 8:00AM, 5/10 8:00AM, 5/5 8:00AM, 5/4 8:00AM, 5/3 8:00AM, 5/9 8:00AM, 5/6 8:00AM, 5/17 8:00AM",http://calendar.orlandoweekly.com/Events/e9932/Art_in_the_Chambers
221 W. Packwood Ave.,free,Exhibit pays tribute to one of the largest youth organizations in the country,Maitland Historical Museum and Telephone Museum,(407) 644-1364,http://www.artandhistory.org,Be Prepared: Boy Scouts of America,"4/9 12:00PM, 4/10 12:00PM, 4/8 12:00PM",http://calendar.orlandoweekly.com/Events/e9930/Be_Prepared_Boy_Scouts_of_America
Daytona State College,free,"Lorna Bieber uses collage, paint, photocopier and computer technology to build traditional silver photographs",Southeast Museum of Photography,(386) 506-4475,http://www.smponline.org,Images: Found and Lost,"4/8 11:00AM, 4/9 1:00PM, 4/10 1:00PM, 4/12 11:00AM, 4/13 11:00AM, 4/14 11:00AM, 4/15 11:00AM, 4/16 1:00PM, 4/17 1:00PM, 4/19 11:00AM, 4/20 11:00AM, 4/21 11:00AM, 4/22 11:00AM, 4/23 1:00PM, 4/24 1:00PM, 4/26 11:00AM, 4/27 11:00AM, 4/28 11:00AM, 4/29 11:00AM, 4/30 1:00PM, 5/1 1:00PM, 5/3 11:00AM, 5/4 11:00AM, 5/5 11:00AM, 5/6 11:00AM, 5/7 1:00PM, 5/8 1:00PM, 5/10 11:00AM, 5/11 11:00AM, 5/12 11:00AM, 5/13 11:00AM, 5/14 1:00PM, 5/15 1:00PM, 5/17 11:00AM, 5/18 11:00AM, 5/19 11:00AM, 5/20 11:00AM, 5/21 1:00PM, 5/22 1:00PM, 5/24 11:00AM, 5/25 11:00AM, 5/26 11:00AM, 5/27 11:00AM, 5/28 1:00PM, 5/29 1:00PM",http://calendar.orlandoweekly.com/Events/e10061/Images_Found_and_Lost
Daytona State College,free,Stuart Rome&#39;s landscape images focus on the relationship between people and their environment,Southeast Museum of Photography,(386) 506-4475,http://www.smponline.org,Signs and Wonders,"4/8 11:00AM, 4/9 1:00PM, 4/10 1:00PM, 4/12 11:00AM, 4/13 11:00AM, 4/14 11:00AM, 4/15 11:00AM, 4/16 1:00PM, 4/17 1:00PM, 4/20 11:00AM, 4/22 11:00AM, 4/24 1:00PM, 4/27 11:00AM, 4/29 11:00AM, 4/30 1:00PM, 5/1 1:00PM, 5/3 11:00AM, 5/4 11:00AM, 5/5 11:00AM, 5/11 11:00AM, 5/12 11:00AM, 5/13 11:00AM, 4/19 11:00AM, 5/10 11:00AM, 5/8 1:00PM, 5/7 1:00PM, 5/6 11:00AM, 4/28 11:00AM, 4/23 1:00PM, 4/26 11:00AM, 4/21 11:00AM",http://calendar.orlandoweekly.com/Events/e10140/Signs_and_Wonders
600 St. Andrews Blvd.,free,Photo documentary represents the rich history of barbershops in Central Florida; through Apr. 23,Crealde School of Art,(407) 671-1886,http://www.crealde.org,The Central Florida Barbershop Documentary and Barber Story by Penny Jordan,"4/8 9:00AM, 4/9 9:00AM, 4/11 9:00AM, 4/12 9:00AM, 4/13 9:00AM, 4/14 9:00AM, 4/15 9:00AM, 4/16 9:00AM, 4/18 9:00AM, 4/19 9:00AM, 4/20 9:00AM, 4/21 9:00AM, 4/22 9:00AM, 4/23 9:00AM",http://calendar.orlandoweekly.com/Events/e10270/The_Central_Florida_Barbershop_Documentary_and_Barber_Story_by_Penny_Jordan
600 St. Andrews Blvd.,free,The Miami-based artist&#39;s paintings are constructed from urban architectural elements; through May 28,Crealde School of Art,(407) 671-1886,http://www.crealde.org,Lot Lines: The Paintings of Jenny Brillhart,"4/8 9:00AM, 4/9 9:00AM, 4/11 9:00AM, 4/12 9:00AM, 4/13 9:00AM, 4/14 9:00AM, 4/15 9:00AM, 4/16 9:00AM, 4/18 9:00AM, 4/19 9:00AM, 4/20 9:00AM, 4/21 9:00AM, 4/22 9:00AM, 4/23 9:00AM, 4/25 9:00AM, 4/26 9:00AM, 4/27 9:00AM, 4/28 9:00AM, 4/29 9:00AM, 4/30 9:00AM, 5/2 9:00AM, 5/3 9:00AM, 5/4 9:00AM, 5/5 9:00AM, 5/6 9:00AM, 5/7 9:00AM, 5/9 9:00AM, 5/10 9:00AM, 5/11 9:00AM, 5/12 9:00AM, 5/13 9:00AM, 5/14 9:00AM, 5/16 9:00AM, 5/17 9:00AM, 5/18 9:00AM, 5/19 9:00AM, 5/20 9:00AM, 5/21 9:00AM, 5/23 9:00AM, 5/24 9:00AM, 5/25 9:00AM, 5/26 9:00AM, 5/27 9:00AM, 5/28 9:00AM",http://calendar.orlandoweekly.com/Events/e10269/Lot_Lines_The_Paintings_of_Jenny_Brillhart
2416 N. Mills Ave.,$8,Series of sculptures by glass artist Therman Statom of Flying Horse Editions,Orlando Museum of Art,(407) 896-4231,http://www.omart.org,Caballo Volador Project,"4/8 10:00AM, 4/9 12:00PM, 4/10 12:00PM, 4/12 10:00AM, 4/13 10:00AM, 4/14 10:00AM, 4/15 10:00AM, 4/16 12:00PM, 4/17 12:00PM, 4/19 10:00AM, 4/20 10:00AM, 4/21 10:00AM, 4/22 10:00AM, 4/23 12:00PM, 4/24 12:00PM",http://calendar.orlandoweekly.com/Events/e10353/Caballo_Volador_Project
900 E. Princeton St.,$4,Exhibit celebrates the 75th anniversary of the Public Works of Art Project with 56 artworks,Mennello Museum of American Art,(407) 246-4278,http://www.mennellomuseum.org,1934: A New Deal for Artists,"4/9 10:30AM, 4/10 12:00PM, 4/12 10:30AM, 4/14 10:30AM, 4/15 10:30AM, 4/16 10:30AM, 4/19 10:30AM, 4/20 10:30AM, 4/21 10:30AM, 4/23 10:30AM, 4/24 12:00PM, 4/26 10:30AM, 4/28 10:30AM, 4/29 10:30AM, 4/30 10:30AM, 5/1 12:00PM, 4/27 10:30AM, 4/22 10:30AM, 4/17 12:00PM, 4/13 10:30AM, 4/8 10:30AM",http://calendar.orlandoweekly.com/Events/e10683/1934_A_New_Deal_for_Artists
400 S. Orange Ave.,free,Solo exhibition features cityscape paintings by Donna Frank,The Mayor's Gallery at Orlando City Hall,(407) 246-4279,http://www.cityoforlando.net,Moments In Time,"4/10 12:00PM, 4/14 8:00AM, 4/18 8:00AM, 4/26 8:00AM, 4/27 8:00AM, 4/24 12:00PM, 4/22 8:00AM, 4/25 8:00AM, 4/23 12:00PM, 4/19 8:00AM, 4/20 8:00AM, 4/21 8:00AM, 4/13 8:00AM, 4/16 12:00PM, 4/17 12:00PM, 4/15 8:00AM, 4/11 8:00AM, 4/12 8:00AM, 4/8 8:00AM, 4/9 12:00PM",http://calendar.orlandoweekly.com/Events/e11061/Moments_In_Time
1920 N. Forest Ave.,free,The Heathrow artist showcases landscape paintings,Harry P. Leu Gardens,(407) 246-2620,http://www.leugardens.org,Gene Amoroso,"4/19 9:00AM, 4/13 9:00AM, 4/8 9:00AM, 4/9 9:00AM, 4/10 9:00AM, 4/11 9:00AM, 4/12 9:00AM, 4/14 9:00AM, 4/15 9:00AM, 4/16 9:00AM, 4/17 9:00AM, 4/18 9:00AM, 4/20 9:00AM",http://calendar.orlandoweekly.com/Events/e11062/Gene_Amoroso
