address,venueName,description,phone,title,moreInfoLink
300 East 7th St.,ImaginOn,Performed by the Tarradiddle Players. This play follows a little angels journey into heaven and struggle to adapt and obey a new set of rules. Held in Wachovia Theatre.,,The Littlest Angel,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230024&amp;max=10
2740 W. Sugar Creek Road.,Puckett's Farm Equipment,,704-597-8230,Wolf Creek,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231784&amp;max=10
300 East 7th St.,ImaginOn,"Based on ""A Christmas Carol"" by Charles Dickens. Musical based on the gruesome character Ebenezer Scrooge, who is payed a visit by three Christmas spirits that change him for the better. For ages 7 years old and up. Best enjoyed by elementary, middle and high school ages. Held in McColl Family Theatre.",,Scrooge,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230023&amp;max=10
1228 Gordon St.,Snug Harbor,,,"3rd Annual Breastival w/ Cement Stars, Fat Camp, Small Talk Industries",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231824&amp;max=10
1401 Central Ave.%2C Suite 103,Story Slam,"StorySlam! Charlotte presents Senior Theatre League, a casual association of mature theater buffs, who meet for play readings and outings.    For more information, visit www.storyslamcharlotte.com.",,StorySlam Charlotte,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A197954&amp;max=10
2700 E. Independence Blvd,Ovens Auditorium,Irving Berlin musical direct from broadway. Tells the story of two showbiz buddies who perform in a magical Vermont inn and find their ideal mates in the process.,704-372-3600,White Christmas,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230031&amp;max=10
1423 South Tryon St,Amos' Southend,,704-377-6874,"Allstar Weekend w/ Stephen Jerzak, The Scene Aesthetic, Action Item",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231754&amp;max=10
,Charles Mack Citizen Center,Sing along with your favorite songs and become a part of our  new world. Visit: www.masterworkschoolofthearts.com.,,Aladdin,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231372&amp;max=10
501 Queens Road,Theatre Charlotte,"Adapted by John Jakes from the novel by Charles Dickens. The grumpy Scrooge is visited by Christmas Past, Christmas Present and Christmas Future, which opens his heart experiencing holiday joy.",704-376-3777,A Christmas Carol,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230068&amp;max=10
14825 John J. Delaney Dr,"Villa Antonio, Ballantyne",,704-369-5060,Bayou Butch Lucas,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A84291&amp;max=10
307 Armour St.,Armour Street Theatre,"Based on the motion picture, A Christmas Story, written by Jean Shepherd, Leigh Brown and Bob Clark and on the book In God We Trust, All Others Pay Cash by Jean Shepherd. Presented by Davidson Community Players.",,A Christmas Story,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229806&amp;max=10
1118 Clement Ave.,Carolina Actors Studio Theatre (CAST),"This play, by James McClure, is comprised of interwoven stories of New Yorkers that gather to pay tribute to John Lennon after he was shot to death.",704-455-8542,The Day They Shot John Lennon,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230027&amp;max=10
100 McDowell St.,Matthews Community Center,"Second annual Holiday Music Revue, performed entirely b the  Matthews Playhouse School of Theatre Training students.",704-846-8343,Deck the Halls,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230990&amp;max=10
650 E. Stonewall St.,Actor's Theatre of Charlotte,"With just three actors, a very tipsy Santa and some audience participation classic holiday stories, carols and TV specials are crammed together for an evening of seasonal cheer. By Michael Carleton, Jim Fitzgerald and John K. Alvarez, with original music by Will Knapp.",704-342-2251,Every Christmas Story Ever Told,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229775&amp;max=10
3227 N. Davidson St.,The Evening Muse,,704-376-3737,"Bess Rogers, Lelia Broussard, Eric-Scott Guthrie; Dylan Gilbert, Older Brother",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231846&amp;max=10
300 East 7th St.,ImaginOn,Performed by the Tarradiddle Players. This play follows a little angels journey into heaven and struggle to adapt and obey a new set of rules. Held in Wachovia Theatre.,,The Littlest Angel,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230024&amp;max=10
1933 S. Blvd.,Tyber Creek Pub,,704-343-2727,Billy Mulligan,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A56978&amp;max=10
130 N. Tryon St.,Belk Theater,"The holiday classic, choreographed by Artistic Director Jean-Pierre Bonnefoux, follows the young Clara who receives a magical Nutcracker doll from her mysterious uncle. As the nutcracker comes alive, Clara embarks on a journey to an enchanting land of snow and sweets. Presented by North Carolina Dance Theatre.",704-372-1000,Nutcracker,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230030&amp;max=10
,"Rusty Rudder, Cornelius",,,Blue Monday,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231857&amp;max=10
415 E. First Street,Kannapolis Performing Arts Center,"In its 8th year, Kannapolis based Piedmont Dance theatre  presents The Nutcracker.  www.piedmontdancetheatre.com.",,,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231731&amp;max=10
The Arboretum,Phil & Tony's,,704-541-3111,DJ Wojo,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A81993&amp;max=10
900 Crossroads Plaza,Fort Mill Comedy Zone at Madison&#146;s On The Corner,4th Annual Merry Christmas Happy Hanukkah Kwanzaa Cheers Whoopi: Festivus Comedy Improv Comedy Variety Extravaganza.,,The Chuckleheads,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231423&amp;max=10
6239 S. Blvd,Manifest Discs & Tapes,,704-552-8448,Dylan Gilbert & The Over Easy Breakfast Machine,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231858&amp;max=10
27 N. Congress Street,"Sylvia Theater, York",,803-684-5590,Elvis' Blue Blue Christmas starring Rick Wade,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231806&amp;max=10
900 Crossroads Plaza,Fort Mill Comedy Zone at Madison&#146;s On The Corner,"Stand-up comedy open mic. Comics get five minutes.  Sign-up starts at 7 p.m. For more information, visit www.thecomedyzonefortmill.com.",,Open Mic Night,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229607&amp;max=10
511 E. 36th St.,Neighborhood Theatre,,704-358-9298,"Eyes of the Elders, The Stereofidelics, The Kharma Kids",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231839&amp;max=10
400 W. Tremont Ave.,Tremont Music Hall,,704-343-9494,"Harvard, Yardwork",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231762&amp;max=10
2901 North Davidson St,Prevue,"Features Charlotte's improv comedy ensemble in a competitive battle of hilarity. High energy, audience interactive improv that's rated R. For reservations, call 803-548-6824. For more information, visit www.charlottecomedy.com.",,Charlotte Comedy Theater,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A199425&amp;max=10
,Thurston's Bar,,,"Kevin Marshall, Jim Garret",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231842&amp;max=10
1800 E. 7th St.,Cajun Queen,,704-377-9017,Live Jazz,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A198686&amp;max=10
NoDa,Wine Up,Long and short form comedic improv games. Proceeds benefit local and international charities.,704-372-2633,Improv Charlotte,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231695&amp;max=10
130 N. Tryon St.,Belk Theater,The Charlotte Symphony celebrates the season with a lively  holiday concert. www.charlottesymphony.org.,704-372-1000,Magic of Christmas,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231722&amp;max=10
P.O. Box 105,"Don Gibson Theatre, Shelby",,,New Harmonies: Celebrating American Roots Music,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229971&amp;max=10
Galway Hooker,Lake Norman Comedy Zone,,704-621-6373,Jon Reep,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231882&amp;max=10
,"Easy Eddie's, Huntersville",Open Mic Night.,,Open Mic Night,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A228807&amp;max=10
2901 North Davidson St,Prevue,"Features Charlotte's improv comedy ensemble in a competitive battle of hilarity. High energy, audience interactive improv that's rated R. For reservations, call 803-548-6824. For more information, visit www.charlottecomedy.com.",,Charlotte Comedy Theater,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A199425&amp;max=10
5th %26 College,Blue Restaurant,,,Presley Brothers,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A195262&amp;max=10
345 N. College St.,McGlohon Theatre,,704-372-1000,John Reep,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230035&amp;max=10
2740 W. Sugar Creek Road.,Puckett's Farm Equipment,,704-597-8230,Rebel Son,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231785&amp;max=10
8630 University Executive Park Drive,House of Jazz,Enjoy a comedy show at the House of Jazz. For more information call 704-968-2207 or visit www.thehouseofjazz.net.,,Funny First Sunday at House of Jazz,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A228834&amp;max=10
225 N. Caldwell St.,Breakfast Club,,704-374-1982,Retro 80's,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230365&amp;max=10
4919 Beatties Ford Road,Ramses Temple,Comedians must sign up by 6:30 p.m. Ages 21 and up welcome.,,Stand-Up Comedy Open Mic,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230888&amp;max=10
,"Wild Wing Cafe, South Charlotte",,,Scoot Pittman Duo,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231811&amp;max=10
218 E Independence Blvd,Double Door Inn,,704-376-1446,Shane Pruitt Band,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231833&amp;max=10
Galway Hooker,Lake Norman Comedy Zone,,704-621-6373,Craig Shoemaker,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231883&amp;max=10
900 Seaboard St.,Black Bear Saloon,,,"Simplified, Heywire",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231862&amp;max=10
345 N. College St.,McGlohon Theatre,,704-372-1000,Craig Shoemaker,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231625&amp;max=10
2700 E. Independence Blvd,Ovens Auditorium,,704-372-3600,Singing Christmas Tree,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231859&amp;max=10
900 Crossroads Plaza,Fort Mill Comedy Zone at Madison&#146;s On The Corner,"Stand-up comedy open mic. Comics get five minutes.  Sign-up starts at 7 p.m. For more information, visit www.thecomedyzonefortmill.com.",,Open Mic Night,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229607&amp;max=10
2901 North Davidson St,Prevue,"Features Charlotte's improv comedy ensemble in a competitive battle of hilarity. High energy, audience interactive improv that's rated R. For reservations, call 803-548-6824. For more information, visit www.charlottecomedy.com.",,Charlotte Comedy Theater,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A199425&amp;max=10
2901 North Davidson St,Prevue,"Features Charlotte's improv comedy ensemble in a competitive battle of hilarity. High energy, audience interactive improv that's rated R. For reservations, call 803-548-6824. For more information, visit www.charlottecomedy.com.",,Charlotte Comedy Theater,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A199425&amp;max=10
Catawba Ave.,Amos' at the Lake,,,Tim Clark Band,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231817&amp;max=10
1118 Clement Ave.,Carolina Actors Studio Theatre (CAST),Late Night Series.,704-455-8542,Robot Johnson,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A199804&amp;max=10
4919 Beatties Ford Road,Ramses Temple,Comedians must sign up by 6:30 p.m. Ages 21 and up welcome.,,Stand-Up Comedy Open Mic,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230888&amp;max=10
8708 J. W. Clay Blvd,Lava Bistro,,704-549-0050,Tony Fisher,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A223910&amp;max=10
Galway Hooker,Lake Norman Comedy Zone,,704-621-6373,Ed Caylor,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231884&amp;max=10
,LaVecchia's,,704-370-6776,TPS Report,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A82284&amp;max=10
,"Vinnie's, Mountain Island",,,Wink Keziah,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231864&amp;max=10
900 Crossroads Plaza,Fort Mill Comedy Zone at Madison&#146;s On The Corner,"Stand-up comedy open mic. Comics get five minutes.  Sign-up starts at 7 p.m. For more information, visit www.thecomedyzonefortmill.com.",,Open Mic Night,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229607&amp;max=10
3227 N. Davidson St.,The Evening Muse,,704-376-3737,afto n presents Hip Hop,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231847&amp;max=10
2901 North Davidson St,Prevue,"Features Charlotte's improv comedy ensemble in a competitive battle of hilarity. High energy, audience interactive improv that's rated R. For reservations, call 803-548-6824. For more information, visit www.charlottecomedy.com.",,Charlotte Comedy Theater,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A199425&amp;max=10
14825 John J. Delaney Dr,"Villa Antonio, Ballantyne",,704-369-5060,Bayou Butch Lucas,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A84291&amp;max=10
2901 North Davidson St,Prevue,"Features Charlotte's improv comedy ensemble in a competitive battle of hilarity. High energy, audience interactive improv that's rated R. For reservations, call 803-548-6824. For more information, visit www.charlottecomedy.com.",,Charlotte Comedy Theater,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A199425&amp;max=10
400 W. Tremont Ave.,Tremont Music Hall,,704-343-9494,Gorilla Productions Battle of the Bands,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231763&amp;max=10
4919 Beatties Ford Road,Ramses Temple,Comedians must sign up by 6:30 p.m. Ages 21 and up welcome.,,Stand-Up Comedy Open Mic,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230888&amp;max=10
1228 Gordon St.,Snug Harbor,,,"Izzy and the Kesstronics, Case Federal & The Agents, Summer Night Shade",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231825&amp;max=10
Galway Hooker,Lake Norman Comedy Zone,,704-621-6373,Drew Thomas,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231885&amp;max=10
1608 East Boulevard,Sole Spanish Grille,,704-343-9890,Jazz with Robert,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A113296&amp;max=10
900 Crossroads Plaza,Fort Mill Comedy Zone at Madison&#146;s On The Corner,"Stand-up comedy open mic. Comics get five minutes.  Sign-up starts at 7 p.m. For more information, visit www.thecomedyzonefortmill.com.",,Open Mic Night,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229607&amp;max=10
4809 Wilkinson Blvd.,Tempo,,,Jazzy Sundays,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230914&amp;max=10
2901 North Davidson St,Prevue,"Features Charlotte's improv comedy ensemble in a competitive battle of hilarity. High energy, audience interactive improv that's rated R. For reservations, call 803-548-6824. For more information, visit www.charlottecomedy.com.",,Charlotte Comedy Theater,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A199425&amp;max=10
2901 North Davidson St,Prevue,"Features Charlotte's improv comedy ensemble in a competitive battle of hilarity. High energy, audience interactive improv that's rated R. For reservations, call 803-548-6824. For more information, visit www.charlottecomedy.com.",,Charlotte Comedy Theater,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A199425&amp;max=10
4919 Beatties Ford Road,Ramses Temple,Comedians must sign up by 6:30 p.m. Ages 21 and up welcome.,,Stand-Up Comedy Open Mic,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230888&amp;max=10
1800 E. 7th St.,Cajun Queen,,704-377-9017,Live Jazz,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A198686&amp;max=10
130 N. Tryon St.,Belk Theater,The Charlotte Symphony celebrates the season with a lively  holiday concert. www.charlottesymphony.org.,704-372-1000,Magic of Christmas,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231722&amp;max=10
Galway Hooker,Lake Norman Comedy Zone,,704-621-6373,Derek Richards,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231886&amp;max=10
P.O. Box 105,"Don Gibson Theatre, Shelby",,,New Harmonies: Celebrating American Roots Music,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229971&amp;max=10
8630 University Executive Park Drive,House of Jazz,Enjoy a comedy show at the House of Jazz. For more information call 704-968-2207 or visit www.thehouseofjazz.net.,,Funny First Sunday at House of Jazz,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A228834&amp;max=10
NoDa,Wine Up,Long and short form comedic improv games. Proceeds benefit local and international charities.,704-372-2633,Improv Charlotte,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231695&amp;max=10
2810 Providence Road,Sanctuary of Providence United Methodist Church,"The Providence Methodist Church Chancel Choir  accompanied by harp, guitar, flute, oboe and marimba will  present familiar and new music for the Christmas season.",,Providence Chamber Music Series' Christmas Concert,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231593&amp;max=10
NoDa,Wine Up,Long and short form comedic improv games. Proceeds benefit local and international charities.,704-372-2633,Improv Charlotte,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231695&amp;max=10
1933 S. Blvd.,Tyber Creek Pub,,704-343-2727,"Sense of Purpose featuing Paul Agee, Chris Allen, Joe Lindsay, Mandyl Evans",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231684&amp;max=10
8630 University Executive Park Drive,House of Jazz,Enjoy a comedy show at the House of Jazz. For more information call 704-968-2207 or visit www.thehouseofjazz.net.,,Funny First Sunday at House of Jazz,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A228834&amp;max=10
208 N. Tryon St.,Ri Ra,,704-333-5554,The Session,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A228752&amp;max=10
1625 Highway 55 East,Clover School District Auditorium,"Family Night XII, featuring original humorous pieces that revolve around fairy tales, romance, struggles with cosmic forces and more.",803-222-8018,The Magic of John Tudor,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229788&amp;max=10
2700 E. Independence Blvd,Ovens Auditorium,,704-372-3600,Singing Christmas Tree,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231859&amp;max=10
3120 The Plaza,Charleston House,,,Will & Shanna,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A85109&amp;max=10
1228 Gordon St.,Snug Harbor,,,AntonetteG,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231826&amp;max=10
105 East Fifth St.,Phil's Tavern,,704-347-2511,Bar Wars Mondays with DJ Tommy Dee,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A156795&amp;max=10
1201 Elizabeth Ave.,CPCC's Halton Theater,Charlotte Youth Ballet presents performances of the holiday classic.,704-330-6534,Nutcracker,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230105&amp;max=10
1218 Thomas Ave.,Thomas Street Tavern,,704-376-1622,Boss Jones and Friends,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231141&amp;max=10
2520 N. Sharon Amity Rd.,Fred Astaire Dance Studio,"Ballroom, Latin and Swing. For more information, call 704-536-6070.",,Open to the Public Dance Lessons,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230330&amp;max=10
1933 S. Blvd.,Tyber Creek Pub,,704-343-2727,Dead Night,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A59089&amp;max=10
1958 East Seventh Street,The Philosopher's Stone Tavern,,,Deebs & Dabbs,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A80760&amp;max=10
3227 N. Davidson St.,The Evening Muse,,704-376-3737,Find Your Muse Open Mic,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229923&amp;max=10
124 McLaurin Hall,Winthrop University,"Featuring dance works choreographed by senior dance majors and including a variety of styles, such as modern, jazz, hip-hop, ballet and more. Held in Johnson Theatre.",803-323-2493,Senior Choreography Showcase,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229673&amp;max=10
1900 Queens Rd.,Myers Park Baptist Church,"The Chancel Choir of Myers Park Baptist Church along with  members of the Charlotte Symphony, will present J. S. Bach's  Magnificat in D.",704-334-7232,J.S. Bach's Magnificat in D,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231738&amp;max=10
1201 Elizabeth Ave.,CPCC's Halton Theater,Charlotte Youth Ballet presents performances of the holiday classic.,704-330-6534,Nutcracker,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230105&amp;max=10
1800 E. 7th St.,Cajun Queen,,704-377-9017,Live Jazz,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A198686&amp;max=10
124 McLaurin Hall,Winthrop University,"Featuring dance works choreographed by senior dance majors and including a variety of styles, such as modern, jazz, hip-hop, ballet and more. Held in Johnson Theatre.",803-323-2493,Senior Choreography Showcase,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229673&amp;max=10
218 E Independence Blvd,Double Door Inn,,704-376-1446,Monday Night Allstars,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230454&amp;max=10
P.O. Box 105,"Don Gibson Theatre, Shelby",,,New Harmonies: Celebrating American Roots Music,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229971&amp;max=10
1201 Elizabeth Ave.,CPCC's Halton Theater,Charlotte Youth Ballet presents performances of the holiday classic.,704-330-6534,Nutcracker,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230105&amp;max=10
130 N. Tryon St.,Belk Theater,"The holiday classic, choreographed by Artistic Director Jean-Pierre Bonnefoux, follows the young Clara who receives a magical Nutcracker doll from her mysterious uncle. As the nutcracker comes alive, Clara embarks on a journey to an enchanting land of snow and sweets. Presented by North Carolina Dance Theatre.",704-372-1000,Nutcracker,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230030&amp;max=10
2224 Park Rd.,Comet Grill,,704-371-4300,The Noises 10,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230828&amp;max=10
2520 N. Sharon Amity Rd.,Fred Astaire Dance Studio,"Ballroom, Latin and Swing. For more information, call 704-536-6070.",,Open to the Public Dance Lessons,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230330&amp;max=10
,Jackalope Jack's,,,Open Mic Night,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A218113&amp;max=10
130 N. Tryon St.,Belk Theater,"The holiday classic, choreographed by Artistic Director Jean-Pierre Bonnefoux, follows the young Clara who receives a magical Nutcracker doll from her mysterious uncle. As the nutcracker comes alive, Clara embarks on a journey to an enchanting land of snow and sweets. Presented by North Carolina Dance Theatre.",704-372-1000,Nutcracker,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230030&amp;max=10
343 W. John St.,Badfish Bar & Billiards,,,Open Mic Night,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A200834&amp;max=10
130 N. Tryon St.,Belk Theater,"The holiday classic, choreographed by Artistic Director Jean-Pierre Bonnefoux, follows the young Clara who receives a magical Nutcracker doll from her mysterious uncle. As the nutcracker comes alive, Clara embarks on a journey to an enchanting land of snow and sweets. Presented by North Carolina Dance Theatre.",704-372-1000,Nutcracker,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230030&amp;max=10
,Hideaway Sports Bar and Grill,,,Acoustic Open Mic,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231317&amp;max=10
130 N. Tryon St.,Belk Theater,"The holiday classic, choreographed by Artistic Director Jean-Pierre Bonnefoux, follows the young Clara who receives a magical Nutcracker doll from her mysterious uncle. As the nutcracker comes alive, Clara embarks on a journey to an enchanting land of snow and sweets. Presented by North Carolina Dance Theatre.",704-372-1000,Nutcracker,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230030&amp;max=10
218 E Independence Blvd,Double Door Inn,,704-376-1446,Bill Hanna Jazz Jam,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A211454&amp;max=10
2520 N. Sharon Amity Rd.,Fred Astaire Dance Studio,"Ballroom, Latin and Swing. For more information, call 704-536-6070.",,Open to the Public Dance Lessons,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230330&amp;max=10
Myers Park,Big Ben British Pub,,,Bill Hanna's Jazz Quartet,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A106267&amp;max=10
130 N. Tryon St.,Belk Theater,"The holiday classic, choreographed by Artistic Director Jean-Pierre Bonnefoux, follows the young Clara who receives a magical Nutcracker doll from her mysterious uncle. As the nutcracker comes alive, Clara embarks on a journey to an enchanting land of snow and sweets. Presented by North Carolina Dance Theatre.",704-372-1000,Nutcracker,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230030&amp;max=10
130 N. Tryon St.,Belk Theater,"The holiday classic, choreographed by Artistic Director Jean-Pierre Bonnefoux, follows the young Clara who receives a magical Nutcracker doll from her mysterious uncle. As the nutcracker comes alive, Clara embarks on a journey to an enchanting land of snow and sweets. Presented by North Carolina Dance Theatre.",704-372-1000,Nutcracker,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230030&amp;max=10
2520 N. Sharon Amity Rd.,Fred Astaire Dance Studio,"Ballroom, Latin and Swing. For more information, call 704-536-6070.",,Open to the Public Dance Lessons,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230330&amp;max=10
,Lucky Lou's Tavern,,,"Fairplay w/ Bobby Donaldson, Donnie Marshall, Tuff Blanton & Cary Sims",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A109822&amp;max=10
1206 Elizabeth Ave,"Halton Theater, CPCC","A family ballet offering comedy, mayhem and a happily-ever-after romance. Held in Halton Theater.",704-330-6534,Coppelia,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230179&amp;max=10
2200 Park Rd,Ed's Tavern,,704-335-0033,Full Band Open Mic,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A158091&amp;max=10
