venue,to,description,city,address,zipcode,image,state,email,longitude,title,moreInfoLink,tickets,times,latitude,from
New Repertory Theatre in Residence at The Arsenal Center for the Arts Charles Mosesian Theater,03/20/2011,"a drama by Theresa Rebeck directed by Bridget Kathleen O&rsquo;Leary featuring Will Lyman as Evan and Sarah Newhouse as Nora based on Hernik Ibsen&rsquo;s A Doll House  Set in suburban Connecticut, this contemporary adaptation of Ibsen&rsquo;s classic follows the iconic Nora as she struggles to preserve her seemingly perfect life. Nora&rsquo;s &ldquo;happy home&rdquo; is compromised when a man from her past unexpectedly resurfaces and threatens to reveal her secret. In this play by critically-acclaimed playwright Theresa Rebeck, Nora must decide between her idyllic world and a life she can truly claim as her own.</p>			</p>    			<br><br>",<br /> 						Watertown,321 Arsenal Street,02472,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440825071/homepage_dollhouse_medium.jpg,MA,tickets@newrep.org,-71.165045,DollHouse,http://www.artsboston.org/event/detail/440825071/DollHouse,"Off Peak: Sun Eve, Wed, Thu Mat, Thu Eve, Fri, Monday Opening Tr-B only.  Orch $52.00 Tr-B $46.00   Peak: Sun Mat, Sat Mat, Sat Eve, Monday Opening Orch seats only.  Orch $58.00 Tr-B $53.00   All Shows: Tr-C $28.00",Sun 2/27 7:30pm Mon 2/28 7:30pm (Opening) Thu 3/3 2pm  Thu 3/3 7:30pm Fri 3/4 8pm Sat 3/5 8pm Sun 3/6 2pm (Talkback) Wed 3/9 7:30pm Thu 3/10 7:30pm Fri 3/11 8pm Sat 3/12 3 pm  Sat 9/25 8pm Sun 3/13 2pm (Talkback) Thu 3/17 7:30pm Fri 3/18 8pm Sat 3/19 3pm  Sat 3/19 8pm Sun 3/20 2pm (Talkback),42.363083,02/27/2011
The Hanover Theatre,03/27/2011,"AVENUE Q is Broadway's smash-hit 2004 Tony Award winner for BEST MUSICAL, BEST SCORE and BEST BOOK. A hilarious show full of heart and hummable tunes, AVENUE Q is about trying to make it in NYC with big dreams and a tiny bank account.</p> <p>Called &quot;one of the funniest shows you're ever likely to see&quot; by Entertainment Weekly, AVENUE Q features a cast of people and puppets who tell the story in a smart, risque and downright entertaining way. The New Yorker calls it &quot;SUBVERSIVE and UPROARIOUS!&quot;</p> <p>Recommended for ages 13 and up.<br> &nbsp;</p>			</p>    			<br><br>",<br /> 						Worcester,Two Southbridge Street,01608,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440790254/qtourweb_medium.jpg,MA,info@thehanovertheatre.org,-71.8032447,Avenue Q,http://www.artsboston.org/event/detail/440790254/Avenue_Q,$30-$60; Subscribers save on 5-show package.,,42.2614076,03/25/2011
Trinity Repertory Company,04/03/2011,"Growing up in a small South Carolina town, Eugene and Alma find friendship, solace, and even love in each other. But he is light-skinned, and she is dark. Can their love survive the weight of the world?</p>			</p>    			<br><br>",<br /> 						Providence,201 Washington Street,02903,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440824677/yellowman-logo_medium.jpg,RI,,-71.4163147,Yellowman,http://www.artsboston.org/event/detail/440824677/Yellowman,Tickets start at $12,Evening showtimes are 7:30PM Matinee showtimes are 2:00PM,41.8221136,02/25/2011
Colonial Theatre,04/10/2011,"The Public Theater&rsquo;s new Tony&reg; Award winning production of HAIR is the most electric celebration on Broadway! This exuberant musical about a group of young Americans searching for peace and love in a turbulent time has struck a resonant chord with audiences young and old. HAIR features an extraordinary cast and dozens of unforgettable songs, including &ldquo;Aquarius,&rdquo; &ldquo;Let the Sun Shine In,&rdquo; &quot;Good Morning, Starshine&quot; and &ldquo;Easy To Be Hard.&rdquo; Its relevance is UNDENIABLE. Its energy is UNBRIDLED. Its truth is UNWAVERING. It's HAIR, and IT'S TIME. </p> <p>&quot;Diane Paulus's THRILLING, EMOTIONALLY RICH production delivers INTENSE, UNADULTERATED JOY.&quot; -The New York Times </p> <p>&quot;HAIR SPEAKS TO A WHOLE NEW GENERATION!&quot; -Time Out </p> <p>&quot;IF THIS EXPLOSIVE PRODUCTION DOESN&rsquo;T STIR SOMETHING IN YOU, IT MAY BE TIME TO CHECK YOUR PULSE.&quot; &ndash;Variety   </p> <p>While many find this show suitable for young adults (13 and older), parental discretion is advised. There is a dimly lit 20-second scene with nudity that is non-sexual in nature.</p>			</p>    			<br><br>",<br /> 						Boston,106 Boylston Street,02116,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440780095/hair_burst_logo_medium.jpg,MA,,-71.065459,Hair,http://www.artsboston.org/event/detail/440780095/Hair,$28-$94,"Tues at 7:30pm, Wed at 7:30pm, Thurs at 7:30pm, Fri at 8pm, Sat at 2pm &amp; 8pm, Sun at 2pm &amp; 7:30pm  (3/23 at 7pm)",42.352241,03/22/2011
"Boston University Theatre, Mainstage",04/10/2011,"Rita, a young, brash hairdresser, wants more out of life. With a newly discovered passion for English literature, she enrolls in the local university and meets her tutor, Frank, a middle-aged poet and professor. Her fresh, unschooled reactions to the classics cause him to question his own understanding of his work and himself in this warm and witty tale of self-discovery by Willy Russell (SHIRLEY VALENTINE, BLOOD BROTHERS).</p> <p>&quot;A truly great play! Willy Russell is a writer of genuine nobility of spirit, with a rare gift for empathy, observation, and sheer humanity.&quot; &mdash; London Telegraph</p>			</p>    			<br><br>",<br /> 						Boston,264 Huntington Avenue,02115,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440791953/ritasm_medium.jpg,MA,,-71.0857869,EDUCATING RITA by Willy Russell,http://www.artsboston.org/event/detail/440791953/EDUCATING_RITA_by_Willy_Russell,"$25-$89, $25 &quot;35 Below&quot; tickets for patrons 35 years and younger (valid I.D. required), $5 senior and military discounts, $10 Subscriber and B.U. Community discounts, $20 back row of the balcony (limited availability), $15 student rush seats (available two hours before curtain time for each performance)",Fri. 3/11 @ 8pm Sat. 3/12 @ 8pm Sun. 3/13 @ 7pm Tues. 3/15 @ 7:30pm Wed. 3/16 @ 7pm - Opening Night Thurs. 3/17* @ 7:30pm Fri. 3/18 @ 8pm Sat. 3/19 @ 2pm &amp; 8pm Sun. 3/20 @ 2pm &amp; 7pm Tues. 3/22 @ 7:30pm Wed. 3/23 @ 7:30pm Thurs. 3/24 @ 7:30pm Fri. 3/25 @ 8pm Sat. 3/26 @ 2pm &amp; 8pm Sun. 3/27* @ 2pm Tues. 3/29 @ 7:30pm Wed. 3/30 @ 2pm &amp; 7:30pm Thurs. 3/31* @ 7:30pm Fri. 4/1 @ 8pm Sat. 4/2 @ 2pm &amp; 8pm Sun. 4/3 @ 2pm Tues. 4/5 @ 7:30pm Wed. 4/6* @ 2pm &amp; 7:30pm Thurs. 4/7 @ 7:30pm Fri. 4/8 @ 8pm Sat. 4/9 @ 2pm &amp; 8pm Sun. 4/10 @ 2pm.  *Related Special Event - FREE with the purchase of a ticket to any performance: Thurs. 3/17 - Out &amp; About Club: G.L.B.T. audience members are invited to a post-show party at the theatre. Sun. 3/27 - Humanities Forum: A lively post-performance session on the historical and literary context of the show. Thurs. 3/31 &amp; Wed. 4/6 - Actors Forum: Participating members of the cast take questions after the performance.,42.3418125,03/11/2011
New Repertory Theatre in Residence at The Arsenal Center for the Arts Charles Mosesian Theater,04/17/2011,"book, music, and lyrics by Jason Robert Brown featuring Aimee Doherty as Cathy and Timothy John Smith as Jamie Black Box Theater   In this award-winning musical by Jason Robert Brown, audiences are taken on an intimate journey witnessing both the birth and unraveling of a young couple&rsquo;s five year relationship. Brown&rsquo;s alluring music interweaves the past and the present of a romantic and tumultuous love affair. Join Cathy and Jamie as they share their emotional stories through celebrated songs, such as &ldquo;Still Hurting,&rdquo; &ldquo;The Next Ten Minutes,&rdquo; and &ldquo;Shiksa Goddess.&rdquo;</p>			</p>    			<br><br>",<br /> 						Watertown,321 Arsenal Street,02472,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440825083/homepage_lastfive_medium.jpg,MA,tickets@newrep.org,-71.165045,The Last Five Years,http://www.artsboston.org/event/detail/440825083/The_Last_Five_Years,All Seats General Admission $35,Sun 3/27 7:30pm Mon 3/28 7:30pm (Opening) Thu 3/31 2pm  Thu 3/31 7:30pm Fri 4/1 8pm Sat 4/2 8pm Sun 4/3 2pm (Talkback) Wed 4/6 7:30pm Thu 4/7 7:30pm Fri 4/8 8pm Sat 4/9 3pm  Sat 12/11 8pm Sun 4/10 2pm (Talkback) Thu 4/14 7:30pm Fri 4/15 8pm Sat 4/16 3pm  Sat 4/16 8pm Sun 4/17 2pm (Talkback),42.363083,03/27/2011
Calderwood Pavilion at the BCA,05/01/2011,"Charles and Joseph are having one hell of a year. When a prank-gone-wrong in a the small town of Nazareth, PA leads to the death of their father, the two brothers struggle with their health, livelihoods, and sanity as a series of unfortunate events spiral into operatic miseries. In an age where most people look to faith, finances, or even modern medicine to solve any unpleasantries in life, Sons of the Prophet takes a brutally funny look at unresolved chronic pain and the many ways we cope with the overwhelming. </p> <p>&quot;Stephen Karam comes through as a writer whose voice is clear, and laugh-out-loud funny.&quot; &mdash; NY Daily News</p>			</p>    			<br><br>",<br /> 						Boston,527 Tremont Street,02116,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440791959/prophetsm_medium.jpg,MA,,-71.0703548,SONS OF THE PROPHET by Stephen Karam,http://www.artsboston.org/event/detail/440791959/SONS_OF_THE_PROPHET_by_Stephen_Karam,"$25-$89, $25 &quot;35 Below&quot; tickets for patrons 35 years and younger (valid I.D. required), $5 senior and military discounts, $10 Subscriber and B.U. Community discounts, $20 back row of the balcony (limited availability), $15 student rush seats (available two hours before curtain time for each performance)",Fri. 4/1 @ 8pm Sat. 4/2 @ 8pm Sun. 4/3 @ 7pm Tues. 4/5 @ 7:30pm Wed. 4/6 @ 7pm - Opening Night Thurs. 4/7* @ 7:30pm Fri. 4/8 @ 8pm Sat. 4/9 @ 2pm &amp; 8pm Sun. 4/10* @ 2pm Tues. 4/12 @ 7:30pm Wed. 4/13 @ 7:30pm Thurs. 4/14 @ 7:30pm Fri. 4/15 @ 8pm Sat. 4/16 @ 2pm &amp; 8pm Sun. 4/17 @ 2pm &amp; 7pm Tues. 4/19 @ 7:30pm Wed. 4/20 @ 2pm &amp; 7:30pm Thurs. 4/21* @ 7:30pm Fri. 4/22 @ 8pm Sat. 4/23 @ 2pm &amp; 8pm Sun. 4/24 @ 2pm Tues. 4/26 @ 7:30pm Wed. 4/27* @ 2pm &amp; 7:30pm Thurs. 4/28 @ 7:30pm Fri. 4/29 @ 8pm Sat. 4/30 @ 2pm &amp; 8pm Sun. 5/1 @ 2pm.  *Related Special Event - FREE with the purchase of a ticket to any performance: Thurs. 4/7 - Out &amp; About Club: G.L.B.T. audience members are invited to a post-show party at the theatre. Sun. 4/10 - Humanities Forum: A lively post-performance session on the historical and literary context of the show. Thurs. 4/21 &amp; Wed. 4/27 - Actors Forum: Participating members of the cast take questions after the performance.,42.3447388,04/01/2011
Central Square Theater,05/08/2011,"Breaking the Code (April 7 &ndash; May 8, 2011), Hugh Whitemore&rsquo;s elegant and deeply moving play about brilliant British mathematician Alan Turing, reveals connections between his cracking of the Nazi&rsquo;s &ldquo;unbreakable&rdquo; Enigma Code and his refusal to live a closeted life.  Turin embraced seeming contradiction: gay man and war hero, marathon runner and Disney film fan; he envisioned a &ldquo;universal&rdquo; machince&rdquo; and set the stage for modern computer technology.  Catalyst Collaborative@MIT, a science theater collaboration between Underground Railway Theater and MIT, enhances their production with post-show conversations with renowned scientists.</p>			</p>    			<br><br>",<br /> 						Cambridge,450 Massachusetts Avenue,02139,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440723999/code_medium.jpg,MA,,-71.100953,Breaking the Code,http://www.artsboston.org/event/detail/440723999/Breaking_the_Code_,"$40 for adults, $30 for seniors, $25 for students, and $20 student rush, when available.","The regular schedule for all performances is Wednesdays and Thursdays at 7:30 PM, Fridays and Saturdays at 8 PM, with matinees on Sundays at 2 PM.   There will be no Wednesday evening performance on April 13.",42.363593,04/07/2011
"Black Box Theater, Paramount Center",05/15/2011,"Compagnia TPO&rsquo;s Farfalle (Butterflies) is visual theatre of the senses, an immersive experience that brings together theatre and contemporary art and creates an innovative, magical relationship between children and performers. The technological centerpiece of the show is the CCC or &quot;Children Cheering Carpet,&quot; a special sensor-covered mat which interacts with dancers and the audience in real, enchanted time. The wondrous, other-worldly &quot;sensory gardens&quot; of Farfalle, take audiences on a magnificent journey through a literal and symbolic story of a butterfly&rsquo;s life cycle. This is beauty that kids can touch, beauty they can live in. You and your family have never experienced anything quite like it before.</p>			</p>    			<br><br>",<br /> 						Boston,560 Washington Street,02111,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440750625/farfalle2_80_medium.jpg,MA,,-71.0623987,"Compagnia TPO, Farfalle",http://www.artsboston.org/event/detail/440750625/Compagnia_TPO_Farfalle,Tickets are $35 &amp; $25 (subscription prices),"Subscription performances: Tuesday, May 10, 4pm Wednesday, May 11, 12pm &amp; 4pm Thursday, May 12, 12pm Friday, May 13, 12pm &amp; 4pm Saturday, May 14, 11am, 2pm &amp; 7pm Sunday, May 15, 11am, 2pm &amp; 5pm",42.3536115,05/10/2011
Trinity Repertory Company,05/15/2011,"On her wedding day, Shelby is a vision in pink - two lovely shades! Still, her mother, the beauty shop, and all the pink in the world can't protect her from what lies ahead. A classic American comedy.</p>			</p>    			<br><br>",<br /> 						Providence,201 Washington Street,02903,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440824683/steelmags-logo_medium.jpg,RI,,-71.4163147,Steel Magnolias,http://www.artsboston.org/event/detail/440824683/Steel_Magnolias,Tickets start at $12,Evening showtimes are 7:30PM Matinee showtimes are 2:00PM,41.8221136,04/15/2011
Zero Arrow Theatre,05/29/2011,"From its six-year run in New York City to a world tour from London to Seoul, the celebrated smash hit The Donkey Show now takes Boston by storm, bringing the ultimate disco experience &ndash; a crazy circus of mirror balls and feathered divas, of roller skaters and hustle queens. Come party on the dance floor to all the 70s disco hits you know by heart as the show unfolds around you. The Donkey Show tells the story of A Midsummer Night&rsquo;s Dream through the great 70s anthems, including &ldquo;We are Family,&rdquo; &ldquo;I Love the Nightlife,&rdquo; &ldquo;Car Wash,&rdquo; &ldquo;Ring My Bell,&rdquo; and &ldquo;Last Dance.&rdquo;  The enchanted forest of Shakespeare&rsquo;s classic comedy becomes the glittered world of retro disco as the lovers escape from their real lives to experience a night of dream, abandon, and fantasy.</p> <p>Directed by Diane Paulus</p>			</p>    			<br><br>",St<br /> 						Cambridge,2 Arrow St Corner of Mass. Ave and Arrow,02138,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/45259/donkey_show_medium.jpg,MA,boxoffice@amrep.org,-71.1143491,The Donkey Show,http://www.artsboston.org/event/detail/45259/The_Donkey_Show,$25 for dance floor $55 for table seating,Fri @8:00pm; Sat @ 8:00 &amp; 10:30 pm,42.370948,06/18/2010
Trinity Repertory Company,06/05/2011,"A world premiere work by resident acting company member Stephen Thorne, written for Trinity Rep&rsquo;s nationally renowned resident acting company. Edgar Allan Poe has been missing for seven days. And that&rsquo;s just the beginning of a journey that leads him to the bizarre, the macabre, and the sublime. Where is Poe going? To hell, to heaven&hellip; and back.</p>			</p>    			<br><br>",<br /> 						Providence,201 Washington Street,02903,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440824687/poe-logo_medium.jpg,RI,,-71.4163147,The Completely Fictional - Utterly True - Final Strange Tale of Edgar Allan Poe,http://www.artsboston.org/event/detail/440824687/The_Completely_Fictional_Utterly_True_Final_Strange_Tale_of_Edgar_Allan_Poe,Tickets start at $12,Evening showtimes are 7:30PM Matinee showtimes are 2:00PM,41.8221136,05/06/2011
The Hanover Theatre,06/12/2011,"FIDDLER ON THE ROOF, the Tony Award winning musical that has captured the hearts of people all over the world with its universal appeal embarks on its North American Tour. Audiences will have a once in a lifetime opportunity to see Jerome Robbins' original Broadway direction and choreography.</p> <p>Based on the stories of Sholom Aleichem, FIDDLER ON THE ROOF has been lauded by critics again and again, and won the hearts of people all around the world. Filled with a rousing, heartwarming score, which includes Tradition, Matchmaker, Matchmaker, If I Were A Rich Man and Sunrise, Sunset, FIDDLER ON THE ROOF is a timeless classic.</p> <p>No other musical has so magically woven music, dance, poignancy and laughter into such an electrifying experience. Relive a glorious tradition of musical theatre with FIDDLER ON THE ROOF!<br> &nbsp;</p>			</p>    			<br><br>",<br /> 						Worcester,Two Southbridge Street,01608,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440790257/fiddlerweb_medium.jpg,MA,info@thehanovertheatre.org,-71.8032447,Fiddler on the Roof,http://www.artsboston.org/event/detail/440790257/Fiddler_on_the_Roof,$35-$65; Subscribers save on 5-show package.,,42.2614076,06/10/2011
Central Square Theater,06/19/2011,"The season will end in song as The Nora Theatre Company presents the World Premiere of Silver Spoon (May 19 &ndash; June 19, 2011), a new musical with book by Cambridge playwright Amy Merrill, and music and lyrics by popular songwriter and activist Si Kahn.  Through toe-tapping folk numbers and rousing ballads, working-class Brooklyn and upper-crust Manhattan collide as two young lovers fight for justice and search for acceptance from their families, society, and each other.</p>			</p>    			<br><br>",<br /> 						Cambridge,450 Massachusetts Avenue,02139,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440724007/spoon_medium.jpg,MA,,-71.100953,Silver Spoon,http://www.artsboston.org/event/detail/440724007/Silver_Spoon,"$40 for adults, $30 for seniors, $25 for students, and $20 student rush, when available","The regular schedule for all performances is Wednesdays and Thursdays at 7:30 PM, Fridays and Saturdays at 8 PM, with matinees on Sundays at 2 PM.",42.363593,05/19/2011
"Boston University Theatre, Mainstage",06/19/2011,"Experience Shakespeare as never before when the internationally acclaimed Propeller Theatre Company leaps from England onto a Boston stage for the first time. One set of actors presents two productions in ambitious alternating repertory.   In RICHARD III, director Edward Hall and his British cast bring a great villain to unsparing life. The company shows off their trademark mischievous wit in THE COMEDY OF ERRORS, Shakespeare&rsquo;s most farcical comedy. A rigorous approach to classic text mixes with dynamic physicality and modern flair in the all-male Propeller productions, the theatrical event of the season. </p> <p>&quot;The daring, the dazzle, and the pure craft of this company is absolutely exhilarating.&quot; &mdash; The New York Times</p>			</p>    			<br><br>",<br /> 						Boston,264 Huntington Avenue,02115,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440791965/propellersm_medium.jpg,MA,,-71.0857869,RICHARD III/COMEDY OF ERRORS by William Shakespeare,http://www.artsboston.org/event/detail/440791965/RICHARD_IIICOMEDY_OF_ERRORS_by_William_Shakespeare,"$25-$89, $25 &quot;35 Below&quot; tickets for patrons 35 years and younger (valid I.D. required), $5 senior and military discounts, $10 Subscriber and B.U. Community discounts, $20 back row of the balcony (limited availability), $15 student rush seats (available two hours before curtain time for each performance)",RICHARD III: Wed. 5/18 @ 7:30pm Sat. 5/21 @ 8pm Sun. 5/22 @ 2pm Wed. 5/25 @ 7:30pm Sat. 5/28 @ 8pm Sun. 5/29 @ 2pm Tues. 5/31 @ 7:30pm Wed. 6/1* @ 2pm Sat. 6/4 @ 8pm Sun. 6/5* @ 2pm Tues. 6/7 @ 7:30pm Wed. 6/8 @ 7:30pm Fri. 6/10 @ 8pm Sat. 6/11 @ 2pm Thurs. 6/16 @ 7:30pm Fri. 6/17@ 8pm Sat. 6/18 @ 2pm Sun. 6/19 @ 7:30pm.  *Related Special Event - FREE with the purchase of a ticket to any performance: Wed. 6/1 - Actors Forum: Participating members of the cast take questions after the performance. Sun. 6/5 - Humanities Forum: A lively post-performance session on the historical and literary context of the show.  COMEDY OF ERRORS: Thurs. 5/19* @ 7:30pm Fri. 5/20 @ 8pm Sat. 5/21 @ 2pm Sun. 5/22 @ 7:30pm Wed. 5/25 @ 2pm Thurs. 5/26* @ 7:30pm Fri. 5/27 @ 8pm Sat. 5/28 @ 2pm Wed. 6/1 @ 7:30pm Thurs. 6/2 @ 7:30pm Fri. 6/3 @ 8pm Sat. 6/4 @ 2pm Thurs. 6/9 @ 7:30pm Sat. 6/11 @ 8pm Sun. 6/12 @ 2pm Tues. 6/14 @ 7:30pm Wed. 6/15 @ 7:30pm Sat. 6/18 @ 8pm Sun. 6/19 @ 2pm.  *Related Special Event - FREE with the purchase of a ticket to any performance: Thurs. 5/26 - Out &amp; About Club: G.L.B.T. audience members are invited to a post-show party at the theatre. Thurs. 5/19 - Actors Forum: Participating members of the cast take questions after the performance.,42.3418125,05/18/2011
Colonial Theatre,07/09/2011,"More than fifty years ago one musical changed theater forever. Now it&rsquo;s back on Broadway mesmerizing audiences once again. From the first note to the final breath, WEST SIDE STORY soars as the greatest love story of all time.  Directed by its two-time Tony&reg; Award-winning librettist Arthur Laurents, WEST SIDE STORY remains as powerful, poignant and timely as ever.  The new Broadway cast album of WEST SIDE STORY recently won the 2010 Grammy&reg; Award for Best Musical Show Album. The Bernstein and Sondheim score is considered to be one of Broadway's finest and features such classics of the American musical theatre as &quot;Something's Coming,&quot; &quot;Tonight,&quot; &quot;America,&quot; &quot;I Feel Pretty&quot; and &quot;Somewhere.&quot;  </p> <p>&ldquo;So exciting IT MAKES YOU ACHE WITH PLEASURE.&rdquo; &ndash;John Lahr, The New Yorker</p>			</p>    			<br><br>",<br /> 						Boston,106 Boylston Street,02116,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440781033/wss-vert_sm_medium.jpg,MA,,-71.065459,West Side Story,http://www.artsboston.org/event/detail/440781033/West_Side_Story,$28-$94,"Tues at 7:30pm, Wed at 7:30pm, Thurs at 7:30pm, Fri at 8pm, Sat at 2pm &amp; 8pm, Sun at 2pm &amp; 7:30pm  Wed, 6/15 at 7pm, Thurs 7/7 at 1pm &amp; 7:30pm",42.352241,06/14/2011
The Bello Playhouse @ Venu,01/01/2037,"THE AWESOME 80S PROM is a brand new blast-from-the-past interactive show in the style of Tony 'n Tina's Wedding and The Donkey Show set at Wanaget High's Senior Prom . . . in 1989!  All your favorite characters from your favorite '80s movies are at THE PROM, from the Captain of the Football Team to the Asian Exchange Student, from the Geek to the hottie Head Cheerleader, and they're all competing for Prom King and Queen.  And just like on &quot;American Idol&quot;, the audience decides who wins, all while moonwalkin'&nbsp; to retro hits like &quot;Girls Just Wanna Have Fun&quot; and &quot;Wake Me Up Before You Go Go!&quot;  Come &quot;Back In Time&quot;, to quote a Huey Lewis tune, and join the breakdance circle or just stand back and watch the '80s drama unfold.  Come on, you know you have a Members Only jacket somewhere.  If you're lucky, you'll even get to dance with the Captain of the Football Team. . . and this time, you don't have a curfew.</p>			</p>    			<br><br>",<br /> 						Boston,100 Warrenton Street,02116,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/44369/80s_prompinkback_medium.jpg,MA,ContactUS@BelloBoston.com,-71.0660302,Awesome 80's Prom!,http://www.artsboston.org/event/detail/44369/Awesome_80s_Prom,Tickets start at $39.99 - $99.99,7:30 PM - 10:00 PM  Shows are select Saturday nights. Check website for details.,42.3505592,05/30/2009
The Charles Playhouse,01/01/2037,"Blue Man Group combines music, comedy and multimedia theatrics to create a totally unique form of entertainment. The blissful party atmosphere created at their live events has become the trademark of a Blue Man Group experience. Bring your whole family!</p> <p>*Blue Man Group is on an open run at the Charles Playhouse.&nbsp;</p>			</p>    			<br><br>",<br /> 						Boston,74 Warrenton Street,02116,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/44169/porto_bmp_boston-image-475x260_jan09_medium.jpg,MA,,-71.06604,Blue Man Group,http://www.artsboston.org/event/detail/44169/Blue_Man_Group,"$69 for prime time performances, which include Friday 7pm, Saturday 5pm, and Saturday 8pm. $64 for non-prime time performances. $48 for slightly obstructed view seating for all performances. Group Sales pricing is available for groups of 15 or more. Please call 617-542-6700 x3.",Monday&nbsp;through Thursday - 8pm,42.350445,05/14/2002
The Charles Playhouse,01/01/2037,"Discover for yourself why over 8 million people around the world have seen Shear Madness, the uproarious whodunit where the audience gets to solve the crime. A mixture of improvisation and up-to-the-minute spontaneous humor. The play is delightfully different every time you see it.</p>			</p>    			<br><br>",<br /> 						Boston,74 Warrenton Street,02116,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/40855/img_0086_medium.jpg,MA,,-71.06604,Shear Madness,http://www.artsboston.org/event/detail/40855/Shear_Madness,$42,Tues. - Friday 8:00 pm Saturday 6:00 &amp; 9:00 pm Sunday 	3:00 &amp; 7:00 pm,42.350445,05/01/2010
The Institute of Contemporary Art,03/04/2011,"Every Thursday from 5 p.m. to 9 p.m., general admission to the Institute of Contemporary Art is free.</p>			</p>    			<br><br>",<br /> 						Boston,100 Northern Avenue,02210,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/42501/logo_ica_medium.gif,MA,,-71.043756,Target Free Thursday Nights at the ICA,http://www.artsboston.org/event/detail/42501/Target_Free_Thursday_Nights_at_the_ICA,Free,5:00pm to 9:00pm,42.351297,03/31/2009
The Eric Carle Museum of Picture Book Art,03/20/2011,"Join us for a smorgasbord of picture book art that explores the unique role food plays throughout children&rsquo;s literature. The works of Eric Carle, as well as the works of other artists from our permanent collection, illustrate a range of themes, from food as basic sustenance to food as the center of family social life. For Carle, for example, food has been a leitmotif &mdash; famously, a caterpillar storing up food for its transformation into a butterfly, and with equal determination, a little boy making pancakes truly from scratch. Additional events highlighting the exhibits are planned in our reading library, auditorium, and art studio.</p>			</p>    			<br><br>",<br /> 						Amherst,125 West Bay Road,01002,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440805959/feast_for_the_eyes_medium.jpg,MA,,-72.5331999,Eric Carle: A Feast for the Eyes,http://www.artsboston.org/event/detail/440805959/Eric_Carle_A_Feast_for_the_Eyes,"Adult admission $9 Youth (under 18), Student, Teacher and Senior Admission $6 Family Admission (2 adults and 2 youth) $22.50",Tuesday- Friday 10am-4pm Saturday 10am-5pm Sunday 12pm- 5pm,42.321,09/21/2010
Seaport World Trade Center,03/27/2011,"Craftboston Spring is New England's premiere exhibition and sale of contemporary craft. Craftboston showcases one-of-a-kind and limited-edition pieces in baskets, ceramics, decorative fiber, wearables, furniture, glass, jewelry, leather, metal, mixed media, paper and wood. Craftboston Spring includes 200 artists and is located at the Seaport World Trade Center on Boston&rsquo;s historic waterfront.    Craftboston is produced by The Society of Arts and Crafts. Incorporated in 1897, SAC has been at the forefront of the American craft movement fostering the development, sales, recognition and education of craft for over 100 years.</p>			</p>    			<br><br>",<br /> 						Boston,1 Seaport Lane,02210,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440812079/craftbostonlogo_nobox_medium.jpg,MA,,-71.0418,CRAFTBOSTON Spring 2011,http://www.artsboston.org/event/detail/440812079/CRAFTBOSTON_Spring_2011,"General Admission $15  Senior Citizens $13  SAC Members $12  Children, 12 years and under Free Admission tickets valid for readmission throughout the weekend. $3 off general admission coupons available in many major local newspapers","Thursday March 24, 2011 6pm-9pm Preview Party Friday March 25, 2011 10-6 Saturday March 26, 2011 10-6 Sunday March 27, 2011 11-5",42.3492,03/25/2011
