title,website,ticketPhone,latitude,dates,moreInfoLink,city,address,description,venue,longitude,email,state,zipcode,image
Midwest Kid Fest & Teddy Bear Parade,http://www.fargoparks.com/se_famevents_summer.html,,46.8734309,06/17/2011,http://fmarea.culturepulse.org/event/detail/441094633/Midwest_Kid_Fest_Teddy_Bear_Parade,Fargo,1st Avenue & 7th Street South,"Bring a teddy bear to Dike West and march in the parade beginning at 10:30am.  Stay and have fun at over 30 interactive educational booths, carnival games, and entertainment stages.</p>			</p>    			<br><br>",Island Park,-96.7896736,,ND,58103,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/371/parks_logo_medium.jpg
Skateboarding Day,http://www.fargoparks.com/se_skateparkevents.html,,46.87027,06/21/2011,http://fmarea.culturepulse.org/event/detail/441094639/Skateboarding_Day,Fargo,310 4th Street South,Enjoy a day of skateboarding with free food and music.</p>			</p>    			<br><br>,Dike West,-96.783326,,ND,58103,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/371/parks_logo_medium.jpg
Scandinavian Hjemkomst Festival,http://www.NordicCultureClubs.org,Nordic Culture Clubs 218-299-5452,46.8770778,06/24/2011-06/25/2011,http://fmarea.culturepulse.org/event/detail/441182979/Scandinavian_Hjemkomst_Festival,Moorhead,202 1st Avenue North,"Come experience the Wonder of Scandinavia at the 2011 Scandinavian Hjemkomst Festival. Enjoy entertainment from Norway and Sweden, Music, theater, dancing, Scandinavian food, children's activities, exhibitors and shopping.</p>			</p>    			<br><br>",Hjemkomst Center,-96.7794831,info@NordicCultureClubs.org,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/377/nordic4_medium.jpg
Disney's Aladdin Kids,http://www.fmct.org,701-235-6778,46.870961,06/22/2011-06/26/2011,http://fmarea.culturepulse.org/event/detail/440839831/Disneys_Aladdin_Kids,Fargo,333 4th St. S,"Welcome to the marketplace of Agrabah, where we're about to begin the fantastic tale of the street rat who became a prince! This stage adaptation of the Disney film, specifically for younger performers, features hit songs including &quot;Friend Like Me,&quot; &quot;Prince Ali,&quot; and &quot;A Whole New World&quot;. Aladdin, Jasmine, Jafar, Iago, and the Genie battle for power and possession of the lamp. Get out your magic carpet and get ready for this enchanting theatrical ride!</p>			</p>    			<br><br>",Fargo-Moorhead Community Theatre,-96.786051,,ND,58103,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/440839831/aladdin_medium.jpg
Soroptimist International 2011 Garden Tour,,701-235-5994,,06/28/2011-06/29/2011,http://fmarea.culturepulse.org/event/detail/441163983/Soroptimist_International_2011_Garden_Tour,Fargo,,"Who:  Soroptimist International of Fargo<br> <br> What:  Annual Garden Tour<br> <br> When:  Tuesday, June 28, 2011          1:30-7:30pm<br> <br> Wednesday, June 29, 2011 1:30-7:30pm <br> <br> <br> Where:  Moorhead gardens on Tuesday<br> <br> West Fargo gardens on Wednesday<br> <br> Tickets will be available starting May 7 at the following locations:  <br> <br> all Hornbacher&rsquo;s Stores<br> <br> Baker Nursery-Garden &amp; Gift<br> <br> both Shotwell Floral Greenhouse &amp; Garden locations <br> <br> Holland&rsquo;s Landscaping &amp; Garden Center<br> <br> <br> Tickets will also be available at every house on the tour.		<br> <br> <br> For questions contact:  Carol Staiger 701-235-5994                             Cindy Thrall at  701-361-6333</p>			</p>    			<br><br>",Tour will be announced,,,ND,58102,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441163983/prairegarden_medium.jpg
Community Play Days,http://www.fargoparks.com/se_famevents_summer.html,,46.836705,06/09/2011-08/11/2011,http://fmarea.culturepulse.org/event/detail/441094625/Community_Play_Days,Fargo,2902 25th Street South,"Kids will have fun playing games, making crafts, and being active.  Daycares welcome!  June 9, July 7, and August 11.</p>			</p>    			<br><br>",Rheault Farm,-96.818643,,ND,58103,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/371/parks_logo_medium.jpg
BMX Jam,http://www.fargoparks.com/se_skateparkevents.html,,46.87027,06/19/2011-08/21/2011,http://fmarea.culturepulse.org/event/detail/441094637/BMX_Jam,Fargo,310 4th Street South,"Bikers, show off your tricks at the BMX Jam. All skill levels can participate in the exhibition. Helmets are required.<br> June 19th &amp; August 21st.</p>			</p>    			<br><br>",Dike West,-96.783326,,ND,58103,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/371/parks_logo_medium.jpg
18th Annual National Juried Watermedia Exhibition,http://redriverws.org,,46.8770778,06/19/2011-09/19/2011,http://fmarea.culturepulse.org/event/detail/440958085/18th_Annual_National_Juried_Watermedia_Exhibition,Moorhead,202 1st Avenue North,Red River Watercolor Society 18th Annual National juried Watermedia Exhibition			</p>    			<br><br>,Hjemkomst Center,-96.7794831,,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/220/rrws2_medium.jpg
"Susan Susanka, author of The Not So Big House",http://www.larl.org,218-233-7594,,05/20/2011,http://fmarea.culturepulse.org/event/detail/441152125/Susan_Susanka_author_of_The_Not_So_Big_House,901 8th St. S.<br />						Moorhead,"Hvidsten Hall of Music, Concordia College","Learn to reduce your ecological footprint.  Join us for a presentation and Q&amp;A with Sarah Susanka - author and cultural visionary.  Ms. Susanka is leading a movement that is redefining America one &quot;not so big&quot; house at a time.  Book signing to follow.  Admission is free, but limited.  Pick up your tickets at the Moorhead Library</p>			</p>    			<br><br>",Concordia Christiansen Recital Hall,,,MN,56562,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441152125/larl_logo_medium.jpg
Share A Story,http://www.fargoparks.com,,,06/04/2011,http://fmarea.culturepulse.org/event/detail/441094589/Share_A_Story,Fargo,2902 25th Street South,"Stories shared through music, dance, and performances by community members.  Free food, free books, free fun!</p>			</p>    			<br><br>",Rheault Farm,,,ND,58103,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/371/parks_logo_medium.jpg
Community Play Days,http://www.fargoparks.com/se_famevents_summer.html,,,06/09/2011-08/11/2011,http://fmarea.culturepulse.org/event/detail/441094625/Community_Play_Days,Fargo,2902 25th Street South,"Kids will have fun playing games, making crafts, and being active.  Daycares welcome!  June 9, July 7, and August 11.</p>			</p>    			<br><br>",Rheault Farm,,,ND,58103,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/371/parks_logo_medium.jpg
Classical Music Festival,http://www.fargoparks.com,,,06/05/2011,http://fmarea.culturepulse.org/event/detail/441094617/Classical_Music_Festival,Fargo,Kandi Lane and Elm Street,"Listen to free performances from the FM Symphony, Jazz Arts Group, and other local musicians.</p>			</p>    			<br><br>",Trollwood Park,,,ND,,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/371/parks_logo_medium.jpg
Moody Blues at the Imagine Amphitheatre,http://www.jadepresents.com,701-205-9182,46.818403,06/08/2011,http://fmarea.culturepulse.org/event/detail/441061415/Moody_Blues_at_the_Imagine_Amphitheatre,Moorhead,801 50th Avenue SW,"Bluestem Center for the Arts and Jade Presents are thrilled to announce the first Bluestem concert of the 2011 season: The Moody Blues at the Imagine Amphitheater on June 8. (At Trollwood in Moorhead, MN)<br> <br> <br> <br> Imagine Amphitheater is an open-air setting, so prepare accordingly. The show will go on rain or shine, and refunds will not be offered in the event of inclement weather.<br> <br> <br> <br> Tickets go on sale Friday, December 17 at 12 Noon<br> <br> Tickets are available at Tickets300 (300 Broadway N; open Monday-Friday from 12-6pm), Tickets300 kiosks at downtown FM Atomic Coffee locations, charge by phone at 701.205.3182, and online at http://www.jadepresents.com or http://www.tickets300.com<br> <br> <br> <br> General Admission Lawn $38<br> <br> General Admission Bench $48<br> <br> Reserved $75<br> <br> * All tickets are subject to convenience/handling fees <br> <br> <br> <br> The Moody Blues<br> <br> <br> <br> In an endless sea of rock and pop formats, The Moody Blues have distinguished themselves through four decades as that shimmering jewel vindicating rock music as a substantial artistic contribution to Western culture. Since the 60's, as a part of the historic original British invasion of Supergroups, The Moody Blues have lit up the hearts and minds of millions of rock fans with inspiring anthems like &quot;Nights in White Satin,&quot; &quot;Tuesday Afternoon&quot; and &quot;I'm just A Singer (In A Rock And Roll band),&quot; that express universal thems of love, compassion and peace. The band's unique style of music consistently finds airplay on radio stations globally and continues to illuminate concert arenas around the world. To check out The Moody blues' website, click here. http://www.moodyblues.co.uk  <br> &nbsp;</p>			</p>    			<br><br>",Trollwood Imagine Amphitheater,-96.767741,www.tickets300.com,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441061415/moody_blues_color_shirts_lr1_medium.jpg
Fargo Rock Concerts,http://www.fargoparks.com/se_concerts.html,,46.87027,06/13/2011-08/15/2011,http://fmarea.culturepulse.org/event/detail/441094629/Fargo_Rock_Concerts,Fargo,310 4th Street South,"Punk, Rock, Metal! Two bands! Three different nights! All ages welcome! Get your friends and come out to see the areas up and coming musicians. The Fargo Park District is hosting a concert series this summer. These shows are free and all ages are welcome to attend.  June 13, July 18, and August 15th.</p>			</p>    			<br><br>",Dike West,-96.783326,,ND,58103,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/371/parks_logo_medium.jpg
Tuesday Tunes,http://www.fargoparks.com/se_concerts.html,,,06/21/2011-08/16/2011,http://fmarea.culturepulse.org/event/detail/441094641/Tuesday_Tunes,Fargo,425 Broadway,"Talented local musicians perform during the lunch hour outside on the park plaza.  Purchase tasty treats from the clock tower cafe.  June 21, July 19, &amp; August 16.</p>			</p>    			<br><br>",Great Northern Park,,,ND,58102,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/371/parks_logo_medium.jpg
Share A Story,http://www.fargoparks.com,,46.836705,06/04/2011,http://fmarea.culturepulse.org/event/detail/441094589/Share_A_Story,Fargo,2902 25th Street South,"Stories shared through music, dance, and performances by community members.  Free food, free books, free fun!</p>			</p>    			<br><br>",Rheault Farm,-96.818643,,ND,58103,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/371/parks_logo_medium.jpg
Tuesday Tunes,http://www.fargoparks.com/se_concerts.html,,46.8804899,06/21/2011-08/16/2011,http://fmarea.culturepulse.org/event/detail/441094641/Tuesday_Tunes,Fargo,425 Broadway,"Talented local musicians perform during the lunch hour outside on the park plaza.  Purchase tasty treats from the clock tower cafe.  June 21, July 19, &amp; August 16.</p>			</p>    			<br><br>",Great Northern Park,-96.7876711,,ND,58102,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/371/parks_logo_medium.jpg
Little Country Theatre presents TALES OF THE LOST FORMICANS,http://www.ndsu.edu/finearts/,701.231.7969,46.8903867,04/14/2011-04/28/2011,http://fmarea.culturepulse.org/event/detail/440900273/Little_Country_Theatre_presents_TALES_OF_THE_LOST_FORMICANS,Fargo,12th Avenue and Albrecht North,"Think &quot;The Hitchhiker's Guide to the Galaxy&quot; meets familiar dysfunction as anthropological aliens investigate 20th century American customs.  Their work focuses on the McKissicks, a typical, but presently unraveling, middle-class family.  Their investigation into how humans act adds a dimension of humor to the search for understanding in life.<br> <br> For mature audiences.</p>			</p>    			<br><br>",NDSU Askanase Auditorium,-96.802062,ndsu.fine.arts@ndsu.edu,ND,58105,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/440900273/logo_outbox_centered-17.1_medium.jpg
History Lecture Series,http://www.hcscconline.org,218-299-5511,46.8770778,04/30/2011,http://fmarea.culturepulse.org/event/detail/441213535/History_Lecture_Series,Moorhead,202 1st Avenue North,"Dr. Timothy Kloberdanz, who teaches Anthropology and Folklore at North Dakota State University, will be discussing Germans from Russia. A book signing is at 3:15 p.m. with Dr. Kloberdanz and Troyd A. Geist, editors of the new book Sundogs and Sunflowers.</p>			</p>    			<br><br>",Hjemkomst Center,-96.7794831,,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441213535/sundog_medium.jpg
John Gorka & Dala,"http://www.johngorka.com, www.dalagirls.com",218-844-SHOW (7469),46.8183276,04/29/2011,http://fmarea.culturepulse.org/event/detail/441206655/John_Gorka_Dala,Detroit Lakes,826 Summit Avenue,"Join us for a night of two acoustic folk phenomenons. Drawing upon influences like The Beatles, Joni Mitchell, Neil Young and Bob Dylan, Dala write songs that are both catchy and insightful. John Gorka is a contemporary American folk musician, whose righ songs are full of depth, beauty and emotion. His rich baritone voice and unique songcraft weave together in a way that can only be described as &quot;Gorka&quot;</p>			</p>    			<br><br>",Historic Holmes Theatre,-95.8496862,,MN,56501,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441206655/chair_medium.jpg
Accelerate: Emerging Artists with Disabilities Exhibit to come to NDSU MU Gallery,http://www.vsarts.org/accelerate,701-231-7900,46.8941371,04/12/2011-04/30/2011,http://fmarea.culturepulse.org/event/detail/441206911/Accelerate_Emerging_Artists_with_Disabilities_Exhibit_to_come_to_NDSU_MU_Gallery,Fargo,Administration Ave at Centennial Blvd.,"NDSU University News- Mu Gallery<br> <br> *Accelerate: Emerging Artists with Disabilities Exhibit to come to NDSU MU Gallery*<br> <br> Fargo, N.D. - VSA arts and Volkswagen Group of America, Inc., have partnered for the eighth year to recognize and showcase a group of emerging artists with disabilities living throughout the United States. This year&rsquo;s exhibit, entitled &ldquo;Accelerate: Emerging Artists with Disabilities&rdquo; will be at the North Dakota State University Memorial Union Art Gallery from March 30th through April 30th. A reception date has not yet been determined. <br> <br> VSA arts sent out more than 20,000 calls for entry to high schools and colleges around the country. 15 recipients were selected from 236 submissions and were awarded a total of $60,000 from the Volkswagen Group of America, Inc.<br> <br> Participants were asked to consider the source of their artistic motivations and were encouraged to contemplate the relationship between life, art and disability for this year&rsquo;s show. The art medium this year varies; including sculpture, drawing and painting. <br> <br> For more information on the Accelerate exhibit or VSA arts visit www.vsarts.org/accelerate. <br> <br> ###<br> <br> Esther Hockett: 701 231 8239<br> MU Gallery: 701 231 7900<br> Ndsu.mugallery@ndsu.edu<br> www.ndsu.edu/mu<br> www.vsarts.org/accelerate</p>			</p>    			<br><br>",NDSU Memorial Union,-96.8015804,,ND,58105,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/placeholder.png
Accelerate. Emerging Artists with Disabilities,http://www.vsarts.org/prebuilt/showcase/gallery/exhibits/Accelerate/,701-231-7900,46.8941371,04/08/2011-05/07/2011,http://fmarea.culturepulse.org/event/detail/441206049/Accelerate_Emerging_Artists_with_Disabilities,Fargo,Administration Ave at Centennial Blvd.,"For the eighth year, VSA arts and Volkswagen Group of America, Inc., have partnered to recognize and showcase emerging artists with disabilities, ages 16&ndash;25, who are living in the United States. This collaboration supports these artists at a critical time when many are deciding whether to pursue the arts as a career. The award validates, and helps finance, that life-defining choice.<br> <br> <br> <br> VSA arts sent more than 20,000 calls for entry to high schools and colleges around the country, inviting submissions that illustrate the theme &quot;Accelerate.&quot; Participants were asked to consider the source of their artistic motivations and were encouraged to contemplate the relationship between life, art, and disability. Selected from 236 submissions, these 15 recipients were awarded a total of $60,000 generously provided by Volkswagen Group of America, Inc.</p>			</p>    			<br><br>",NDSU Memorial Union,-96.8015804,,ND,58105,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/769/carol_kroll_and_dale_medium.png
March for Babies,http://www.marchofdimes.com/northdakota,,,04/30/2011,http://fmarea.culturepulse.org/event/detail/441092329/March_for_Babies,West Fargo,1201 7th Ave E,"When you walk in March for Babies, you give hope to the more than half a million babies born too soon each year. The money you raise supports programs in your community that help moms have healthy, full-term pregnancies. And it funds research to find answers to the problems that threaten our babies.</p>			</p>    			<br><br>",Veterans Memorial Arena,,,ND,,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441092329/mfb10-436theaterslide%20thumbnail_medium.jpg
Victorian Trunk and Tea Fundraiser,http://www.hcscconline.org,218-299-5511 Ext. 6739,46.8770778,05/07/2011,http://fmarea.culturepulse.org/event/detail/441206913/Victorian_Trunk_and_Tea_Fundraiser,Moorhead,202 1st Avenue North,"Join us for a fun friends' get-together or a perfect Mother-Daughter outing to celebrate Mother's Day at our Victorian Trunk and Tea Fundraiser held on Saturday, May 7 with a seating at 10 a.m. and a second seating at 2 p.m. Vintage clothing collector Barbara Hundstad will give an illustrated talk called &quot;Presenting Penelope: Victorian and Edwardian Fashion&quot; at both seatings.<br> <br> Barbara Hundstad lives on a 130 year-old family farm just south of Bath, SD (near Aberdeen) with her husband Jim.  When she and her family moved to the farm thirty years ago, Barbara discovered In the middle room of the chicken house, which no longer housed any chickens, an old trunk filled with clothing and other miscellaneous.  Many of the pieces in her presentation came from that trunk.  She has supplemented her collection over the years by purchasing pieces from antique stores and over the internet, plus pieces given to her by friends and acquaintances.  Her interest lies in the vintage and antique undergarments that played a large part in the Victorian and Edwardian era.  Outerwear was added a few years ago, again using pieces from family and friends.<br> <br> There will be dessert provided by Nichole's Fine Pastry, coffee, and tea. Tickets are $10 per person in advance, $12 at the door. Reservations required: call 218-299-5511 Ext. 6739 or Lynn.Catherine@ci.moorhead.mn.us for more information.</p>			</p>    			<br><br>",Hjemkomst Center,-96.7794831,lynn.catherine@ci.moorhead.mn.us,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441206913/victorian-era-clothing-4_medium.jpg
Next Stop: Horizon Concert,http://www.hcscconline.org,218-299-5511,46.8770778,05/01/2011,http://fmarea.culturepulse.org/event/detail/441214697/Next_Stop_Horizon_Concert,Moorhead,202 1st Avenue North,"In partnership with Nordic Arts Alliance, Swedish band Next Stop: Horizon will perform in the Hopperstad Stave Church at the Hjemkomst Center on Sunday, May 1, 2 p.m. To learn more, visit Next Stop: Horizon&rsquo;s Facebook or MySpace page.</p>			</p>    			<br><br>",Hjemkomst Center,-96.7794831,,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441214697/next_stop_horizon_medium.jpg
Satisfaction: A Rolling Stones Experience,http://www.dlccc.org,218-844-SHOW (7469),46.8183276,05/06/2011,http://fmarea.culturepulse.org/event/detail/441211235/Satisfaction_A_Rolling_Stones_Experience,Detroit Lakes,826 Summit Avenue,"The Rolling Stones and their music have outlived and out-toured more rock artists than any other group in history. Now to honor them we are pleased to bring you &quot;Satisfaction- A Rolling Stones Experience,&quot; a tribute show which celebrates and recreates the look, sound, and attitude of the Rolling Stones. You will hear and relive the songs that span the group's entire career</p>			</p>    			<br><br>",Historic Holmes Theatre,-95.8496862,,MN,56501,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441211235/print8_medium.jpg
Reduction A Go-Go Nancy Palmeri Summer Printmaking Workshop,http://www.ndsu.nodak.edu/finearts/visual_arts/PEARS/summer_workshop/about.html,701.231.8818,46.8941371,06/06/2011-06/17/2011,http://fmarea.culturepulse.org/event/detail/441214647/Reduction_A_GoGo_Nancy_Palmeri_Summer_Printmaking_Workshop,Fargo,Administration Ave at Centennial Blvd.,"During the first week Nancy Palmeri will introduce students to single block color reduction woodcuts, with a focus on content and scale (we are making big prints and small editions!!!).<br> Students will learn expressive carving techniques (with traditional and nontraditional tools), printing and inking applications. Special consideration will be given to the <br> applications (transparency, opacity, value and intensity) and simplified (working with one block) chiaroscuro printing techniques. The idea here is for students to re-contextualize the history of this early printmaking technique in order to reflect their contemporary images. Expect to work hard and get buff! <br> During week two participants will create an exchange portfolio with Professor Kapplinger.<br> <br> Registration and credit info: www.ndsu.nodak.edu/finearts/visual_arts/PEARS/summer_workshop/about.html<br> <br> Palmeri&rsquo;s prints are in the collections of the Fogg Art Museum, Harvard, Museo de Artes Contemporaneas Plaza, Bolivia, University of Colorado, Boulder Special Collection,<br> University Art Museums, The Royal Museum of Fine Art, Antwerp, Belgium, The Sheldon Memorial Art Gallery, Lincoln, NE, The Santa Barbara Museum of Art, CA, The Hunterdon Art Center, Clinton, NY, the Instituto per la Cultura e l&rsquo;arte, Catania, Italy, the UCLA Grunwald Center for Graphic Arts, The University of Miami, and the Tama Art University in Tokyo, Japan.</p>			</p>    			<br><br>",NDSU Memorial Union,-96.8015804,,ND,58105,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441214647/nancypalmeri_medium.jpg
Classical Music Festival,http://www.fargoparks.com,,46.9243387,06/05/2011,http://fmarea.culturepulse.org/event/detail/441094617/Classical_Music_Festival,Fargo,Kandi Lane and Elm Street,"Listen to free performances from the FM Symphony, Jazz Arts Group, and other local musicians.</p>			</p>    			<br><br>",Trollwood Park,-96.7767329,,ND,,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/371/parks_logo_medium.jpg
Botanic Garden Spring Luncheon and Silent Auction,,Joan @ 701-239-9696 or Joyce @ 701-237-6554,46.8647086,05/07/2011,http://fmarea.culturepulse.org/event/detail/441207355/Botanic_Garden_Spring_Luncheon_and_Silent_Auction,Fargo,I29 &13th;Ave SW,"Take your loved one to an elegant lunch and silent auction. Container gardens and garden decor items will be auctioned and live music will be performed by the Borderline Strings. Guest speaker will be Dr Betty Patterson, a well-known pharmacist and pharmacologist, will be giving a presentation on &quot;The Healing Garden&quot;<br> <br> <br> <br> Proceeds from the luncheon will support the Northern Plains Botanic Garden Society, which is developing the 52 acre Northern Plains Botanic Garden in Fargo.<br> <br> <br> <br> Do not miss out on this wonderful spring event, as it will be sure to get you back into the garden while supporting a great cause.</p>			</p>    			<br><br>",Holiday Inn,-96.8262901,,ND,58103,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/776/npbgs_logo_medium.jpg
History Lecture Series with Dr. Roland Dille,,218-299-5511,46.8770778,05/14/2011,http://fmarea.culturepulse.org/event/detail/441224115/History_Lecture_Series_with_Dr_Roland_Dille,Moorhead,202 1st Avenue North,"Dr. Roland Dille, former president of Minnesota State University Moorhead, will give a presentation on German immigration with a focus on Randolph Probstfield.<br> <br> In addition, members from the Probstfield Farm Living History Foundation will be present to answer questions about the restoration of the home of Randolph and Catherine Probstfield. Built in 1868, it is oldest American home still existing in the Red River Valley.</p>			</p>    			<br><br>",Hjemkomst Center,-96.7794831,,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441224115/probstfield_medium.jpg
Reception in Honor of Archivist Mark Peihl's 25th Annivesary,http://www.hcscconline.org,218-299-5511,46.8770778,05/16/2011,http://fmarea.culturepulse.org/event/detail/441247157/Reception_in_Honor_of_Archivist_Mark_Peihls_25th_Annivesary,Moorhead,202 1st Avenue North,"The Historical and Cultural Society of Clay County at the Hjemkomst Center celebrates Archivist Mark Peihl's 25th anniversary with the organization. Peihl started working full-time on July 1, 1986 with the Clay County Historical Society (CCHS), located in the Great Northern Railway Depot at that time.</p>			</p>    			<br><br>",Hjemkomst Center,-96.7794831,,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441247157/hcscc_logo_medium.jpg
Syttende Mai Pølsefest,http://www.hcscconline.org,218-299-5511,46.8770778,05/17/2011,http://fmarea.culturepulse.org/event/detail/441222413/Syttende_Mai_Plsefest,Moorhead,202 1st Avenue North,"At the Hjemkomst Center, the Historical and Cultural Society of Clay County (HCSCC), Stabo, Lena’s Lefse, and Stop-N-Go will celebrate Syttende Mai, Norway’s Constitution Day, by holding a “pølsefest” – a party offering hot dogs-served-in-lefse-or-buns lunch, while supplies last.<br> <br> According to a Website, “Syttende Mai (or the 17th of May) marks Norway’s declaration of independence and is a celebration of the 1814 signing of Norway’s constitution and independence from Sweden. This day is also called Constitution Day and National Day and is a great spring festival in Norway.”<br> <br> In keeping with this holiday’s emphasis on children, the HCSCC encourages parents to bring their children along to celebrate. 			</p>    			<br><br>",Hjemkomst Center,-96.7794831,,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441222413/flag_medium.jpg
Viva Espana International Dinner,http://www.fmopera.org,701-239-4558,46.862371,05/19/2011,http://fmarea.culturepulse.org/event/detail/441219555/Viva_Espana_International_Dinner,Fargo,1201 8th St S,Georgia's famous Paella and Tapas. This event is limited to eight with advance reservations required. Contact the opera office for more information.			</p>    			<br><br>,Tom & Georgia Dawson,-96.792356,admin@fmopera.org,ND,58103,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/315/opera_logo_medium.jpg
Josh Dahl + Amber Fletschock,http://www.ecce216.com,7012983223,46.8786634,05/12/2011-06/13/2011,http://fmarea.culturepulse.org/event/detail/441218779/Josh_Dahl_Amber_Fletschock,Fargo,216 Broadway,"Sequins, Collage, Assemblage, oh my! A combined show of two fresh and emerging local artists. <br> <br> Sculptor/Designer Josh Dahl introduces a new collection of fantastical bedazzled creatures and unpredictably nuanced interior objects. <br> <br> Painter/Collage artist Amber Fletschock brings us her series of striking and tightly-woven, hard-to-place phantasmagorical assemblages.<br> <br> Not to be missed.</p>			</p>    			<br><br>",ecce art gallery,-96.7877095,mark@ecce216.com,ND,58102,"http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441218779/josh-dahl-+-amber-fletschock,-may-12_medium.jpg"
CosmicJuJu.com Baccalaureate Exhibit,,701-231-7900,46.8941371,05/11/2011-05/27/2011,http://fmarea.culturepulse.org/event/detail/441224155/CosmicJuJucom_Baccalaureate_Exhibit,Fargo,Administration Ave at Centennial Blvd.,Baccalaureate Exhibit</p>			</p>    			<br><br>,NDSU Memorial Union,-96.8015804,,ND,58105,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/placeholder.png
F-M Golden Notes New Horizons Band,,701-237-5366,46.9005292,05/11/2011,http://fmarea.culturepulse.org/event/detail/441246595/FM_Golden_Notes_New_Horizons_Band,Casselton,Downtown Casselton,Special event featuring F-M Golden Notes New Horizons Band and Casselton six graders</p>			</p>    			<br><br>,Casselton School,-97.2111999,,ND,58079,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441246595/brassinst_medium.jpg
F-M Golden Notes New Horizons Band,,7012375366,46.8963375,05/17/2011,http://fmarea.culturepulse.org/event/detail/441246583/FM_Golden_Notes_New_Horizons_Band,12th Ave. N. & Bolley Drive<br />						Fargo,"Festival Concert Hall, NDSU, Reineke Fine Arts Cen","Sixth Annual Spring Concert. F-M area seniors playing polkas, waltzes, marches to selected audiences</p>			</p>    			<br><br>",NDSU Festival Concert Hall,-96.8063616,,ND,58105,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441246583/brassinst_medium.jpg
Moroccan International Dinner,,701-239-4558,46.9173507,06/04/2011,http://fmarea.culturepulse.org/event/detail/441219565/Moroccan_International_Dinner,Fargo,3001 Bohnet Blvd,An evening of exotic Moroccan cuisine for sixteen guests. Music provided by Peter Halverson and Jay Hershberger.</p>			</p>    			<br><br>,Dr. Dennis Staton,-96.7708512,admin@fmopera.org,ND,58102,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/315/opera_logo_medium.jpg
French Country International Dinner,http://www.fmopera.org,701-239-4558,46.8405333,06/17/2011,http://fmarea.culturepulse.org/event/detail/441219579/French_Country_International_Dinner,Fargo,509 26th Avenue South,Classic French Country dinner created by Dottie at the Fargo Country Club. Hosted by Charley Hundley and Roger Minch. Seating is limited to sixteen by reservation only. Music provided by David Hamilton and Robert Chabora.</p>			</p>    			<br><br>,Fargo Country Club,-96.7912242,admin@fmopera.org,ND,58103,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/315/opera_logo_medium.jpg
