time,photo,description,venue,address,startDate,endDate,email,website,event,phone,moreInfo,cost
10:00am - 2:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=16633,A variety of locally made products and locally grown fruits and vegetables.,One block ewa of Keeaumouku St.,"1391 Kapiolani Blvd. Honolulu, HI 96814",12/30/2010,12/29/2011,dbhservices@live.com,,Hunter's Farmers Market,(808) 688-3425,http://www.hawaiieventsonline.com/view.php?eventID=16633,Free
6:30pm - 7:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=13942,,Aloha Activity Center,"725 Kapiolani Blvd. C101, HI",12/25/2010,12/28/2013,hawaiieventsonline@wannahula.com,http://www.WannaHula.com,FUN Hula &amp; Tahitian Lessons,(808) 677-7341,http://www.hawaiieventsonline.com/view.php?eventID=13942,See ht...
9:30am - 11:30am,http://www.hawaiieventsonline.com/viewpic.php?id=14398,"Meet wild dolphins on a Hawaiian eco-tour for all ages&reg;! A world away from Waikiki, West O&rsquo;ahu provides the once-in-a-lifetime experience of seeing playful Spinner dolphins and other marine life with the stunning backdrop of the Wai'anae mountain range. Panoramic decks and best dolphin activities, with Certified Naturalists, narration, video presentation, keiki program and Dolphin Guarantee year-round! Plus, bonus opportunity to see whales in season, December - April, and Create-Your-Own Gourmet Burger for lunch! Snorkel and without lunch options also available.<br /> <br /> For reservations or more information, please call (808) 983-STAR (7827), toll-free (800) 334-6191, or visit www.starofhonolulu.com.",Hoku Nai'a,"Departs from Waianae Boat Harbor, HI",12/24/2010,12/31/2011,info@starofhonolulu.com,http://www.starofhonolulu.com,HOKU NAI'A DOLPHIN WATCH &amp; LUNCH CRUISE,(808) 983-7827,http://www.hawaiieventsonline.com/view.php?eventID=14398,$69.50...
8:00pm - 11:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=12691,"Outside the Moana, the audience relaxed &amp; sips on their favorite cocktail under the Banyan tree as Hawaii Music Award winner John Valentine performs his selection of music.",Sheraton Moana/Surfrider Hotel,"Kalakaua Avenue., HI",12/26/2010,12/04/2011,,http://www.myspace.com/rockenvalentine,Moana Hotel Beach Bar presents Johnny Valentine,,http://www.hawaiieventsonline.com/view.php?eventID=12691,Free
12:00pm - 2:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=18316,"For the most complete whale watch experience, board the Star of Honolulu's 2 1/2-hour Premier Whale Watch Cruise! With the STAR&rsquo;s four walk-around decks, 60' high observation sun deck and three types of stabilizers, guests enjoy the most outdoor deck space and a smooth voyage out to Diamond Head to view Humpback whales. Plus, participate in educational and fun whale activities with the trained Naturalist crew and Hawaiian cultural activities. Whale sightings are guaranteed or receive a free return cruise ticket until a whale is spotted. <br /> <br /> For reservations or more information, please call (808) 983-STAR (7827), toll-free (800) 334-6191, or visit www.starofhonolulu.com.",Star of Honolulu,"Departs from Aloha Tower Marketplace, Pier 8, HI",12/24/2010,05/08/2011,info@starofhonolulu.com,http://www.starofhonolulu.com,STAR OF HONOLULU'S PREMIER WHALE WATCH CRUISE,(808) 983-7827,http://www.hawaiieventsonline.com/view.php?eventID=18316,$43.00...
5:15pm - 6:15pm,http://www.hawaiieventsonline.com/viewpic.php?id=10928,"Aikido classes with The Aikido Ohana at the Higashi Hongwanji Mission of Hawai'i. The Aikido Ohana is a 501c3 non-profit organization dedicated to the practice of Aikido in a friendly and open environment since 1981. The Aikido Ohana is affiliated with the Aikikai Foundation - Aikido World Headquarters in Tokyo, Japan. Information: Chris Li, 221-8656 or www.aikidoohana.org",Higashi Hongwanji Mission of Hawai'i,"1685 Alaneo Street,  Honolulu HI 96817-2915",12/24/2010,12/30/2011,chrisli@bridge1.com,http://www.aikidoohana.org/,Beginner's Aikido classes with The Aikido Ohana,(808) 221-8656,http://www.hawaiieventsonline.com/view.php?eventID=10928,$20/mo...
8:00pm - 12:00am,http://www.hawaiieventsonline.com/viewpic.php?id=17454,"$2.50 DRAFT BEER - 16OZ -DOMESTIC AND IMPORTS<br /> Thats right, every draft beer, Heineken or Heineken Light,Bud Light, Bass, Coor Light, Guiness, are only $2.50 for a 16oz.<br /> <br /> *EVERY SUNDAY FROM 2:00PM - MIDNIGHT<br />             &amp;<br /> *EVERY WEDNESDAY FROM 8:00PM - MIDNIGHT",CHEZ'S SPORTS BAR &amp; GRILL -  NEXT TO TONY ROMA'S,"98-150 KANONOHI ST.,  AIEA, HAWAII",01/12/2011,12/26/2012,aleoke@hawaii.rr.com,,$2.50 DRAFT BEER @ CHEZ,(808) 221-7140,http://www.hawaiieventsonline.com/view.php?eventID=17454,Free
10:00pm - 1:00am,http://www.hawaiieventsonline.com/viewpic.php?id=14055,"808-382-9495<br /> myspace.com/hawaii_usa<br /> <br /> Fan reviews:<br /> Joseph Martel, Editor <br /> Dancing in the Dark Magazine<br /> Arsenio The Band who was in full swing with four lady dancers dressed in yellow costumes gyrating to the tempo of the music. What a treat!<br /> <br /> <br /> More fabulous music with two female singers belting out familiar tunes that wowed the crowd.<br /> Even more fabulous music that hits the soul when Arsenio and band members sang.<br /> <br /> <br /> Then it was Hot Salsa time with a couple dancing some cool and flashy exhibition moves that excited the audience. Almost like watching Dancing With The Stars except it was fast and furious and a lot of continuous spinning for the lady dancer. Good showmanship and terrific dancing!<br /> <br /> <br /> Arsenio The Band closed the half hour show with one of his great renditions that brought thundering applauses from an appreciative audience. <br /> ______________________ <br /> *Live musical Bands, Still Photographer, Mobile DJ/ Karaoke DJ,                Pro Sounds Engineering, Emcee, Rentals, Hula, Salsa Dancers<br /> <br /> Experience Honolulu&rsquo;s most popular cover band, soloist &amp; cover musical bands. With musical experience spanning more than a decade, The band, continues to capture the hearts of many talent professional musicians and singers. With many years of experience performing live on stage, entertaining thousands of patrons at concerts, nightclubs, festivals, weddings, parties and etc&hellip;<br /> No other can surpass the charm and magnetism.  They have captured a wide audience through their high-energy stage performance, and a repertoire covering a wide variety of musical styles from JAZZ, R&amp;B and Contemporary &amp; more. They&rsquo;re secret? Undeniable love for music and the desire of delivering an exceptional performance to their audience.","Beeman's NightClub,","Pearl Harbor, HI",01/14/2011,07/23/2011,m.hawaii@att.net,http://www.myspace.com/hawaii_usa,Arsenio the band,(808) 382-9495,http://www.hawaiieventsonline.com/view.php?eventID=14055,Free
9:00pm - 2:30am,http://www.hawaiieventsonline.com/viewpic.php?id=17362,"IRIE Wednesdays COLLEGE NIGHT 2.0 every Wednesday Night at SHOOTERS Nightclub.<br /> <br /> DJ Climaxx &amp; DJ XTC Spinning hip-hop, top 40, reggae 9PM-2:30AM. 18+ Welcome. Ladies FREE before 10PM Complements of The Promoter",Shooters Nightclub,"121 Banyan Drive,  Hilo HI 96720",01/12/2011,04/20/2011,rrphawaii@aol.com,http://www.rrentertainment.com,COLLEGE NIGHT 2.0,(808) 934-9889,http://www.hawaiieventsonline.com/view.php?eventID=17362,$7
9:00pm - 2:30am,http://www.hawaiieventsonline.com/viewpic.php?id=17362,"IRIE Wednesdays COLLEGE NIGHT 2.0 every Wednesday Night at SHOOTERS Nightclub.<br /> <br /> DJ Climaxx &amp; DJ XTC Spinning hip-hop, top 40, reggae 9PM-2:30AM. 18+ Welcome. Ladies FREE before 10PM Complements of The Promoter",Shooters Nightclub,"121 Banyan Drive,  Hilo HI 96720",01/19/2011,04/20/2011,rrphawaii@aol.com,http://www.rrentertainment.com,COLLEGE NIGHT 2.0,(808) 934-9889,http://www.hawaiieventsonline.com/view.php?eventID=17362,$7
11:00am - 1:35am,http://www.hawaiieventsonline.com/viewpic.php?id=17996,"&ldquo;Noche Latina&ldquo; <br />  Saturday October 9th, 2010<br />  <br /> &ldquo;El Charro Mexicano&ldquo; NOW OPEN!<br /> in Aiea next to Bowling alley. <br /> <br /> Restaurant 11am till 11PM <br /> <br /> <br /> ***Military/College id 10% DISCOUNT on menu*** <br /> <br /> FREE Dessert Coupons w/plate purchase mention Ramiro Zavala.<br /> <br /> FREE PARKING<br /> ==========================================<br /> <br /> <br /> &ldquo;NOCHE LATINA GRAND OPENING&ldquo;<br /> <br /> 10pm-130am<br />  <br /> Dance the night away to the best of Mexican and other Latin genres to include:<br /> <br /> Cumbia, Merengue, Banda, Reggaeton, Norteno, Salsa, Tex-Mex, Bachata and more!!!<br /> <br /> ~FREZCO Entertainment~<br /> <br /> DJ Angelica<br /> &amp; RAZA808",99-115 Aiea Heights Drive suite #304,"99-115 Aiea Heights Drive suite #304, HI",01/15/2011,10/01/2011,Frezcoentertainment@lycos.com,http://www.myspace.com/Frezcoent,&ldquo;Noche Latina&ldquo; @ &ldquo;El Charro Mexicano in AIEA,(808) 397-8327,http://www.hawaiieventsonline.com/view.php?eventID=17996,Free
6:00pm - 7:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=17953,"Pacific Islands Bible Church is starting a new Saturday night service called Ignite. We are aiming to provide a time of coffee, music, biblical teaching and fellowship time.","Mililani, HI","95-075 Waikalani Dr. Mililani, HI 96789",01/15/2011,06/25/2011,ignitepibc@gmail.com,http://pibcohana.org/Ignite.html,New Ignite Saturday Night Service,(808) 625-0411,http://www.hawaiieventsonline.com/view.php?eventID=17953,Free
8:00pm - 9:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=29&amp;data=cat_photo,"Emerson once stated, &ldquo;The whole course of things goes to teach us faith. We need only obey. There is guidance for each of us, and by listening, we shall hear the right words ....... Through the use of a proven business model and proper mentor ship program, you can build and create wealth and begin to live life on your terms.  This free seminar will plant your  seed of hope and acheivement.",Oahu,"Various, HI",01/17/2011,12/26/2011,yuen_enterprises@yahoo.com,,Think &amp; Grow Rich Seminar,(808) 777-8630,http://www.hawaiieventsonline.com/view.php?eventID=18057,Free
8:45am - 10:45am,http://www.hawaiieventsonline.com/viewpic.php?id=18317,"For a simple and affordable whale watch experience, check out the Star of Honolulu's new 2-hour Early Bird Whale Watch Cruise! Enjoy the STAR&rsquo;s four walk-around decks, 60' high observation sun deck and three types of stabilizers while searching for Humpback whales, or learn from trained Naturalist crew. Whale sightings are guaranteed or receive a free return cruise ticket until a whale is spotted.<br /> <br /> For reservations or more information, please call (808) 983-STAR (7827), toll-free (800) 334-6191, or visit www.starofhonolulu.com.",Star of Honolulu,"Departs from Aloha Tower Marketplace, Pier 8, HI",01/15/2011,05/08/2011,info@starofhonolulu.com,http://www.starofhonolulu.com,STAR OF HONOLULU'S EARLY BIRD WHALE WATCH CRUISE,(808) 983-7827,http://www.hawaiieventsonline.com/view.php?eventID=18317,$29.95...
7:00pm - 8:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=18183,Monthly  get together for those that own a German or European automobile.,European Auto Spa of Honolulu,"901 Waimanu Street,  Honolulu, HI 96813",02/01/2011,12/06/2011,Strictly.German@gmail.com,,Strictly German Automobile Club,(808) 227-4980,http://www.hawaiieventsonline.com/view.php?eventID=18183,Free
1:00pm - 2:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=14278,Join a group of fellow learners to explore the wonders and teaching of A Course In Miracles (ACIM) books. This group meets every Sunday on an ongoing basis.,Unity Church of Hawaii (Diamond Head),"3608 Diamond Head Circle,  Honolulu, HI 96815",01/16/2011,12/29/2013,david@unityhawaii.org,http://unityhawaii.org,A Course In Miracles Sunday afternoon study group,(808) 735-4436,http://www.hawaiieventsonline.com/view.php?eventID=14278,Free
7:00pm - 8:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=14279,Join a group of fellow learners to explore the wonders and teaching of A Course In Miracles (ACIM) books at this ongoing Tuesday night event.,Unity Church of Hawaii (Diamond Head),"3608 Diamond Head Circle,  Honolulu, HI 96815",01/18/2011,12/24/2013,david@unityhawaii.org,http://unityhawaii.org,A Course In Miracles Tuesday evening study group,(808) 735-4436,http://www.hawaiieventsonline.com/view.php?eventID=14279,Free
8:30pm - 11:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=5588,"First Thursdays is the largest poetry slam in the world (with 600+ in attendance).  Each month, the event offers $100 in cash prizes to the winner, and features Hawaii's best performance poets, live musicians, MC's, and live painters.  In addition, featured DJ's offer up turntable bliss to keep the night flowing smoothly.  Open to all poets and performers.<br /> <br /> To get on our email list to find out who will be featuring at First Thursdays, email us at info@HawaiiSlam.com or call us at (808) 387-9664.",Fresh Cafe,"831 Queen Street (@ intersection with Cooke Street), HI",02/03/2011,12/04/2014,Info@HawaiiSlam.com,http://www.hawaiislam.com,First Thursdays: $100 Slam Poetry Competition and Open Mic,(808) 387-9664,http://www.hawaiieventsonline.com/view.php?eventID=5588,Admiss...
4:30pm - 10:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=16596,"Quality Beginners Tahitian dance Classes Mondays/Wednesdays Keiki Class, Teens/Adults, KAMA'AINA SPECIAL. Come &ldquo;Drop In&ldquo; for a class to experience and observe the traditions, culture, language, dance and view a wide spectrum of pageantry of Polynesia! E loko maika'i!!! Welcome and belong! View our website.<br /> www.HotLavalava.com  #845-0861 Under the director, Jamie Costa Our Kumu Hula has 30 YEARS experience with productions, teaching, and competitions, from Oahu, Big Island, Kauai, Las Vegas to Southern California. 2010 Tahiti Nui International Winners!!!<br /> <br /> We also do LIVE Polynesian performances...Special Kama'aina Rates Available!  Please inquire.",Kalihi - Honolulu,"Kamehameha Community Park Pavillon, HI",01/14/2011,12/29/2011,HotLavalava@yahoo.com,http://www.HotLavalava.com,Tahitian Dance Beauty &amp; The Beats Promotion,(808) 845-0861,http://www.hawaiieventsonline.com/view.php?eventID=16596,$40/mo...
6:00am - 12:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=18054,We will be taking registration for modeling classes and auditions for our live shows around Kauai and across the state; to start at the Kapaa Office.  By appointment only.  Please send your information to HotLavalava@yahoo.com,"Kapaa, Hawaii","4-1665 Kuhio Hwy. by appointment only, HI",01/17/2011,12/12/2012,HotLavalava@yahoo.com,http://www.HotLavalava.com,Beauty and the Beats Promotions,(808) 212-1900,http://www.hawaiieventsonline.com/view.php?eventID=18054,Please...
3:00pm - 7:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=16634,A variety of locally made products and locally grown fruits and vegetables.,one block ewa of Keeaumouku,"1391 Keeamouku St. Honolulu, HI 96814",01/21/2011,12/30/2011,dbhservices@live.com,,Hunter's Farmers Market,(808) 688-3425,http://www.hawaiieventsonline.com/view.php?eventID=16634,Free
10:00am - 2:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=16633,A variety of locally made products and locally grown fruits and vegetables.,One block ewa of Keeaumouku St.,"1391 Kapiolani Blvd. Honolulu, HI 96814",01/20/2011,12/29/2011,dbhservices@live.com,,Hunter's Farmers Market,(808) 688-3425,http://www.hawaiieventsonline.com/view.php?eventID=16633,Free
6:30pm - 7:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=13942,,Aloha Activity Center,"725 Kapiolani Blvd. C101, HI",01/22/2011,12/28/2013,hawaiieventsonline@wannahula.com,http://www.WannaHula.com,FUN Hula &amp; Tahitian Lessons,(808) 677-7341,http://www.hawaiieventsonline.com/view.php?eventID=13942,See ht...
9:30am - 11:30am,http://www.hawaiieventsonline.com/viewpic.php?id=14398,"Meet wild dolphins on a Hawaiian eco-tour for all ages&reg;! A world away from Waikiki, West O&rsquo;ahu provides the once-in-a-lifetime experience of seeing playful Spinner dolphins and other marine life with the stunning backdrop of the Wai'anae mountain range. Panoramic decks and best dolphin activities, with Certified Naturalists, narration, video presentation, keiki program and Dolphin Guarantee year-round! Plus, bonus opportunity to see whales in season, December - April, and Create-Your-Own Gourmet Burger for lunch! Snorkel and without lunch options also available.<br /> <br /> For reservations or more information, please call (808) 983-STAR (7827), toll-free (800) 334-6191, or visit www.starofhonolulu.com.",Hoku Nai'a,"Departs from Waianae Boat Harbor, HI",01/17/2011,12/31/2011,info@starofhonolulu.com,http://www.starofhonolulu.com,HOKU NAI'A DOLPHIN WATCH &amp; LUNCH CRUISE,(808) 983-7827,http://www.hawaiieventsonline.com/view.php?eventID=14398,$69.50...
8:00pm - 11:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=12691,"Outside the Moana, the audience relaxed &amp; sips on their favorite cocktail under the Banyan tree as Hawaii Music Award winner John Valentine performs his selection of music.",Sheraton Moana/Surfrider Hotel,"Kalakaua Avenue., HI",01/23/2011,12/04/2011,,http://www.myspace.com/rockenvalentine,Moana Hotel Beach Bar presents Johnny Valentine,,http://www.hawaiieventsonline.com/view.php?eventID=12691,Free
8:45am - 10:45am,http://www.hawaiieventsonline.com/viewpic.php?id=18317,"For a simple and affordable whale watch experience, check out the Star of Honolulu's new 2-hour Early Bird Whale Watch Cruise! Enjoy the STAR&rsquo;s four walk-around decks, 60' high observation sun deck and three types of stabilizers while searching for Humpback whales, or learn from trained Naturalist crew. Whale sightings are guaranteed or receive a free return cruise ticket until a whale is spotted.<br /> <br /> For reservations or more information, please call (808) 983-STAR (7827), toll-free (800) 334-6191, or visit www.starofhonolulu.com.",Star of Honolulu,"Departs from Aloha Tower Marketplace, Pier 8, HI",01/17/2011,05/08/2011,info@starofhonolulu.com,http://www.starofhonolulu.com,STAR OF HONOLULU'S EARLY BIRD WHALE WATCH CRUISE,(808) 983-7827,http://www.hawaiieventsonline.com/view.php?eventID=18317,$29.95...
12:00pm - 2:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=18316,"For the most complete whale watch experience, board the Star of Honolulu's 2 1/2-hour Premier Whale Watch Cruise! With the STAR&rsquo;s four walk-around decks, 60' high observation sun deck and three types of stabilizers, guests enjoy the most outdoor deck space and a smooth voyage out to Diamond Head to view Humpback whales. Plus, participate in educational and fun whale activities with the trained Naturalist crew and Hawaiian cultural activities. Whale sightings are guaranteed or receive a free return cruise ticket until a whale is spotted. <br /> <br /> For reservations or more information, please call (808) 983-STAR (7827), toll-free (800) 334-6191, or visit www.starofhonolulu.com.",Star of Honolulu,"Departs from Aloha Tower Marketplace, Pier 8, HI",01/17/2011,05/08/2011,info@starofhonolulu.com,http://www.starofhonolulu.com,STAR OF HONOLULU'S PREMIER WHALE WATCH CRUISE,(808) 983-7827,http://www.hawaiieventsonline.com/view.php?eventID=18316,$43.00...
5:15pm - 6:15pm,http://www.hawaiieventsonline.com/viewpic.php?id=10928,"Aikido classes with The Aikido Ohana at the Higashi Hongwanji Mission of Hawai'i. The Aikido Ohana is a 501c3 non-profit organization dedicated to the practice of Aikido in a friendly and open environment since 1981. The Aikido Ohana is affiliated with the Aikikai Foundation - Aikido World Headquarters in Tokyo, Japan. Information: Chris Li, 221-8656 or www.aikidoohana.org",Higashi Hongwanji Mission of Hawai'i,"1685 Alaneo Street,  Honolulu HI 96817-2915",01/18/2011,12/30/2011,chrisli@bridge1.com,http://www.aikidoohana.org/,Beginner's Aikido classes with The Aikido Ohana,(808) 221-8656,http://www.hawaiieventsonline.com/view.php?eventID=10928,$20/mo...
7:00pm - 11:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=18389,"Movie magic makes Mauna Lani Resort amazing in May, as Big Island Film Festival 2011 rolls out May 11-15, celebrating narrative filmmaking from Hawai'i and around the world.  Free family films at The Shops at Mauna Lani, daytime movies and nightly double features at The Fairmont Orchid, Hawai'i--plus screenwriting and pitching workshops, celebrity receptions and &ldquo;Best of the Fest&ldquo; Hawaiian music concert and audience-voted best feature and short.  Passes and individual event tickets for sale online April 1.  www.BigIslandFilmFestival.com, (808) 883-0394.","Mauna Lani Resort, Kohala Coast","Kohala Coast, Island of Hawai'i, HI",05/11/2011,05/11/2011,BigIslandFF@aol.com,http://www.bigislandfilmfestival.com,Big Island Film Festival,(808) 883-0394,http://www.hawaiieventsonline.com/view.php?eventID=18390,Passes...
7:00am - 12:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=18376,"This event is held annually and is a local favorite as well as visitors.  Dance/Music/Drumming Groups and Soloist entries in HULA, TAHITIAN, NEW ZEALAND and SAMOA.  The Polynesian Event that kicks off the Summer with a BANG!",Kauai Polynesian Festival &ndash; Vidinha Stadium soccer field,"Lihue, Kauai, HI",02/04/2011,05/31/2011,info@KauaiPolynesianFestival.org,http://www.KauaiPolynesianFestival.org,Kauai Polynesian Festival,(808) 335-6466,http://www.hawaiieventsonline.com/view.php?eventID=18376,$25 fo...
10:00am - 9:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=18389,"Movie magic makes Mauna Lani Resort amazing in May, as Big Island Film Festival 2011 rolls out May 11-15, celebrating narrative filmmaking from Hawai'i and around the world.  Free family films at The Shops at Mauna Lani, daytime movies and nightly double features at The Fairmont Orchid, Hawai'i--plus screenwriting and pitching workshops, celebrity receptions and &ldquo;Best of the Fest&ldquo; Hawaiian music concert and audience-voted best feature and short.  Passes and individual event tickets for sale online April 1.  www.BigIslandFilmFestival.com, (808) 883-0394.","Mauna Lani Resort, Kohala Coast","Kohala Coast, Island of Hawai'i, HI",05/15/2011,05/15/2011,BigIslandFF@aol.com,http://www.bigislandfilmfestival.com,Big Island Film Festival,(808) 883-0394,http://www.hawaiieventsonline.com/view.php?eventID=18394,Passes...
10:00am - 11:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=18389,"Movie magic makes Mauna Lani Resort amazing in May, as Big Island Film Festival 2011 rolls out May 11-15, celebrating narrative filmmaking from Hawai'i and around the world.  Free family films at The Shops at Mauna Lani, daytime movies and nightly double features at The Fairmont Orchid, Hawai'i--plus screenwriting and pitching workshops, celebrity receptions and &ldquo;Best of the Fest&ldquo; Hawaiian music concert and audience-voted best feature and short.  Passes and individual event tickets for sale online April 1.  www.BigIslandFilmFestival.com, (808) 883-0394.","Mauna Lani Resort, Kohala Coast","Kohala Coast, Island of Hawai'i, HI",05/12/2011,05/12/2011,BigIslandFF@aol.com,http://www.bigislandfilmfestival.com,Big Island Film Festival,(808) 883-0394,http://www.hawaiieventsonline.com/view.php?eventID=18392,Passes...
10:00am - 11:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=18389,"Movie magic makes Mauna Lani Resort amazing in May, as Big Island Film Festival 2011 rolls out May 11-15, celebrating narrative filmmaking from Hawai'i and around the world.  Free family films at The Shops at Mauna Lani, daytime movies and nightly double features at The Fairmont Orchid, Hawai'i--plus screenwriting and pitching workshops, celebrity receptions and &ldquo;Best of the Fest&ldquo; Hawaiian music concert and audience-voted best feature and short.  Passes and individual event tickets for sale online April 1.  www.BigIslandFilmFestival.com, (808) 883-0394.","Mauna Lani Resort, Kohala Coast","Kohala Coast, Island of Hawai'i, HI",05/13/2011,05/13/2011,BigIslandFF@aol.com,http://www.bigislandfilmfestival.com,Big Island Film Festival,(808) 883-0394,http://www.hawaiieventsonline.com/view.php?eventID=18391,Passes...
9:00am - 11:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=18389,"Movie magic makes Mauna Lani Resort amazing in May, as Big Island Film Festival 2011 rolls out May 11-15, celebrating narrative filmmaking from Hawai'i and around the world.  Free family films at The Shops at Mauna Lani, daytime movies and nightly double features at The Fairmont Orchid, Hawai'i--plus screenwriting and pitching workshops, celebrity receptions and &ldquo;Best of the Fest&ldquo; Hawaiian music concert and audience-voted best feature and short.  Passes and individual event tickets for sale online April 1.  www.BigIslandFilmFestival.com, (808) 883-0394.","Mauna Lani Resort, Kohala Coast","Kohala Coast, Island of Hawai'i, HI",05/14/2011,05/14/2011,BigIslandFF@aol.com,http://www.bigislandfilmfestival.com,Big Island Film Festival,(808) 883-0394,http://www.hawaiieventsonline.com/view.php?eventID=18393,Passes...
7:00pm - 10:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=18389,"Movie magic makes Mauna Lani Resort amazing in May, as Big Island Film Festival 2011 rolls out May 11-15, celebrating narrative filmmaking from Hawai'i and around the world.  Free family films at The Shops at Mauna Lani, daytime movies and nightly double features at The Fairmont Orchid, Hawai'i--plus screenwriting and pitching workshops, celebrity receptions and &ldquo;Best of the Fest&ldquo; Hawaiian music concert and audience-voted best feature and short.  Passes and individual event tickets for sale online April 1.  www.BigIslandFilmFestival.com, (808) 883-0394.","Mauna Lani Resort, Kohala Coast","Kohala Coast, Island of Hawai'i, HI",05/11/2011,05/14/2011,BigIslandFF@aol.com,http://www.bigislandfilmfestival.com,Big Island Film Festival,(808) 883-0394,http://www.hawaiieventsonline.com/view.php?eventID=18389,Passes...
7:00am - 12:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=18376,"This event is held annually and is a local favorite as well as visitors.  Dance/Music/Drumming Groups and Soloist entries in HULA, TAHITIAN, NEW ZEALAND and SAMOA.  The Polynesian Event that kicks off the Summer with a BANG!",Kauai Polynesian Festival &ndash; Vidinha Stadium soccer field,"Lihue, Kauai, HI",02/05/2011,05/31/2011,info@KauaiPolynesianFestival.org,http://www.KauaiPolynesianFestival.org,Kauai Polynesian Festival,(808) 335-6466,http://www.hawaiieventsonline.com/view.php?eventID=18376,$25 fo...
9:00pm - 2:30am,http://www.hawaiieventsonline.com/viewpic.php?id=17362,"IRIE Wednesdays COLLEGE NIGHT 2.0 every Wednesday Night at SHOOTERS Nightclub.<br /> <br /> DJ Climaxx &amp; DJ XTC Spinning hip-hop, top 40, reggae 9PM-2:30AM. 18+ Welcome. Ladies FREE before 10PM Complements of The Promoter",Shooters Nightclub,"121 Banyan Drive,  Hilo HI 96720",02/09/2011,04/20/2011,rrphawaii@aol.com,http://www.rrentertainment.com,COLLEGE NIGHT 2.0,(808) 934-9889,http://www.hawaiieventsonline.com/view.php?eventID=17362,$7
4:00pm - 5:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=18396,Play the Arsenal way! Arsenal Soccer Schools Hawaii features a UEFA 'A' and FA Academy Manager licensed coach (able to coach English Premier League youth teams).  <br /> <br /> Boys and girls ages 6-10 learn European-style skills with injury prevention and nutrition tips. Check out www.playthearsenalwayhawaii. Other ages please call for more info.,Kapolei Regional Park,"Farrington Highway, across from the Kapolei Library, HI",02/09/2011,05/26/2011,,http://playthearsenalwayhawaii.com,Arsenal Soccer Schools Hawaii After School Soccer Clinics,(808) 223-2021,http://www.hawaiieventsonline.com/view.php?eventID=18396,$40 pe...
3:30pm - 4:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=18395,Play the Arsenal way! Arsenal Soccer Schools Hawaii features a UEFA 'A' and FA Academy Manager licensed coach (able to coach English Premier League youth teams).  <br /> <br /> Boys and girls ages 6-10 learn European-style skills with injury prevention and nutrition tips. Check out www.playthearsenalwayhawaii. Other ages please call for more info.,"Petrie Community Park, Kaimuki","1039 20th Avenue, HI",02/07/2011,05/24/2011,,http://playthearsenalwayhawaii.com,Arsenal Soccer Schools Hawaii After School Soccer Clinics,(808) 223-2021,http://www.hawaiieventsonline.com/view.php?eventID=18395,$40 pe...
7:00pm - 9:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=18363,"Kapolei High School in conjunction with the Performing Arts Center of Kapolei (PACK) is pleased to announce their upcoming production of FAME The Musical.   Show dates are Fridays and Saturdays from February 11 - 26th, at 7PM.  There will be a special half price performance for students with a valid school ID on February 17th at 6PM.  The musical FAME follows students from all aspects of theatre as they go through their high school lives together, featuring over 20 high energy musical numbers. Visit www.packapolei.org for more information or call 808-224-5314.",Kapolei High School,"91-5007 Kapolei Parkway, Kapolei, HI 96707",02/11/2011,02/26/2011,smcht@mac.com,http://www.packapolei.org,FAME The Musical!,(808) 224-5314,http://www.hawaiieventsonline.com/view.php?eventID=18363,$6
