phone,title,webSite,city,startDate,description,venue,state,endDate
406-728-0447,"Exhibition Tour with Beth Lo, Film Screening, Persistence in Clay Artists’ Panel&nbsp",http://http://www.missoulaartmuseum.org/index.php/ID/619ab33cb0a462195bd000837fe954f8/fuseaction/participate.detail.htm,Missoula,,"Persistence in Clay: Contemporary Ceramics in Montana:   While many regions of the country are known for their mastery of other mediums, in Montana, the ceramic arts are the touchstone of art and culture. This exhibition serves as a snap shot of the world class activity that is happening today in the state. The exhibition coincides with the Archie Bray Foundation’s 60th birthday and is intended to celebrate not only this milestone birthday, but the long-lived strength of the clay medium in the state of Montana. The professional artists in this exhibit are a selection of the many clay artists who are currently recognized leaders in their communities. Though working in Montana, many of these artists rarely exhibit within the state relying instead on commercial support and attention from galleries and collectors outside the region. Drawing these artists together celebrates the local connection to the communities they call home and provides an educational platform to affirm their creative contributions. It should be noted that this select group of artists is not exclusive, for this exhibition could easily be tripled in size with ceramic artists who are equally vital and competent. This profound fact speaks to the strength of the clay medium in the state and the legacy of the pioneers who laid the groundwork for the generations of clay artists to come.",,Montana,
231-724-3100,SLAVERY IN MAKING AMERICA -PART 3&nbsp,http://www.visitmuskegon.org/african_american_museum.htm,Muskegon Heights,,EDUCATION COMMIITTEE PROGRAM HELD AT MUSEUM,,Michigan,
,Howe-Prescott Pioneer House&nbsp,http://www.ischuavalleyhistoricalsociety.org/UpcomingEvents.html,Franklinville,,"The Howe-Prescott Pioneer House in Cadiz, Cattaraugus County, NY will be open to visitors.",,New York,
805-487-4333,Travel on 2 Wheels; Scooter and Early American Motorcycles.,http://www.murphyautomuseum.org,Oxnard,04/30/2011,"If gas prices do go up, maybe we'll ride scooters again. They could get 100 miles with a gallon of gas they said. The Murphy Auto Museum is displaying several scooters. A 1964 Inocenti Lambretta TV175 Series 3, a rare SS90 Vespa and a 1957 SEARS ALLSTATE .    Fans of old V-twin Iron will be interested to see several motorcycles from The Shop's collection. If you have been watching the TV show American Pickers, these are the bikes they would dream of finding. These are an Excelsior, Thor, Pope, and a red Indian. We even borrowed an engine cut-away that shows the inner workings of an engine.",Murphy Auto Museum,California,05/29/2011
414-529-7744,Free Milwaukee County Passport Program and Prize&nbsp,http://www.facebook.com/pages/Milwaukee-County-Passport-Program/202229443140521,Milwaukee,05/28/2011,"This summer we are organizing a passport program to raise awareness for smaller museums and historic sites throughout Milwaukee County. The passport is free to the public and encourages visitors to discover the treasures--history, culture, art and nature organizations--right in their own county. Everyone is welcome to participate! Use the free passport as a guide to discover unique cultural and historic sites within Milwaukee County this summer. Collect your passport at any participating site or on the Milwaukee County Historical Society website. Then visit the different sites and complete a special activity to obtain a stamp in your passport! You can redeem a prize once you visit 50% of the sites. Receive a second prize after visiting all of the sites! Bring your completed passport to Trimborn Farm or MCHS and redeem it for a prize pack.",Charles Allis Art Museum,Wisconsin,09/05/2011
414-529-7744,Free Milwaukee County Passport Program and Prize&nbsp,http://www.facebook.com/pages/Milwaukee-County-Passport-Program/202229443140521,Milwaukee,05/28/2011,"This summer we are organizing a passport program to raise awareness for smaller museums and historic sites throughout Milwaukee County. The passport is free to the public and encourages visitors to discover the treasures--history, culture, art and nature organizations--right in their own county. Everyone is welcome to participate! Use the free passport as a guide to discover unique cultural and historic sites within Milwaukee County this summer. Collect your passport at any participating site or on the Milwaukee County Historical Society website. Then visit the different sites and complete a special activity to obtain a stamp in your passport! You can redeem a prize once you visit 50% of the sites. Receive a second prize after visiting all of the sites! Bring your completed passport to Trimborn Farm or MCHS and redeem it for a prize pack.",Villa Terrace Decorative Arts Museum,Wisconsin,09/05/2011
317-635-7329,Saturday guided tours of our Medicinal Plant Garden &nbsp,http://www.imhm.org,Indianapolis,06/01/2011,"The Indiana Medical History Museum is excited to offer guided tours of our Medicinal Plant Garden each Saturday morning at 11am from June through September. Tours will include information about the plants in the garden and their traditional uses as home remedies. Tours will be led by volunteers from Purdue Master Gardeners of Marion County, who lovingly maintain our beautiful garden.  Garden tours are free, but do not include a tour of the building.",Indiana Medical History Museum,Indiana,09/30/2011
,Burying America's Heroes&nbsp,http://www.ischuavalleyhistoricalsociety.org/UpcomingEvents.html,Franklinville,,"The staff of the Iron Island Museum in Buffalo, NY will present a program entitled: ""Burying America's Heroes: Iron Island Museum's Participation in the Patriot Guard Riders' Veterans Recovery Program"".",,New York,
,Zumba for Kids&nbsp,http://http://www.miamichildrensmuseum.org,Miami,,Join our Zumba Master Trainer for this 30 minute high energy and motivating Zumba Class. It offers unique moves and combinations that allow the Zumba participants to dance away their worries.,,Florida,
,Adventures of Mr. Potato Head Closing&nbsp,http://http://www.miamichildrensmuseum.org,Miami,,"Join us as we say adios to our traveling exhibit, The Adventures of Mr. Potato Head. There will be games, arts & crafts, and much more. We will even have a visit from Mr. Potato Head Himself!",,Florida,
,MCM Kids Cooking with Christina&nbsp,http://http://www.miamichildrensmuseum.org,Miami,,The MCM Kids Cooking Club brings you healthy recipes you can try at home with your kids. So join us as we learn something new.,,Florida,
,Drumming for Wellness&nbsp,http://http://www.miamichildrensmuseum.org,Miami,,"Jeffrey Dean lets family following his rhythm each month, performing on various percussion instruments from around the world.",,Florida,
,Lucky Penny Day&nbsp,http://http://www.miamichildrensmuseum.org,Miami,,"“Find a penny pick it up, all day long you’ll have good luck!” Well this day we will have good luck finding a different use for all our pennies. Bring your own penny to use in the creation of a lucky penny art piece.",,Florida,
,Fairy Tale Day&nbsp,http://http://www.miamichildrensmuseum.org,Miami,,"Join us for a day of fables and fairy tales, a day where your imagination is the guide. All of the day’s regular activities will be replaced with fairy tales versions.",,Florida,
