fullAddress,venue,description,email,image,ticketPhone,title,website,dates,moreInfoLink
"1020 Virginia Street, Seattle, WA, 98121",Annex Building,"This experimental promenade version of Virginia Woolf's poetic novel The Waves, explores community and identity. The audience moves through different rooms as the lives of the characters change and develop.</p>			</p>    			<br><br>",,,,Winter New Works Festival presents The Waves,http://www.cornish.edu/events,02/24/2011-02/27/2011,http://www.seattleperforms.com/event/detail/441101617/Winter_New_Works_Festival_presents_The_Waves
"204 N. 85th St, Seattle, WA, 98103",Taproot Theatre,"Voyage across land and sea. through the underworld to the top of Mt Olympus. Muses and monsters introduce this epic myth of the brave and courageous Odysseus as he valiantly seeks his homeland and the arms of his wife and child.</p><br><br> <br><br> <br> Featuring: Mark Chamberlin, Nolan Palmer, Ryan Childers, Nic Beach, Randy Scholz, <br> Stephen Grenley, Alex Robertson, Nikki Visel, April Wolfe, Jesse Notehelfer, Pam Nolte, Sarah Roquemore, Solomon Davis and Josh Smyth<br> 			</p>    			<br><br>",box@taproottheatre.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/5655/web_banner_490x176px_medium.jpg,206-781-9707,The Odyssey,http://www.taproottheatre.org/buy-tickets,02/02/2011-03/05/2011,http://www.seattleperforms.com/event/detail/5655/The_Odyssey
"7400 Sand Point Way NE, Seattle, WA, 98115",Magnuson Park Community Theatre,"The Drowsy Chaperone pays tribute to the jazz-age shows of the 1920's and the power those shows held to transport us into a dazzling fantasy.  If you've ever sat in a dark theatre and thought, &quot;Dear Lord in heaven, please let it be good,&quot; this is the show for you!			</p>    			<br><br>",ann@seattlemusicaltheatre.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/32/seattlemusicaltheatre_medium.gif,206-363-2809,The Drowsy Chaperone,http://seattlemusicaltheatre.org,02/11/2011-03/05/2011,http://www.seattleperforms.com/event/detail/440963821/The_Drowsy_Chaperone
"2015 Boren Avenue, Seattle, WA, 98121",Raisbeck Performance Hall,&quot;Odzooks! My wide-extended Realm knows not a name so glorious as Tom Thumb.&quot; From the author of the saucy romp Tom Jones comes this parody of heroic tragedy. The greatest hero of his age is only inches tall -- can he win the love of the bounteous Princess Huncamunca? Can he defeat the plots of the villainous Lord Grizzle? Is there a hungry cow looming ominously in his future?</p>			</p>    			<br><br>,,,206.726.5011,Tom Thumb,http://www.cornish.edu/events,03/03/2011-03/05/2011,http://www.seattleperforms.com/event/detail/441101645/Tom_Thumb
"305 Harrison Street, Seattle, WA, 98109",Seattle Center House,"A terrifying graveyard encounter with an escaped convict; a summons to meet the bitter, decaying Miss Havisham and her beautiful, cold-hearted ward Estella; the sudden generosity of an unknown benefactor - this series of events changes the orphaned Pip's life forever, and he eagerly feels his humble origins in favor of a new life as a gentleman in London. Dickens' haunting late novel depicts Pip's education and development through adversity as he discovers that having ""expectations"" is a double-edged sword. 			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/21/bookitrepertorytheatre_medium.jpg,206.216.0833,Great Expectations,,02/08/2011-03/06/2011,http://www.seattleperforms.com/event/detail/5597/Great_Expectations
"700 Union St, Seattle, WA, 98101",ACT Theatre,"A World Premiere!<br> When Tarak, a Bengali expatriate, and Karen, an American, decide to get married, they know they're in for some cultural difficulties. But when Tarak buys them a brownstone and asks permission to move his mother into the basement apartment, Karen knows she's getting more than she bargained for.<br> <br> Co-presented by ReAct, Pratidhwani and The Central Heating Lab at ACT, this comedy explores the challenges and joys of coming together in love - for us as individuals, and with our families.<br> <br> Directed by<br> David Hsieh and Agastya Kohli<br> <br> Starring:<br> Angela DiMarco, Robert Pilliteri, Meenakshi Rishi, Bikas Saha, Walayn Sharples and Nitya Venkateswaran</p>			</p>    			<br><br>",service@acttheatre.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441102555/act_postcard_front_medium.jpg,(206) 292-7676,Mother In Another Language by Taniya Hossain,http://www.acttheatre.org/Shows/OnStage/MotherInAnotherLanguage,02/18/2011-03/06/2011,http://www.seattleperforms.com/event/detail/441102555/Mother_In_Another_Language_by_Taniya_Hossain
"400 E. University Ave., Ellensburg, WA, 98926",Central Washington University - Milo Smith Tower Theater,"This award winning family drama tells the fantastical story of a little girl in search of her home. Iris is kidnapped by the Greater Goods and banished to an island with all her memories wiped away. But Iris begins to find clues to who she really is, and sets out on a brave and wondrous adventure to rediscover herself. Like Alice in Wonderland the story has magical characters, a wild journey and an appealing heroine, but it also carries a strong message about how our present and our future is informed and defined by the past. <br> <br>STILL LIFE WITH IRIS was originally commissioned and produced by Seattle Children's Theatre. It was inspired by the Image Influenced Illusions of Steffan Soule and Cooper Edens from their book, Dreams, Magic, and Miracles. Its development was supported by a major grant from the John F. Kennedy Center's Fund for New American Plays, the first play for young audiences to receive such an award. <br> <br>Family Friendly			</p>    			<br><br>",boxoffice@cwu.edu,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/441/centraltheatreensemble_medium.jpg,509-963-1774,Still Life with Iris,http://www.cwu.edu/~theatre/tix,03/04/2011-03/12/2011,http://www.seattleperforms.com/event/detail/5555/Still_Life_with_Iris
"400 E. University Ave., Ellensburg, WA, 98926",Central Washington University - Milo Smith Tower Theater,"By Steven Dietz<br> <br> <br> <br> This award winning family drama tells the fantastical story of a little girl in search of her home. Iris is kidnapped by the Greater Goods and banished to an island with all her memories wiped away. But Iris begins to find clues to who she really is, and sets out on a brave and wondrous adventure to rediscover herself. Like Alice in Wonderland the story has magical characters, a wild journey and an appealing heroine, but it also carries a strong message about how our present and our future is informed and defined by the past.<br> <br> <br> <br> STILL LIFE WITH IRIS was originally commissioned and produced by Seattle Children&rsquo;s Theatre. It was inspired by the Image Influenced Illusions of Steffan Soule and Cooper Edens from their book, Dreams, Magic, and Miracles. Its development was supported by a major grant from the John F. Kennedy Center&rsquo;s Fund for New American Plays, the first play for young audiences to receive such an award.<br> <br> <br> <br> Family Friendly			</p>    			<br><br>",boxoffice@cwu.edu,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/440957667/still_life_with_iris_medium.jpg,509-963-1774,Still Life with Iris,http://www.cwu.edu/~theatre/tix/,03/04/2011-03/12/2011,http://www.seattleperforms.com/event/detail/440957667/Still_Life_with_Iris
"3000 Landerholm Circle SE, Bellevue, WA, 98007",Stop Gap Theatre Bellevue College,by Ken Ludwig from the novel by Alexandre Dumas.<br><br><br><br> The exploits of the famous swordsmen and their newest recruit D’Artangan burst onto the stage in this dramatization of the Dumas classic.  Complete with plenty of sword fighting!			</p>    			<br><br>,,,1-800-838-3006,The Three Musketeers,http://bellevuecollege.edu/artshum/Drama/index.html,03/09/2011-03/12/2011,http://www.seattleperforms.com/event/detail/440958499/The_Three_Musketeers
"507 S 3rd St., Renton, WA, 98055",Renton Civic Theater,"A group of strangers stranded in a boarding house during a snow storm, one of whom is a murderer. The suspects include the newly married couple who run the house. Others are a spinster with a curious background, an architect who seems better equipped to be a chef, a retired Army major, a strange little man who claims his car has overturned in a drift, and a jurist who makes life miserable for everyone. PG</p>			</p>    			<br><br>",boxoffice@rentoncivictheater.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/440989861/rentoncivictheaterlogo30_medium.jpg,425-226-5529,The Mousetrap by Agatha Christie,http://www.rentoncivictheater.org,02/25/2011-03/12/2011,http://www.seattleperforms.com/event/detail/440989861/The_Mousetrap_by_Agatha_Christie
"1308 5th Avenue, Seattle, WA, 98101",5th Avenue Theatre,"Experience the most talked about new show on Broadway: Next to Normal. This acclaimed, groundbreaking musical &quot;pushes Broadway in new directions&quot; (Rolling Stone). With a thrilling contemporary score, Next to Normal  is an emotional powerhouse&mdash;a story about the stop/start life of a bipolar mother and the hell her unreality wreaks on her family as she rides the sharp edge between coping and insanity.</p>			</p>    			<br><br>",ticketing@5thavenue.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/5631/nexttonormal-img01_medium.jpg,,Next to Normal,http://www.5thavenue.org,02/22/2011-03/13/2011,http://www.seattleperforms.com/event/detail/5631/Next_to_Normal
"4045 University Way, Seattle, WA, 98105",Jones Playhouse,"By Bertolt Brecht, directed by Alyson Roux<br> <br> In an attempt to settle property disputes after an apocalyptic war, a village performs an ancient parable for its neighbors. In it, amidst civil strife and unrest, a young servant girl risks her life to save an abandoned child of noble birth. Years later, when the biological mother demands the child back, an unconventional judge, who is not always guided by the letter of the law, devises the test of the chalk circle to decide their fates.<br> <br> No late seating for School of Drama events.</p>			</p>    			<br><br>",prcomm@u.washington.edu,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/440916709/chalk_circle_medium.jpg,206-543-4880,The Caucasian Chalk Circle,http://www.meany.org/tickets/default.aspx?prod=4262,02/27/2011-03/13/2011,http://www.seattleperforms.com/event/detail/440916709/The_Caucasian_Chalk_Circle
"16587 NE 74th St, Redmond, WA, 98052",SecondStory Repertory Theatre,"adapted by Geraldine Ann Snyder<br> <br> One of Aesop&rsquo;s most famous fables! A young boy learns his morals the hard way, as he discovers that honesty is the best policy.</p>			</p>    			<br><br>",boxoffice@secondstoryrep.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/440968453/bw_medium.jpg,(425) 881-6777,The Boy Who Cried Wolf,http://www.secondstoryrep.org,03/04/2011-03/20/2011,http://www.seattleperforms.com/event/detail/440968453/The_Boy_Who_Cried_Wolf
"2710 Wetmore Avenue, Everett, WA, 98201",Everett Performing Arts Center,"Sleuth <br>By Anthony Shaffer <br> <br>Wealthy mystery novelist Andrew Wyke invites young Milo Tindle to his elegant, isolated country house to settle a bit of unpleasant business; Milo is having an affair with Andrew's wife. What begins as a bizarre cat and mouse game of robbery spirals into a complex duel of wits and deception. Packed with thrills, and twists and turns that continue to tip the scale, this Tony Award-winning puzzle will keep you guessing up to the very deadly end!  <br> <br> <br>			</p>    			<br><br>",boxofficeeverett@villagetheatre.org,,425-257-8600,Sleuth - Everett,,03/04/2011-03/27/2011,http://www.seattleperforms.com/event/detail/5384/Sleuth_Everett
"402 Sixth St. S, Kirkland, WA, 98033",Studio East Mainstage Theater,Singin' in the Rain			</p>    			<br><br>,info@studio-east.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/360/storybooktheaterstudioeast_medium.jpg,425-820-1800,Studio East presents Singin' in the Rain,http://www.studio-east.org/,03/11/2011-03/27/2011,http://www.seattleperforms.com/event/detail/5694/Studio_East_presents_Singin_in_the_Rain
"210 North I Street, Tacoma, WA, 98403",Tacoma Little Theatre,"by Georges Feydeau, Translated by David Ives<br> March 4th through March 27th 2011<br> Friday and Saturday 7:30pm, Sunday 2:00pm<br> Pay What You Can: March 10, 2011 at 7:30pm <br> Actor Benefit: March 26, 2011 at 2:00pm<br> <br> A Flea in Her Ear is the greatest of French farces, perhaps the greatest farce ever written. Raymonde Chandebise suspects that her husband, Victor, a placid and successful insurance executive, is secretly having an affair. To find out, she and her friend Lucienne write him an anonymous love letter suggesting a rendezvous at the shady Frisky Puss Hotel. Thinking the letter was intended for his coworker, the gigolo Tournel, Victor sends Tournel off to make the rendezvous in his place. Lucienne&rsquo;s jealous Spanish husband, meanwhile, finds the letter, recognizes his wife&rsquo;s handwriting and takes his pistols to the Frisky Puss, hoping to catch her in the act. Meanwhile,Victor&rsquo;s nephew Camille tries to warn everyone about the mix-up, but his ridiculous speech impediment prevents anyone from understanding him. In Act Two, all decamp to the Frisky Puss where, it turns out, the drunken bellboy Poche is the exact double of the proper Victor Chandebise. Meeting Poche and thinking she&rsquo;s been caught by her husband, Raymonde keeps trying to escape from the hotel with Tournel, but a revolving bed keeps flinging them from room to room, as more and more of the involved parties pile into the hotel in a climax culminating in the entrance of the jealous Spaniard and his pistols. In Act Three the vortex spins even faster as all the parties return to the Chandebise home utterly confused about what actually happened and who was who at the Frisky Puss. The drunken bellboy arrives, is mistaken once again for Victor, and all the threads of the multiple mix-ups are sorted out as Victor and Raymonde recognize their mutual confusions and are reunited.</p>			</p>    			<br><br>",tlt@tacomalittletheatre.com,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/440989775/flea_icon_medium.jpg,253-272-2281,A Flea in Her Ear,http://www.tacomalittletheatre.com,03/04/2011-03/27/2011,http://www.seattleperforms.com/event/detail/440989775/A_Flea_in_Her_Ear
"4711 California Ave SW, Seattle, WA, 98116",ArtsWest Playhouse,"Jesse is nine. Jesse can't focus. Mama helps. Dad ignores. The teacher scolds, the neighbors gossip, the psychiatrists prescribe, the audience laughs, but""¦NO ONE LISTENS. Welcome to Lisa Loomer's (The Waiting Room) darkly comic Distracted, a story about a multi-tasking mom taking on the culture of Attention Deficit Hyperactivity Disorder. Her quixotic husband is in denial, leaving her to take on accepted science and mythic homeopathy all by herself. Fast paced, disarmingly funny, and direct from a wildly successful run on Broadway, this is a riveting gaze at parenting, childhood, and looking for fast answers in the age of Ritalin. Adult language and themes. Recommended for ages 14 and older. <br>""****A chronically entertaining comedy!"" ""“ New York Daily News <br>""Focus, people! Distracted is superb!"" ""“ Associated Press			</p>    			<br><br>",boxoffice@artswest.org,,206-938-0339,Distracted,https://www.choicesecure01.net/mainapp/eventschedule.aspx?clientID=artswest,03/09/2011-04/02/2011,http://www.seattleperforms.com/event/detail/5516/Distracted
"700 Union St, Seattle, WA, 98101",ACT Theatre,"Three women. Three decades. One friendship.</p> <p>A special Northwest premiere produced by The 5th Avenue Theatre and ACT &ndash; A Contemporary Theatre, to be performed at the intimate Falls Theatre at ACT.</p> <p>In Vanities: A New Musical, you&rsquo;ll set off on a life-affirming journey through the turbulent &rsquo;60s to the late &rsquo;80s and discover how three friends face life&rsquo;s defining moments: growing up, getting older and getting over it. Vanities is a funny and poignant look at three women who discover that, even in 30 years of rapidly changing times, the one thing they can rely on is each other.</p>			</p>    			<br><br>",rvice@acttheatre.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/5630/vanities_medium.jpg,,Vanities: A New Musical,http://www.5thavenue.org,02/04/2011-04/03/2011,http://www.seattleperforms.com/event/detail/5630/Vanities_A_New_Musical
"612 East 4th Ave, Olympia, WA, 98501",Capital Playhouse,"This enchanting classic of children’s literature is now a brilliant musical by Pulitzer Prize winning playwright Marsha Norman. Orphaned in India, sickly, sour-faced 11-year-old Mary returns to Yorkshire to live with her embittered, reclusive uncle – still mourning the loss of his wife – and his disagreeable, bedridden son on their estate. Mary uncovers the key to a magic locked garden housed on the estate and secretly resolves to tend and revive the overgrown sanctuary with the help of a new-found friend, Dickon. Flashbacks, dream sequences, a strolling chorus of ghosts, and some of the most beautiful music ever written for Broadway dramatize The Secret Garden’s compelling tale of regeneration. This Tony Award® winner for Best Book of a Musical is a treasure for both children and adults.<br>			</p>    			<br><br>",info@capitalplayhouse.com,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/440952881/secretgarden_medium.gif,360-943-2744,The Secret Garden,http://www.capitalplayhouse.com/performances1011.html#secret,03/17/2011-04/09/2011,http://www.seattleperforms.com/event/detail/440952881/The_Secret_Garden
"305 Harrison Street, Seattle, WA, 98109",Seattle Center House,"Set in 1924 Montana, Prairie Nocturne tells the story of two former lovers reunited to share in an extraordinary goal: launching the singing career of Month Rathbun, a black chauffeur and former rodeo clown who possesses a surprisingly phenomenal voice. Ivan Doig's rich, poetic narrative runs headlong toward the challenges of racism in the West, circles back into his characters' pasts, and reels ahead into their shared futures in New York during the Harlem Renaissance. 			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/21/bookitrepertorytheatre_medium.jpg,206.216.0833,Prairie Nocturne,http://www.book-it.org,03/15/2011-04/10/2011,http://www.seattleperforms.com/event/detail/5600/Prairie_Nocturne
"7312 W. Green Lake Dr. N., Seattle, WA, 98103",Bathhouse Theater,"What does it mean to be truly happy? Explore the meaning March 18th-April 10th, 2011 in the tragically funny drama The Happy Ones by Julie Marie Myatt.  When tragedy strikes Walter, the only person who can help him reclaim his life is the person who inadvertently destroyed it. The Happy Ones is an uplifting ­ and, surprisingly funny, ­new play by a rising star in American theater.<br><br> <br><br> Featuring David Hsieh, Macall Gordon, Shawn Law, and K. Brian Neel<br><br> <br><br> Directed By David Gassner<br><br> <br><br> The show runs approximately 2 hours with one 15-minute intermission. <br><br> <br><br> Some Language: Recommended for ages 10 and up at parents' discretion			</p>    			<br><br>",boxoffice@seattlepublictheater.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441089121/eventpic-happyones_medium.jpg,206-524-1300,The Happy Ones,http://www.seattlepublictheater.org,03/17/2011-04/10/2011,http://www.seattleperforms.com/event/detail/441089121/The_Happy_Ones
"1500 Summit Ave, Seattle, WA, 98122",Theater Schmeater,"From the television series created by Rod Serling<br><br> Directed by Tim Moore<br><br> <br><br> Featuring three episodes straight from the classic TV series:  <br><br> Time Enough at Last<br><br> The Obsolete Man <br><br> The Monsters are Due on Maple Street <br><br> <br><br> Directed by long time Schmee Alum, Tim Moore (who also will play “Rod”), <br><br> The Twilight Zone: Live! brings back to life all the Cold War era’s anxieties and angst, paranoia and paradoxes.  A long time audience favorite at The Schmee, The Twilight Zone: Live! breathes new life into these trusted tales of a simpler time, when the aliens wore silly hats, and the enemy always came from without.<br><br> 			</p>    			<br><br>",Support@BrownPaperTickets.com,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/169/theaterschmeater_medium.jpg,1-800-838-3006,The Twilight Zone: LIVE! 2011,http://www.schmeater.org/plays/2011/thetwilightzone2011/,03/18/2011-04/16/2011,http://www.seattleperforms.com/event/detail/441070087/The_Twilight_Zone_LIVE_2011
"7116 6th Ave, Tacoma, WA, 98406",Tacoma Musical Playhouse,"Based on Fellini&rsquo;s classic film, 8 1/2 , this spectacular musical delighted Broadway theatergoers in a hit revival in 2003 starring Antonio Banderas. Nine is the story of a celebrated film director, Guido Contini (played by Rafe Wadleigh), who has has turned 40 and faces a double crises: he has to shoot a film for which he can't write the script, and his wife of twenty years, the film star Luisa del Forno (Maria Valenzuela), may be about to leave him if he can't pay more attention to the marriage. As it turns out, it is the same crisis that is blocking his creative impulses and entangling him in a web of romantic difficulties in early-1960s Venice.<br> <br> <br> The original Broadway production opened in 1982 and ran for 729 performances, starring Raul Julia. The musical won five Tony Awards, including best musical, and is now also a major motion picture (2009).  <br> <br> Not recommended for children 13 and younger.</p>			</p>    			<br><br>",,,253-565-6867,NINE. THE MUSICAL,http://www.tmp.org,03/25/2011-04/17/2011,http://www.seattleperforms.com/event/detail/5649/NINE_THE_MUSICAL
"507 S 3rd St., Renton, WA, 98055",Renton Civic Theater,"Conservative Ben Gerard doesn't understand his 15-year-old daughter, Christi, who bitterly tries to exert her independence. Mimi, the wife and mother, tries to straddle the widening gulf between father and daughter during a family &quot;vacation.&quot; A wistful stranger, Violet Aldrich, appears, but is it too late to salvage the family? &quot;Hitchcockian&quot; suspense that leads to a shocking ending.</p>			</p>    			<br><br>",boxoffice@rentoncivictheater.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/440989869/rentoncivictheaterlogo30_medium.jpg,425-226-5529,Rest Stop,http://www.rentoncivictheater.org,04/10/2011-04/18/2011,http://www.seattleperforms.com/event/detail/440989869/Rest_Stop
"204 N. 85th St, Seattle, WA, 98103",Taproot Theatre,"Germany. 1933: The Nazi party has taken power. In the face of the greatest evil of the 20th century. Dietrich Bonhoeffer battles questions of morality, political allegiance and religious conviction. This true story will keep you on the edge of your seat a</p>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/159/taproottheatrecompany_medium.jpg,,The Beams are Creaking,http://www.taproottheatre.org/buy-tickets,03/23/2011-04/23/2011,http://www.seattleperforms.com/event/detail/5656/The_Beams_are_Creaking
"1308 5th Avenue, Seattle, WA, 98101",5th Avenue Theatre,"Put on your power suit and enjoy a hilarious tale of laughter, friendship, and premeditated workplace revenge. Outrageously fun and thought-provoking, this direct-from-Broadway musical comedy sends you on the job with three unlikely friends who conspire to take control of their company and learn there's nothing they can't do -- even in a man's world! Based on the hit movie and featuring an exuberant Tony Award&reg; -and Grammy-nominated score by the legendary songwriter, Dolly Parton, this is a crazy conspiracy you won&rsquo;t want to miss.</p>			</p>    			<br><br>",ticketing@5thavenue.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/5634/9to5-img01_medium.jpg,,9 to 5 the Musical,http://www.5thavenue.org,04/05/2011-04/24/2011,http://www.seattleperforms.com/event/detail/5634/9_to_5_the_Musical
"303 Front Street North, Issaquah, WA, 98027",Village Theatre,"Iron Curtain <br>Book by Susan DiLallo <br>Music by Stephen Weiner <br>Lyrics by Peter Mills <br> <br>There's no Communism like Show-Communism! When the Soviets set out to create a Broadway musical, they decide they'll need to bring in some real New York writers - by force, if necessary. Enter Howard and Murray, two down and out musical theatre writers, who are on the brink of throwing in the towel. Kidnapped, taken to Moscow, and forced to fix the worst musical ever written, these two characters suddenly find themselves working under the gun""¦literally! With an uproarious and upbeat score, Iron Curtain is a knock 'em down hit with laughs at every corner.  <br>			</p>    			<br><br>",boxoffice@villagetheatre.org,,425-392-2202,Iron Curtain,,03/17/2011-04/24/2011,http://www.seattleperforms.com/event/detail/5385/Iron_Curtain
"400 E. University Ave., Ellensburg, WA, 98926",Central Washington University - Milo Smith Tower Theater,"Based on the enchanting fairytale by Hans Christian Anderson, The Snow Queen tells the story of Kai and Gerda, the best of friends, until Kai falls under the spell of an evil wizard and becomes the slave of the imperious Snow Queen. It is up to Gerda to take a long journey into the frozen heart of winter, to find and save her friend. The Snow Queen is both a thrilling adventure and a fable about the healing power of love. <br> <br>Family Friendly			</p>    			<br><br>",boxoffice@cwu.edu,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/441/centraltheatreensemble_medium.jpg,509-963-1774,The Snow Queen,http://www.cwu.edu/~theatre/tix,04/22/2011-04/24/2011,http://www.seattleperforms.com/event/detail/5556/The_Snow_Queen
"950 Main Street, Edmonds, WA, 98020",The Wade James Theatre,Nunsense by Dan Goggin			</p>    			<br><br>,info@driftwoodplayers.com,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/45/edmondsdriftwoodplayers_medium.jpg,425-774-9600,Nunsense,,04/01/2011-04/24/2011,http://www.seattleperforms.com/event/detail/5704/Nunsense
"400 E. University Ave., Ellensburg, WA, 98926",Central Washington University - Milo Smith Tower Theater,"By Mike Kenny<br> based on the Story by Hans Christian Andersen<br> <br> Based on the enchanting fairytale by Hans Christian Anderson, The Snow Queen tells the story of Kai and Gerda, the best of friends, until Kai falls under the spell of an evil wizard and becomes the slave of the imperious Snow Queen. It is up to Gerda to take a long journey into the frozen heart of winter, to find and save her friend. The Snow Queen is both a thrilling adventure and a fable about the healing power of love.<br> <br> <br> <br> Family Friendly			</p>    			<br><br>",boxoffice@cwu.edu,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/440957669/snow_medium.jpg,509-963-1774,The Snow Queen,http://www.cwu.edu/~theatre/tix/,04/22/2011-04/24/2011,http://www.seattleperforms.com/event/detail/440957669/The_Snow_Queen
"16587 NE 74th St, Redmond, WA, 98052",SecondStory Repertory Theatre,"Music and Lyrics by William Finn. Book by Rachel Sheinkin. <br> This deliriously silly musical began life as an improv comedy show, but eventually became a Tony Award-winning Broadway smash. You&rsquo;ve never rooted for a crazier bunch of &ldquo;kids&rdquo;. You may even get a chance to out spell them&hellip;!</p>			</p>    			<br><br>",boxoffice@secondstoryrep.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/440968447/putnam_spelling_medium.jpg,(425) 881-6777,The 25th Annual Putnam County Spelling Bee,http://secondstoryrep.org,04/01/2011-04/30/2011,http://www.seattleperforms.com/event/detail/440968447/The_25th_Annual_Putnam_County_Spelling_Bee
"4001 University Way Northeast, Seattle, WA, 98105",Meany Studio Theatre,"By Mary Zimmerman, <br> Directed by Julie Beckman<br> <br> Remember the dark side of fairy tales? Combined in fragments, lesser-known European fairy tales take us on a journey fraught with primeval fears and desires. A frightened little girl pleads with her callous parents not to leave her at home with the neighbor next door. &quot;He's got a tail!&quot; she exclaims. This &ldquo;Ogre&rdquo; and storyteller becomes her guide and ours, distracting us with tales marvelous and cruel, pausing only to pose the question &ldquo;Will you marry me?&rdquo; With striking imagery and a contemporary, comic edge, stories flow together to create a vivid fantasy world inspiring fear, wonder, and at last a strange catharsis.<br> <br> No late seating for School of Drama events.</p>			</p>    			<br><br>",ticket@u.washington.edu,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/440916711/secret_wings_small_medium.jpg,206-543-4880,The Secret in the Wings,http://www.meany.org/tickets/production.aspx?performanceNumber=4279,04/17/2011-05/01/2011,http://www.seattleperforms.com/event/detail/440916711/The_Secret_in_the_Wings
"8703 160th Avenue NE, Redmond, WA, 98052",Fred W Meitzer Theater,"Based on the true story of a mysterious Hollywood death, The Cat's Meow offers a fascinating cross section of Jazz Era characters who intersect for one notorious weekend on board William Randolph Hearst's yacht.</p>			</p>    			<br><br>",ticketing@redwoodtheatre.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441020961/cat_thumb_medium.jpg,(425) 522-3730,The Cat's Meow,http://redwoodtheatre.org/2011/cats_meow.html,04/29/2011-05/14/2011,http://www.seattleperforms.com/event/detail/441020961/The_Cats_Meow
,,"StoryBook Theater Presents <br>Sleeping Beauty <br>Adaptation by Lani Brockman <br>Music & Lyrics by Susan Bardsley  <br>April - May, 2011 <br> <br>Princess Beauty is a cutey, but being pretty doesn't cut it when you really want to slay dragons and find adventure. Will Beauty get to be her very own hero-or will she be interrupted by a 100-year nap? And will the Prince save her ""“ or will she save him?  (This version isn't just for little girls-boys will love it, too!) <br>Recommended for ages 3 and up. Produced by Studio East. <br>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/360/storybooktheaterstudioeast_medium.jpg,425-820-1800,Sleeping Beauty,http://www.StoryBookTheater.org,04/23/2011-05/15/2011,http://www.seattleperforms.com/event/detail/5667/Sleeping_Beauty
"400 E. University Ave., Ellensburg, WA, 98926",Central Washington University - McConnell Auditorium,"By William Wycherley<br> <br> <br> Linguistic energy, sharp social satire and a sexy romp, just about summarize William Wycherley&rsquo;s classic, Restoration comedy, The Country Wife. Written in 1675, this fast paced and rollicking comedy has lost none of its punch for contemporary audiences who will love the wonderful characters and ribald situations. The plot turns on two indelicate plot devices: a rake's trick of pretending impotence in order to have clandestine affairs with married women, and the arrival in London of an inexperienced young &quot;country wife&quot; and her discoveries of the joys of the big city and London men. Done in high style with beautiful costumes and high energy, this is a must see for those who love English period comedy.<br> <br> <br> Due to adult themes not appropriate for babes in arms or children under 13.			</p>    			<br><br>",boxoffice@cwu.edu,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/440957681/the_country_wife_medium.jpg,509-963-1774,The Country Wife,http://www.cwu.edu/~theatre/tix/,05/05/2011-05/15/2011,http://www.seattleperforms.com/event/detail/440957681/The_Country_Wife
"7400 Sand Point Way NE, Seattle, WA, 98115",Magnuson Park Community Theatre,An ambivalent Cinderella? A blood-thirsty Little Red Riding Hood? A Prince Charming with a roving eye?  They're all among the cockeyed characters in this fractured fairy tale by Stephen Sondheim. What begins as an irreverent fantasy becomes a moving lesson about community responsibility and the stories we tell our children.			</p>    			<br><br>,ann@seattlemusicaltheatre.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/32/seattlemusicaltheatre_medium.gif,206-363-2809,Into the Woods,http://seattlemusicaltheatre.org,04/29/2011-05/21/2011,http://www.seattleperforms.com/event/detail/440963825/Into_the_Woods
