city,description,date,venue,state,title,webSite,moreInfoLink
Las Vegas,,05/04/2011,Ellis Island Casino,NV,Hot Dog Eating Contest Qualifier,http://ellisislandcasino.com/,http://eatfeats.com/query.php?_table=contests&id=7123
Cleveland,,05/04/2011,Buffalo Wild Wings,OH,Wing King Finals,http://www.buffalowildwings.com/,http://eatfeats.com/query.php?_table=contests&id=7064
Fernandina Beach,,05/01/2011,Shrimp Festival,FL,Shrimp Ice Cream Eating Contest,http://www.shrimpfestival.com/index-web.html,http://eatfeats.com/query.php?_table=contests&id=7131
Streamwood,,04/30/2011,Galto's Hot Dogs,IL,Hot Dog Eating Contest,http://www.facebook.com/pages/Galtos-Hot-Dogs/163090830389867,http://eatfeats.com/query.php?_table=contests&id=7093
Millville,,04/30/2011,New Jersey Motorsports Park,NJ,Hot Dog Eating Contest,http://www.facebook.com/newjerseymotorsportspark,http://eatfeats.com/query.php?_table=contests&id=7111
Streamwood,,04/30/2011,Galto's Hot Dogs,IL,Meatball Eating Contest,http://www.facebook.com/pages/Galtos-Hot-Dogs/163090830389867,http://eatfeats.com/query.php?_table=contests&id=7094
Bozeman,,04/29/2011,Bobcat Fest,MT,Pizza Eating Contest,http://bozemanskissfm.com/bobcat-fest-2011-coming-april-29th-in-downtown-bozeman/,http://eatfeats.com/query.php?_table=contests&id=7107
Corsicana,,04/29/2011,Derrick Days,TX,Wing Eating Contest,http://www.derrickdays.com./,http://eatfeats.com/query.php?_table=contests&id=7104
Gardner,$20 entry fee  </TD>,04/27/2011,Southside Grill,MA,King a da Wing Border wing eating contest,http://southsidemargaritafactory.com/index.htm,http://eatfeats.com/query.php?_table=contests&id=7099
Seattle,,04/27/2011,ID Spring Roll,WA,Spring Roll Eating Contest,http://www.idspringroll.org/,http://eatfeats.com/query.php?_table=contests&id=7116
Bartonsville,,04/27/2011,the Lounge,PA,Wing Eating Contest Semifinals,http://www.theloungepoconos.com/,http://eatfeats.com/query.php?_table=contests&id=7070
State College,"$20 entry fee, winner will reportedly have chance to appear on Man v Food   </TD>",04/26/2011,Kildare's Irish Pub,PA,Kildare's E.U. Burger Challenge,http://www.facebook.com/pages/Kildares-Irish-Pub-State-College/156360717710498,http://eatfeats.com/query.php?_table=contests&id=7087
Cleveland,"held at Sandusky, Elyria, Avon Lake, Fairview Park, Lyndhurst, Mentor, Ashtabula, Bainbridge, Streetsboro, Kent, Broadview Hts, Strongsville, Medina, Massillon, Canton Buffalo Wild Wing locations   </TD>",04/26/2011,Buffalo Wild Wings,OH,Wing King Store Finals,http://www.buffalowildwings.com/,http://eatfeats.com/query.php?_table=contests&id=7063
Sarasota,,04/23/2011,Rico's Pizzeria & Pasta House,FL,Rico's Charity Pizza Eating Contest,http://www.ricospizzapie.com/,http://eatfeats.com/query.php?_table=contests&id=7109
Salt Lake City,$20 entry fee  </TD>,04/23/2011,Trolley Wing Competition,UT,Wing Eater Competition,http://www.facebook.com/pages/Trolley-Wing-Company/280456686675,http://eatfeats.com/query.php?_table=contests&id=7133
Newport Beach,purse $1000 in cash & prizes  </TD>,04/20/2011,Baja Sharkeez,CA,Taco Eating Contest,http://www.sharkeez.net/newport-beach/,http://eatfeats.com/query.php?_table=contests&id=7117
Bartonsville,,04/20/2011,the Lounge,PA,Wing Eating Contest Semifinals,http://www.theloungepoconos.com/,http://eatfeats.com/query.php?_table=contests&id=7069
Cleveland,"held at Sandusky, Elyria, Avon Lake, Fairview Park, Lyndhurst, Mentor, Ashtabula, Bainbridge, Streetsboro, Kent, Broadview Hts, Strongsville, Medina, Massillon, Canton Buffalo Wild Wing locations   </TD>",04/19/2011,Buffalo Wild Wings,OH,Wing King qualifier,http://www.buffalowildwings.com/,http://eatfeats.com/query.php?_table=contests&id=7062
Raleigh,,04/18/2011,Isaac Hunter's Oak City Tavern,NC,Cheeseburger Eating COntest,http://www.huntersoakcity.com/,http://eatfeats.com/query.php?_table=contests&id=7136
Mission Viejo,,09/06/2011,Derby Deli,CA,West Coast Hot Dog Eating Championship,http://www.derbymv.com/,http://eatfeats.com/query.php?_table=contests&id=7253
Mission Viejo,,08/13/2011,Derby Deli,CA,West Coast Hot Dog Eating Qualifier,http://www.derbymv.com/,http://eatfeats.com/query.php?_table=contests&id=7252
Austintown,open to Austintown residents  </TD>,07/09/2011,Wickliffe Christian Church,OH,Hot Dog Eating Contest,,http://eatfeats.com/query.php?_table=contests&id=7270
Mission Viejo,,07/09/2011,Derby Deli,CA,West Coast Hot Dog Eating Qualifier,http://www.derbymv.com/,http://eatfeats.com/query.php?_table=contests&id=7251
San Antoio,,07/02/2011,Okie Burrito,TX,Okie Burrito Finals,http://mylaspalapas.com/,http://eatfeats.com/query.php?_table=contests&id=7155
San Antoio,,06/25/2011,Okie Burrito - Leon Springs,TX,Okie Burrito Qualifier,http://mylaspalapas.com/,http://eatfeats.com/query.php?_table=contests&id=7154
San Antoio,,06/18/2011,Okie Burrito - Walzem,TX,Okie Burrito Qualifier,http://mylaspalapas.com/,http://eatfeats.com/query.php?_table=contests&id=7153
Thackerville,,06/12/2011,Winstar World Casino,OK,Nathan's Famous Hot Dog Eating Contest qualifier,http://www.winstarworldcasino.com/,http://eatfeats.com/query.php?_table=contests&id=7186
Aransas Pass,,06/12/2011,Aransas Pass Shrimporee,TX,Shrimp Eating Contest,http://www.aransaspass.org/Shrimporee.cfm,http://eatfeats.com/query.php?_table=contests&id=7276
San Antoio,,06/11/2011,Okie Burrito - 1604,TX,Okie Burrito Qualifier,http://mylaspalapas.com/,http://eatfeats.com/query.php?_table=contests&id=7152
Willowbrook,,06/05/2011,Grillin for our Girls,IL,Chicken Wing Eating Contest,http://www.jdbreastcancerfund.org/events.html,http://eatfeats.com/query.php?_table=contests&id=7255
San Antoio,,06/04/2011,Okie Burrito - Churchill,TX,Okie Burrito Qualifier,http://mylaspalapas.com/,http://eatfeats.com/query.php?_table=contests&id=7151
Cambridge,,06/02/2011,Bukowski Tavern,MA,Hot Dog Eating Contest,http://www.bukowskitavern.net/,http://eatfeats.com/query.php?_table=contests&id=7279
Shreveport,$5 fee  </TD>,05/29/2011,Mudbug Madness,LA,Women's Crawfish Eating Contest,http://mudbugmadness.com/,http://eatfeats.com/query.php?_table=contests&id=7266
Knoxville,,05/28/2011,International Biscuit Festival,TN,Biscuit Eating Contest,http://knoxvillemarketsquare.com/biscuit/,http://eatfeats.com/query.php?_table=contests&id=7171
St. Charles,$15 entry fee  </TD>,05/28/2011,Grandma's Cookies,MO,Cookie Eating Contest,http://stcharles.patch.com/listings/grandmas-cookies,http://eatfeats.com/query.php?_table=contests&id=7315
Asheville,$15 entry fee  </TD>,05/28/2011,Eddie's Dog House,NC,Eddie's Dog House Nathan's Hot Dog Eating Contest,http://www.relylocal.com/asheville-north-carolina/business_listings/eddies-dog-house,http://eatfeats.com/query.php?_table=contests&id=7307
Manhattan,top 5 times overall advance to finals   </TD>,05/28/2011,Go !Go! Curry!,NY,Go !Go! Curry! Eating Finals,http://www.gogocurryusa-ny.com/,http://eatfeats.com/query.php?_table=contests&id=7167
Centreville,,05/28/2011,Thunderfest,VA,Hooters Wing Eating Contest Finals,http://thunderfestival.com/,http://eatfeats.com/query.php?_table=contests&id=7185
Beckley,,05/28/2011,The Lost Parrot,WV,Hot Dog Eating Contest,http://thelostparrot.webs.com/,http://eatfeats.com/query.php?_table=contests&id=7268
Shreveport,$15 fee  </TD>,05/28/2011,Mudbug Madness,LA,Men's Crawfish Eating Contest,http://mudbugmadness.com/,http://eatfeats.com/query.php?_table=contests&id=7265
San Antoio,,05/28/2011,Okie Burrito - Broadway,TX,Okie Burrito Qualifier,http://mylaspalapas.com/,http://eatfeats.com/query.php?_table=contests&id=7150
Mission Viejo,,05/28/2011,Derby Deli,CA,West Coast Hot Dog Eating Qualifier,http://www.derbymv.com/,http://eatfeats.com/query.php?_table=contests&id=7250
Fairmont,,05/28/2011,Three Rivers Festival,WV,WV Three Rivers Festival Pepperoni Roll Eating World Championship,http://www.wvthreeriversfestival.org/,http://eatfeats.com/query.php?_table=contests&id=7187
Shreveport,$5 fee  </TD>,05/27/2011,Mudbug Madness,LA,Youth Crawfish Eating Contest,http://mudbugmadness.com/,http://eatfeats.com/query.php?_table=contests&id=7264
Chatnilly,,05/26/2011,Hooters,VA,Hooters Wing Eating Contest Qualifier,http://www.hooters.com/,http://eatfeats.com/query.php?_table=contests&id=7184
San Antoio,,05/21/2011,Okie Burrito - Callaghan,TX,Okie Burrito Qualifier,http://mylaspalapas.com/,http://eatfeats.com/query.php?_table=contests&id=7149
Potomac Mills,,05/19/2011,Hooters,VA,Hooters Wing Eating Contest Qualifier,http://www.hooters.com/,http://eatfeats.com/query.php?_table=contests&id=7183
Plymouth,"contests held at Maple Grove, Shakopee, Coon Rapids, Burnsville, Eagan, Plymouth, and Rogers locations   </TD>",05/16/2011,Dickey's,MN,Pulled Pork Sandwich Finals,http://www.dickeys.com/,http://eatfeats.com/query.php?_table=contests&id=7304
Manhattan,top 5 times overall advance to finals   </TD>,05/15/2011,Go !Go! Curry!,NY,Go !Go! Curry! Eating Qualifier,http://www.gogocurryusa-ny.com/,http://eatfeats.com/query.php?_table=contests&id=7166
San Diego,"$15 entry fee, will have men's & women's divisions   </TD>",05/15/2011,Ichiban Hillcrest,CA,Sushi Eating Contest - men,http://www.ichibansushisandiego.com/,http://eatfeats.com/query.php?_table=contests&id=7102
San Diego,"$15 entry fee, will have men's & women's divisions   </TD>",05/15/2011,Ichiban Hillcrest,CA,Sushi Eating Contest - women,http://www.ichibansushisandiego.com/,http://eatfeats.com/query.php?_table=contests&id=7175
Philadelphia,,05/14/2011,Mayfair May Fair,PA,Cheese steak pretzel eating contest,http://mayfairbiz.blogspot.com/2011/04/submissions-to-out-on-town.html,http://eatfeats.com/query.php?_table=contests&id=7310
Tampa,,05/14/2011,Rotary Pig Fest,FL,Grits Eating Contest,http://www.rotarypigfest.com/,http://eatfeats.com/query.php?_table=contests&id=7261
Worcester,,05/14/2011,The Dogfather,WA,Hot Dog Eating Contest,http://www.facebook.com/worcesterhotdog,http://eatfeats.com/query.php?_table=contests&id=6851
San Antoio,,05/14/2011,Okie Burrito - Forum,TX,Okie Burrito Qualifier,http://mylaspalapas.com/,http://eatfeats.com/query.php?_table=contests&id=7148
Dillsburg,,05/14/2011,Picklefest,PA,Pickle Eating Contest,http://www.carrollcitizens.com/PickleFest.html,http://eatfeats.com/query.php?_table=contests&id=7287
Tampa,,05/14/2011,Rotary Pig Fest,FL,Pie Eating Contest,http://www.rotarypigfest.com/,http://eatfeats.com/query.php?_table=contests&id=7262
Fredricksburg,,05/12/2011,Hooters,VA,Hooters Wing Eating Contest Qualifier,http://www.hooters.com/,http://eatfeats.com/query.php?_table=contests&id=7182
Houston,,05/12/2011,Wings N More,TX,Wing Eating Contest,http://www.facebook.com/WingsNMoreHouston,http://eatfeats.com/query.php?_table=contests&id=7294
Manhattan,top 5 times overall advance to finals   </TD>,05/10/2011,Go !Go! Curry!,NY,Go !Go! Curry! Eating Qualifier,http://www.gogocurryusa-ny.com/,http://eatfeats.com/query.php?_table=contests&id=7165
Columbus,,05/10/2011,Park Street Cantina,OH,Taco Eating Contest,http://www.parkstreetcantina.com/,http://eatfeats.com/query.php?_table=contests&id=7314
Seattle,,05/08/2011,Pintxo,WA,Bacon Wrapped Date eating challenge,http://www.pintxoseattle.com/,http://eatfeats.com/query.php?_table=contests&id=7296
Portland,,05/07/2011,Pine State Biscuits,OR,Biscuit Eating Contest,http://pinestatebiscuits.com/,http://eatfeats.com/query.php?_table=contests&id=7170
Johnston,,05/07/2011,Peach Blossom Festival,SC,Buffalo Wing Eating Contest,http://johnstondevelopmentcorp.org/events/peach-blossom-festival/,http://eatfeats.com/query.php?_table=contests&id=7273
San Antoio,,05/07/2011,Okie Burrito - Bandera,TX,Okie Burrito Qualifier,http://mylaspalapas.com/,http://eatfeats.com/query.php?_table=contests&id=7147
Newark,$20 entry fee  </TD>,05/07/2011,Primo Hoagies,DE,Primo's Prevention Pig Out,http://www.biausa.org/Delaware/bia.htm,http://eatfeats.com/query.php?_table=contests&id=7158
Wabasha,,05/07/2011,Loco Gringos Cantina,MN,Taco Eating Contest,http://www.locogringoscantina.com/,http://eatfeats.com/query.php?_table=contests&id=7318
Bel Air,,05/07/2011,Dark Horse Saloon,MD,Wing Eating Contest,http://www.darkhorsebelair.com/,http://eatfeats.com/query.php?_table=contests&id=7313
Levittown,$5 entry fee  </TD>,05/07/2011,Free Comic Book Day,PA,Wing Eating Contest,http://www.facebook.com/event.php?eid=126973144043456,http://eatfeats.com/query.php?_table=contests&id=7293
Greenville,,05/06/2011,Chick Fil A,NC,Chicken Nugget Eating Finals,http://www.chick-fil-a.com/universitycommons,http://eatfeats.com/query.php?_table=contests&id=7283
Irvine,,05/06/2011,Tacos and Company,CA,Taco Eating Contest,http://tacosnco.com/,http://eatfeats.com/query.php?_table=contests&id=7321
Erie,"includes 1 lb. fries, $20 entry fee  </TD>",05/06/2011,Oasis Pub,PA,The Enormous Wanker Hot Dog Eating Challenge March of Dimes Benefit,http://www.oasispub.net/,http://eatfeats.com/query.php?_table=contests&id=7288
Rockaway,,05/05/2011,El Mejicano,NJ,Burrito Eating Challenge,http://mejicanorestaurant.com/,http://eatfeats.com/query.php?_table=contests&id=7277
Rochester Hills,,05/05/2011,Los Locos Cantia,MI,Burrito Eating Contest,http://loslocoscantina.com/,http://eatfeats.com/query.php?_table=contests&id=7140
Lincoln,,05/05/2011,Qdoba Mexican Grill,NE,Burrito Eating Contest,http://qdobanebraska.com/fresh/,http://eatfeats.com/query.php?_table=contests&id=7322
Fayetteville,,05/05/2011,DiOGis,WV,Gigandous burrito eating contest,http://www.diogismexicangrill.com/,http://eatfeats.com/query.php?_table=contests&id=7193
Manhattan,top 5 times overall advance to finals   </TD>,05/05/2011,Go !Go! Curry!,NY,Go !Go! Curry! Eating Qualifier,http://www.gogocurryusa-ny.com/,http://eatfeats.com/query.php?_table=contests&id=7164
Raymondville,,05/05/2011,Rio Sports Bar,TX,Grito & Jalapeno Eating Contest,http://www.facebook.com/pages/Rio-Sports-Bar/162068530503650,http://eatfeats.com/query.php?_table=contests&id=7298
Manassas,,05/05/2011,Hooters,VA,Hooters Wing Eating Contest Qualifier,http://www.hooters.com/,http://eatfeats.com/query.php?_table=contests&id=7181
Rotterdam,,05/05/2011,Centerfield Bar & Grill,NY,Hot Pepper Eating Contest,http://www.facebook.com/CenterfieldBarRotterdam,http://eatfeats.com/query.php?_table=contests&id=7303
Atlanta,,05/05/2011,Loca Luna,GA,Inferno Taco Eating Challenge,http://www.loca-luna.com/,http://eatfeats.com/query.php?_table=contests&id=7295
Lakewood,,05/05/2011,Jose O'Shea's,CO,Jalapeno Eating Contest,http://www.joseosheas.com/,http://eatfeats.com/query.php?_table=contests&id=7196
Boston,,05/05/2011,Tavern on the Water,MA,Jalapeno Eating Contest,http://www.tavernonthewater.com/,http://eatfeats.com/query.php?_table=contests&id=7311
Milwaukee,,05/05/2011,Tres Hermanos,WI,Jalapeno Eating Contest,http://www.club3hermanos.com/,http://eatfeats.com/query.php?_table=contests&id=7316
Key West,,05/05/2011,Schooner Wharf Bar,FL,Super Hot Taco Eating Contest,http://www.schoonerwharf.com/,http://eatfeats.com/query.php?_table=contests&id=7256
Jeffersonville,,05/05/2011,Chap's Taproom,PA,Taco Eating Contest,http://www.chapstap.com/,http://eatfeats.com/query.php?_table=contests&id=7254
Westlake,,05/05/2011,Diego's Tex Mex,TX,Taco Eating Contest,http://www.facebook.com/pages/Diegos-Tex-Mex/120776721307638,http://eatfeats.com/query.php?_table=contests&id=7317
North Burnaby,,05/05/2011,Hop & Vine Tap House,BC,Taco Eating Contest,http://www.facebook.com/pages/Hop-Vine-Tap-House/110263079053044,http://eatfeats.com/query.php?_table=contests&id=7291
Kansas City,,05/05/2011,Rhythm & Booze,MO,Taco Eating Contest,http://www.facebook.com/pages/Rhythm-Booze/159223117496,http://eatfeats.com/query.php?_table=contests&id=7297
Redford,,05/05/2011,Cinco de Mayo,MI,Tamale Eating Contest,http://www.facebook.com/pages/Cinco-De-Mayo-Cantina-Redford/126596354059848,http://eatfeats.com/query.php?_table=contests&id=7323
Dallas,$10 entry fee  </TD>,05/05/2011,Cinco de Mayo Pub Crawl,TX,Tamale Eating Contest,http://www.mrgreenvilleave.com/events/cinco-de-mayo-pub-crawl-2011/,http://eatfeats.com/query.php?_table=contests&id=7159
Pasadena,,05/05/2011,Johnny Tamale Cantina,TX,Tamale Eating Contest,http://www.facebook.com/pages/Johnny-Tamale-Cantina/351169487207,http://eatfeats.com/query.php?_table=contests&id=7308
Iowa City,,05/04/2011,Graze,IA,Chicken Lip Eating Championship of the world,http://www.facebook.com/GrazeIowaCity,http://eatfeats.com/query.php?_table=contests&id=7275
Fairfax,,05/03/2011,Hooters,VA,Hooters Wing Eating Contest Qualifier,http://www.hooters.com/,http://eatfeats.com/query.php?_table=contests&id=7180
Macon,,05/03/2011,GA State Fair,GA,Wing Eating Contest,http://www.macon.com/2011/04/29/1540605/revitalized-ga-state-fair-ramps.html,http://eatfeats.com/query.php?_table=contests&id=7312
